tercile,trend_coef,trend_se,trend_p,interpretation
T1,0.053145348293457545,0.04260441019889476,0.21224564505591537,0.0531s per year (pre-period only)
T2,0.310232236404199,0.05476537715688718,1.4723801017170689e-08,0.3102s per year (pre-period only)
T3,0.5958886874193601,0.0607640868088049,1.0546918014888204e-22,0.5959s per year (pre-period only)
