tercile,trend_coef,trend_se,trend_p,interpretation
T1,-0.050402822563521715,0.02300248837957256,0.028438045792844147,-0.0504s per year
T2,0.394986404700249,0.021230568021159142,2.948379348254889e-77,0.3950s per year
T3,1.1312267210878573,0.023649992664888785,0.0,1.1312s per year
