year,rel_year,tercile,beta_detrended,se_detrended,p_detrended
2018,-4,T1,2.5810514318618236,0.1575803817845657,2.6895694975078146e-60
2018,-4,T2,2.524262637031304,0.18436138011043832,1.1345917511555792e-42
2018,-4,T3,2.3344198149455058,0.2101228885889585,1.1243168705519238e-28
2019,-3,T1,0.7306383536577032,0.1269594662346685,8.669584068796756e-09
2019,-3,T2,0.5995665877414147,0.14989914909298846,6.33960886425812e-05
2019,-3,T3,0.6849830889956455,0.16362812202339272,2.83640184171462e-05
2020,-2,T1,0.9553063722710261,0.12944380201653288,1.5818749172101479e-13
2020,-2,T2,0.8343039431364548,0.16130414398328521,2.3130270821318233e-07
2020,-2,T3,0.2717329398732029,0.1884316841461892,0.14928073935852235
2021,-1,T1,0.9534207183751793,0.09170479661508973,2.5686069317603882e-25
2021,-1,T2,0.7657133399202208,0.1036707231496118,1.5129666750067807e-13
2021,-1,T3,0.45517560569180143,0.1241193754898214,0.0002451821297214153
2022,0,T1,0.0,0.0,
2022,0,T2,0.0,0.0,
2022,0,T3,0.0,0.0,
2023,1,T1,1.2216313555129774,0.08723869333891264,1.4875552011059663e-44
2023,1,T2,0.15982410322826301,0.09607031269800653,0.09618920508562526
2023,1,T3,-2.066821961338061,0.11271556946950635,4.222891907440285e-75
2024,2,T1,1.5708644560202663,0.11852200630410256,4.2904402574010635e-40
2024,2,T2,0.22738214189791872,0.12410644222557654,0.06692844719048933
2024,2,T3,-2.6041205840488773,0.1436293105090441,1.8194594197639042e-73
2025,3,T1,2.024948028195033,0.14084124875816367,7.161395475323439e-47
2025,3,T2,0.25899596341162595,0.15262610017076958,0.08970970312125036
2025,3,T3,-3.0056603592587843,0.14900474579916545,1.740090459376362e-90
