year,rel_year,tercile,beta_detrended,se_detrended,p_detrended
2018,-4,T1,1.9929657546442003,0.1284046622889643,2.5021379607354356e-54
2018,-4,T2,2.689386316425826,0.14579416625136404,5.567436734020246e-76
2018,-4,T3,4.301878955829891,0.1636945609179005,3.254242714321451e-152
2019,-3,T1,-0.010887430691323707,0.0973062146375806,0.9109119429894305
2019,-3,T2,0.42294782085149346,0.12227743246712483,0.00054234655696983
2019,-3,T3,1.860115918223137,0.13362580505345997,4.766673234254115e-44
2020,-2,T1,0.44646476655581374,0.11522137211340526,0.00010669331524034436
2020,-2,T2,0.7020670157273102,0.15039173971337266,3.0376848812521467e-06
2020,-2,T3,1.040663743208993,0.17157059006762687,1.3153265902696263e-09
2021,-1,T1,0.6772632912938045,0.08284276955008753,2.951661488323554e-16
2021,-1,T2,0.6778582519918711,0.09674726581307255,2.443800128245219e-12
2021,-1,T3,0.8179043831359306,0.11620940407593741,1.947467902412999e-12
2022,0,T1,0.0,0.0,
2022,0,T2,0.0,0.0,
2022,0,T3,0.0,0.0,
2023,1,T1,1.410842285699501,0.09486688383709246,5.023645632072309e-50
2023,1,T2,0.1607326942617458,0.10491355717124581,0.12551038137747153
2023,1,T3,-2.5164972356770434,0.12098568885673514,4.331889987322949e-96
2024,2,T1,1.9927595648406518,0.13516852661198864,3.424056193914118e-49
2024,2,T2,0.272672572412229,0.14111664671782112,0.053328716145797726
2024,2,T3,-3.4599978842794976,0.16431178338786515,1.9514513672654772e-98
2025,3,T1,2.6795273156493007,0.16188644862442553,1.5514440993234504e-61
2025,3,T2,0.34866823340676534,0.17627634422501653,0.047932786926733806
2025,3,T3,-4.267739685381051,0.1804311217932783,1.0989893499933618e-123
