season,sport_id,game_pk,game_date,status,home_team_id,home_team_name,away_team_id,away_team_name,venue_id,venue_name
2014,12,383740,2014-04-13T19:05:00Z,Final,417,Mobile BayBears,421,Montgomery Biscuits,2780,Hank Aaron Stadium
2014,12,383741,2014-04-13T18:00:00Z,Final,553,Tennessee Smokies,498,Chattanooga Lookouts,2848,Smokies Park
2014,12,383742,2014-04-14T23:15:00Z,Final,498,Chattanooga Lookouts,564,Jacksonville Suns,2682,AT&T Field
2014,12,383743,2014-04-15T00:00:00Z,Postponed,430,Mississippi Braves,559,Huntsville Stars,2813,Trustmark Park
2014,12,383744,2014-04-15T00:05:00Z,Postponed,417,Mobile BayBears,247,Birmingham Barons,2780,Hank Aaron Stadium
2014,12,383745,2014-04-14T23:30:00Z,Completed Early: Rain,4124,Pensacola Blue Wahoos,421,Montgomery Biscuits,4329,Pensacola Bayfront Stadium
2014,12,383746,2014-04-14T23:15:00Z,Final,553,Tennessee Smokies,104,Jackson Generals,2848,Smokies Park
2014,12,383747,2014-04-15T23:15:00Z,Final,498,Chattanooga Lookouts,564,Jacksonville Suns,2682,AT&T Field
2014,12,383748,2014-04-15T22:00:00Z,Final,430,Mississippi Braves,559,Huntsville Stars,2813,Trustmark Park
2014,12,383749,2014-04-15T22:05:00Z,Final,417,Mobile BayBears,247,Birmingham Barons,2780,Hank Aaron Stadium
2014,12,383750,2014-04-15T23:30:00Z,Final,4124,Pensacola Blue Wahoos,421,Montgomery Biscuits,4329,Pensacola Bayfront Stadium
2014,12,383751,2014-04-15T16:00:00Z,Postponed,553,Tennessee Smokies,104,Jackson Generals,2848,Smokies Park
2014,12,383752,2014-04-16T15:15:00Z,Final,498,Chattanooga Lookouts,564,Jacksonville Suns,2682,AT&T Field
2014,12,383753,2014-04-16T16:00:00Z,Final,430,Mississippi Braves,559,Huntsville Stars,2813,Trustmark Park
2014,12,383754,2014-04-17T00:05:00Z,Final,417,Mobile BayBears,247,Birmingham Barons,2780,Hank Aaron Stadium
2014,12,383755,2014-04-16T23:30:00Z,Final,4124,Pensacola Blue Wahoos,421,Montgomery Biscuits,4329,Pensacola Bayfront Stadium
2014,12,383756,2014-04-16T15:30:00Z,Final,553,Tennessee Smokies,104,Jackson Generals,2848,Smokies Park
2014,12,383757,2014-04-17T23:15:00Z,Final,498,Chattanooga Lookouts,564,Jacksonville Suns,2682,AT&T Field
2014,12,383758,2014-04-18T00:00:00Z,Final,430,Mississippi Braves,559,Huntsville Stars,2813,Trustmark Park
2014,12,383759,2014-04-18T00:05:00Z,Final,417,Mobile BayBears,247,Birmingham Barons,2780,Hank Aaron Stadium
2014,12,383760,2014-04-17T23:30:00Z,Completed Early: Rain,4124,Pensacola Blue Wahoos,421,Montgomery Biscuits,4329,Pensacola Bayfront Stadium
2014,12,383761,2014-04-17T21:30:00Z,Final,553,Tennessee Smokies,104,Jackson Generals,2848,Smokies Park
2014,12,383762,2014-04-18T23:15:00Z,Final,498,Chattanooga Lookouts,564,Jacksonville Suns,2682,AT&T Field
2014,12,383763,2014-04-19T00:00:00Z,Final,430,Mississippi Braves,559,Huntsville Stars,2813,Trustmark Park
2014,12,383764,2014-04-19T00:05:00Z,Final,417,Mobile BayBears,247,Birmingham Barons,2780,Hank Aaron Stadium
2014,12,383765,2014-04-18T23:30:00Z,Final,4124,Pensacola Blue Wahoos,421,Montgomery Biscuits,4329,Pensacola Bayfront Stadium
2014,12,383766,2014-04-18T23:15:00Z,Final,553,Tennessee Smokies,104,Jackson Generals,2848,Smokies Park
2014,12,383767,2014-04-19T23:30:00Z,Final,247,Birmingham Barons,553,Tennessee Smokies,4529,Regions Field
2014,12,383768,2014-04-19T23:30:00Z,Final,559,Huntsville Stars,417,Mobile BayBears,2789,Joe W. Davis Municipal Stadium
2014,12,383769,2014-04-19T23:05:00Z,Final,104,Jackson Generals,498,Chattanooga Lookouts,2833,Generals Park
2014,12,383770,2014-04-19T22:05:00Z,Final,564,Jacksonville Suns,4124,Pensacola Blue Wahoos,2852,The Baseball Grounds of Jacksonville
2014,12,383771,2014-04-19T23:35:00Z,Final,421,Montgomery Biscuits,430,Mississippi Braves,2814,Montgomery Riverwalk Stadium
2014,12,383772,2014-04-20T22:00:00Z,Final,247,Birmingham Barons,553,Tennessee Smokies,4529,Regions Field
2014,12,383773,2014-04-20T18:00:00Z,Final,559,Huntsville Stars,417,Mobile BayBears,2789,Joe W. Davis Municipal Stadium
2014,12,383774,2014-04-20T23:05:00Z,Final,104,Jackson Generals,498,Chattanooga Lookouts,2833,Generals Park
2014,12,383775,2014-04-20T19:05:00Z,Final,564,Jacksonville Suns,4124,Pensacola Blue Wahoos,2852,The Baseball Grounds of Jacksonville
2014,12,383776,2014-04-20T19:05:00Z,Final,421,Montgomery Biscuits,430,Mississippi Braves,2814,Montgomery Riverwalk Stadium
2014,12,383777,2014-04-21T16:30:00Z,Final,247,Birmingham Barons,553,Tennessee Smokies,4529,Regions Field
2014,12,383778,2014-04-21T23:30:00Z,Final,559,Huntsville Stars,417,Mobile BayBears,2789,Joe W. Davis Municipal Stadium
2014,12,383779,2014-04-22T00:05:00Z,Final,104,Jackson Generals,498,Chattanooga Lookouts,2833,Generals Park
2014,12,383780,2014-04-21T23:05:00Z,Final,564,Jacksonville Suns,4124,Pensacola Blue Wahoos,2852,The Baseball Grounds of Jacksonville
2014,12,383781,2014-04-22T00:05:00Z,Final,421,Montgomery Biscuits,430,Mississippi Braves,2814,Montgomery Riverwalk Stadium
2014,12,383782,2014-04-23T00:05:00Z,Final,247,Birmingham Barons,553,Tennessee Smokies,4529,Regions Field
2014,12,383783,2014-04-22T23:30:00Z,Final,559,Huntsville Stars,417,Mobile BayBears,2789,Joe W. Davis Municipal Stadium
2014,12,383784,2014-04-22T16:05:00Z,Final,104,Jackson Generals,498,Chattanooga Lookouts,2833,Generals Park
2014,12,383785,2014-04-22T23:05:00Z,Final,564,Jacksonville Suns,4124,Pensacola Blue Wahoos,2852,The Baseball Grounds of Jacksonville
2014,12,383786,2014-04-22T15:35:00Z,Final,421,Montgomery Biscuits,430,Mississippi Braves,2814,Montgomery Riverwalk Stadium
2014,12,383787,2014-04-23T16:00:00Z,Final,247,Birmingham Barons,553,Tennessee Smokies,4529,Regions Field
2014,12,383788,2014-04-23T16:00:00Z,Final,559,Huntsville Stars,417,Mobile BayBears,2789,Joe W. Davis Municipal Stadium
2014,12,383789,2014-04-23T17:05:00Z,Final,104,Jackson Generals,498,Chattanooga Lookouts,2833,Generals Park
2014,12,383790,2014-04-23T17:05:00Z,Final,564,Jacksonville Suns,4124,Pensacola Blue Wahoos,2852,The Baseball Grounds of Jacksonville
2014,12,383791,2014-04-24T00:05:00Z,Final,421,Montgomery Biscuits,430,Mississippi Braves,2814,Montgomery Riverwalk Stadium
2014,12,383792,2014-04-24T23:15:00Z,Final,498,Chattanooga Lookouts,247,Birmingham Barons,2682,AT&T Field
2014,12,383793,2014-04-24T23:05:00Z,Final,564,Jacksonville Suns,421,Montgomery Biscuits,2852,The Baseball Grounds of Jacksonville
2014,12,383795,2014-04-24T23:30:00Z,Final,4124,Pensacola Blue Wahoos,430,Mississippi Braves,4329,Pensacola Bayfront Stadium
2014,12,383796,2014-04-24T23:15:00Z,Final,553,Tennessee Smokies,559,Huntsville Stars,2848,Smokies Park
2014,12,383797,2014-04-25T23:15:00Z,Final,498,Chattanooga Lookouts,247,Birmingham Barons,2682,AT&T Field
2014,12,383798,2014-04-25T23:05:00Z,Final,564,Jacksonville Suns,421,Montgomery Biscuits,2852,The Baseball Grounds of Jacksonville
2014,12,383800,2014-04-25T23:30:00Z,Final,4124,Pensacola Blue Wahoos,430,Mississippi Braves,4329,Pensacola Bayfront Stadium
2014,12,383801,2014-04-25T23:15:00Z,Final,553,Tennessee Smokies,559,Huntsville Stars,2848,Smokies Park
2014,12,383802,2014-04-26T23:15:00Z,Final,498,Chattanooga Lookouts,247,Birmingham Barons,2682,AT&T Field
2014,12,383803,2014-04-26T23:05:00Z,Final,564,Jacksonville Suns,421,Montgomery Biscuits,2852,The Baseball Grounds of Jacksonville
2014,12,383805,2014-04-26T23:30:00Z,Final,4124,Pensacola Blue Wahoos,430,Mississippi Braves,4329,Pensacola Bayfront Stadium
2014,12,383806,2014-04-26T22:15:00Z,Final,553,Tennessee Smokies,559,Huntsville Stars,2848,Smokies Park
2014,12,383807,2014-04-27T18:15:00Z,Completed Early: Rain,498,Chattanooga Lookouts,247,Birmingham Barons,2682,AT&T Field
2014,12,383808,2014-04-27T19:05:00Z,Final,564,Jacksonville Suns,421,Montgomery Biscuits,2852,The Baseball Grounds of Jacksonville
2014,12,383810,2014-04-27T21:00:00Z,Final,4124,Pensacola Blue Wahoos,430,Mississippi Braves,4329,Pensacola Bayfront Stadium
2014,12,383811,2014-04-27T18:00:00Z,Final,553,Tennessee Smokies,559,Huntsville Stars,2848,Smokies Park
2014,12,383812,2014-04-28T23:15:00Z,Final,498,Chattanooga Lookouts,247,Birmingham Barons,2682,AT&T Field
2014,12,383813,2014-04-28T15:05:00Z,Final,564,Jacksonville Suns,421,Montgomery Biscuits,2852,The Baseball Grounds of Jacksonville
2014,12,383815,2014-04-28T23:30:00Z,Final,4124,Pensacola Blue Wahoos,430,Mississippi Braves,4329,Pensacola Bayfront Stadium
2014,12,383816,2014-04-28T23:15:00Z,Final,553,Tennessee Smokies,559,Huntsville Stars,2848,Smokies Park
2014,12,383817,2014-05-01T00:05:00Z,Final,247,Birmingham Barons,417,Mobile BayBears,4529,Regions Field
2014,12,383818,2014-04-30T23:15:00Z,Final,498,Chattanooga Lookouts,553,Tennessee Smokies,2682,AT&T Field
2014,12,383819,2014-05-01T00:05:00Z,Final,104,Jackson Generals,4124,Pensacola Blue Wahoos,2833,Generals Park
2014,12,383820,2014-04-30T16:00:00Z,Final,430,Mississippi Braves,564,Jacksonville Suns,2813,Trustmark Park
2014,12,383821,2014-04-30T15:35:00Z,Final,421,Montgomery Biscuits,559,Huntsville Stars,2814,Montgomery Riverwalk Stadium
2014,12,383822,2014-05-02T00:05:00Z,Final,247,Birmingham Barons,417,Mobile BayBears,4529,Regions Field
2014,12,383823,2014-05-01T23:15:00Z,Final,498,Chattanooga Lookouts,553,Tennessee Smokies,2682,AT&T Field
2014,12,383824,2014-05-02T00:05:00Z,Final,104,Jackson Generals,4124,Pensacola Blue Wahoos,2833,Generals Park
2014,12,383825,2014-05-02T00:00:00Z,Final,430,Mississippi Braves,564,Jacksonville Suns,2813,Trustmark Park
2014,12,383826,2014-05-01T23:00:00Z,Final,421,Montgomery Biscuits,559,Huntsville Stars,2814,Montgomery Riverwalk Stadium
2014,12,383827,2014-05-03T00:05:00Z,Final,247,Birmingham Barons,417,Mobile BayBears,4529,Regions Field
2014,12,383828,2014-05-02T23:15:00Z,Final,498,Chattanooga Lookouts,553,Tennessee Smokies,2682,AT&T Field
2014,12,383829,2014-05-03T00:05:00Z,Final,104,Jackson Generals,4124,Pensacola Blue Wahoos,2833,Generals Park
2014,12,383830,2014-05-03T00:00:00Z,Final,430,Mississippi Braves,564,Jacksonville Suns,2813,Trustmark Park
2014,12,383831,2014-05-03T00:05:00Z,Final,421,Montgomery Biscuits,559,Huntsville Stars,2814,Montgomery Riverwalk Stadium
2014,12,383832,2014-05-03T23:30:00Z,Final,247,Birmingham Barons,417,Mobile BayBears,4529,Regions Field
2014,12,383833,2014-05-03T23:15:00Z,Final,498,Chattanooga Lookouts,553,Tennessee Smokies,2682,AT&T Field
2014,12,383834,2014-05-03T23:05:00Z,Final,104,Jackson Generals,4124,Pensacola Blue Wahoos,2833,Generals Park
2014,12,383835,2014-05-03T23:00:00Z,Final,430,Mississippi Braves,564,Jacksonville Suns,2813,Trustmark Park
2014,12,383836,2014-05-03T23:35:00Z,Final,421,Montgomery Biscuits,559,Huntsville Stars,2814,Montgomery Riverwalk Stadium
2014,12,383837,2014-05-04T20:00:00Z,Final,247,Birmingham Barons,417,Mobile BayBears,4529,Regions Field
2014,12,383838,2014-05-04T18:15:00Z,Final,498,Chattanooga Lookouts,553,Tennessee Smokies,2682,AT&T Field
2014,12,383839,2014-05-04T23:05:00Z,Final,104,Jackson Generals,4124,Pensacola Blue Wahoos,2833,Generals Park
2014,12,383840,2014-05-04T18:00:00Z,Final,430,Mississippi Braves,564,Jacksonville Suns,2813,Trustmark Park
2014,12,383841,2014-05-05T23:30:00Z,Final,559,Huntsville Stars,104,Jackson Generals,2789,Joe W. Davis Municipal Stadium
2014,12,383842,2014-05-06T00:05:00Z,Final,417,Mobile BayBears,430,Mississippi Braves,2780,Hank Aaron Stadium
2014,12,383843,2014-05-06T00:05:00Z,Final,421,Montgomery Biscuits,564,Jacksonville Suns,2814,Montgomery Riverwalk Stadium
2014,12,383844,2014-05-05T23:30:00Z,Final,4124,Pensacola Blue Wahoos,498,Chattanooga Lookouts,4329,Pensacola Bayfront Stadium
2014,12,383845,2014-05-05T23:15:00Z,Final,553,Tennessee Smokies,247,Birmingham Barons,2848,Smokies Park
2014,12,383846,2014-05-06T23:30:00Z,Final,559,Huntsville Stars,104,Jackson Generals,2789,Joe W. Davis Municipal Stadium
2014,12,383847,2014-05-07T00:05:00Z,Final,417,Mobile BayBears,430,Mississippi Braves,2780,Hank Aaron Stadium
2014,12,383848,2014-05-06T15:35:00Z,Final,421,Montgomery Biscuits,564,Jacksonville Suns,2814,Montgomery Riverwalk Stadium
2014,12,383849,2014-05-06T23:30:00Z,Final,4124,Pensacola Blue Wahoos,498,Chattanooga Lookouts,4329,Pensacola Bayfront Stadium
2014,12,383850,2014-05-06T16:00:00Z,Final,553,Tennessee Smokies,247,Birmingham Barons,2848,Smokies Park
2014,12,383851,2014-05-07T23:30:00Z,Final,559,Huntsville Stars,104,Jackson Generals,2789,Joe W. Davis Municipal Stadium
2014,12,383852,2014-05-08T00:05:00Z,Final,417,Mobile BayBears,430,Mississippi Braves,2780,Hank Aaron Stadium
2014,12,383853,2014-05-08T00:05:00Z,Final,421,Montgomery Biscuits,564,Jacksonville Suns,2814,Montgomery Riverwalk Stadium
2014,12,383854,2014-05-07T23:30:00Z,Final,4124,Pensacola Blue Wahoos,498,Chattanooga Lookouts,4329,Pensacola Bayfront Stadium
2014,12,383855,2014-05-07T23:15:00Z,Final,553,Tennessee Smokies,247,Birmingham Barons,2848,Smokies Park
2014,12,383856,2014-05-08T23:30:00Z,Final,559,Huntsville Stars,104,Jackson Generals,2789,Joe W. Davis Municipal Stadium
