game_pk,game_date,inning,inning_topbot,at_bat_index,pitch_in_pa,balls,strikes,outs,home_team_id,away_team_id,batter_id,pitcher_id,event_type,event,play_desc,is_pa_last,RUN1_SB_FL,RUN2_SB_FL,RUN3_SB_FL,RUN1_CS_FL,RUN2_CS_FL,RUN3_CS_FL,RUN1_PK_FL,RUN2_PK_FL,RUN3_PK_FL,runner_id,start_base,end_base,is_out,out_number,runner_event,runner_event_type,movement_reason,is_scoring_event,rbi,earned,catcher_id
570335,2018-10-01,1,Top,0,0,0,0,0,119,115,453568,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,1,Top,0,1,0,0,0,119,115,453568,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,1,Top,0,2,0,0,0,119,115,453568,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,1,Top,0,3,1,0,0,119,115,453568,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,1,Top,0,4,1,1,0,119,115,453568,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,1,Top,0,5,1,2,0,119,115,453568,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,1,Top,0,6,1,2,0,119,115,453568,621111,field_out,Groundout,"Charlie Blackmon grounds out, second baseman Enrique Hernandez to first baseman Max Muncy.",T,,,,,,,,,,453568,,,T,1,Groundout,field_out,,,,,518735
570335,2018-10-01,1,Top,1,0,1,0,1,119,115,518934,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,1,Top,1,1,1,1,1,119,115,518934,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,1,Top,1,2,2,1,1,119,115,518934,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,1,Top,1,3,2,2,1,119,115,518934,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,1,Top,1,4,2,2,1,119,115,518934,621111,field_out,Flyout,DJ LeMahieu flies out to left fielder Joc Pederson.,T,,,,,,,,,,518934,,,T,2,Flyout,field_out,,,,,518735
570335,2018-10-01,1,Top,2,0,0,1,2,119,115,621311,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,1,Top,2,1,0,2,2,119,115,621311,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,1,Top,2,2,1,2,2,119,115,621311,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,1,Top,2,3,1,2,2,119,115,621311,621111,field_out,Groundout,"David Dahl grounds out, second baseman Enrique Hernandez to first baseman Max Muncy.",T,,,,,,,,,,621311,,,T,3,Groundout,field_out,,,,,518735
570335,2018-10-01,1,Bot,3,0,0,1,0,119,115,592626,608566,,,,,,,,,,,,,,,,,,,,,,,,,460077
570335,2018-10-01,1,Bot,3,1,0,2,0,119,115,592626,608566,,,,,,,,,,,,,,,,,,,,,,,,,460077
570335,2018-10-01,1,Bot,3,2,1,2,0,119,115,592626,608566,,,,,,,,,,,,,,,,,,,,,,,,,460077
570335,2018-10-01,1,Bot,3,3,2,2,0,119,115,592626,608566,,,,,,,,,,,,,,,,,,,,,,,,,460077
570335,2018-10-01,1,Bot,3,4,2,3,0,119,115,592626,608566,strikeout,Strikeout,Joc Pederson strikes out swinging.,T,,,,,,,,,,592626,,,T,1,Strikeout,strikeout,,,,,460077
570335,2018-10-01,1,Bot,4,0,0,1,1,119,115,457759,608566,,,,,,,,,,,,,,,,,,,,,,,,,460077
570335,2018-10-01,1,Bot,4,1,1,1,1,119,115,457759,608566,,,,,,,,,,,,,,,,,,,,,,,,,460077
570335,2018-10-01,1,Bot,4,2,1,2,1,119,115,457759,608566,,,,,,,,,,,,,,,,,,,,,,,,,460077
570335,2018-10-01,1,Bot,4,3,2,2,1,119,115,457759,608566,,,,,,,,,,,,,,,,,,,,,,,,,460077
570335,2018-10-01,1,Bot,4,4,2,2,1,119,115,457759,608566,field_out,Groundout,"Justin Turner grounds out, third baseman Nolan Arenado to first baseman Ian Desmond.",T,,,,,,,,,,457759,,,T,2,Groundout,field_out,,,,,460077
570335,2018-10-01,1,Bot,5,0,0,1,2,119,115,571970,608566,,,,,,,,,,,,,,,,,,,,,,,,,460077
570335,2018-10-01,1,Bot,5,1,0,2,2,119,115,571970,608566,,,,,,,,,,,,,,,,,,,,,,,,,460077
570335,2018-10-01,1,Bot,5,2,0,3,2,119,115,571970,608566,strikeout,Strikeout,Max Muncy strikes out swinging.,T,,,,,,,,,,571970,,,T,3,Strikeout,strikeout,,,,,460077
570335,2018-10-01,2,Top,6,0,0,1,0,119,115,571448,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,2,Top,6,1,1,1,0,119,115,571448,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,2,Top,6,2,1,1,0,119,115,571448,621111,field_out,Pop Out,Nolan Arenado pops out to first baseman Max Muncy in foul territory.,T,,,,,,,,,,571448,,,T,1,Pop Out,field_out,,,,,518735
570335,2018-10-01,2,Top,7,0,0,0,1,119,115,596115,621111,field_out,Groundout,"Trevor Story grounds out softly, pitcher Walker Buehler to first baseman Max Muncy.",T,,,,,,,,,,596115,,,T,2,Groundout,field_out,,,,,518735
570335,2018-10-01,2,Top,8,0,1,0,2,119,115,471865,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,2,Top,8,1,1,1,2,119,115,471865,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,2,Top,8,2,1,2,2,119,115,471865,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,2,Top,8,3,1,2,2,119,115,471865,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,2,Top,8,4,2,2,2,119,115,471865,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,2,Top,8,5,2,3,2,119,115,471865,621111,strikeout,Strikeout,Carlos Gonzalez strikes out swinging.,T,,,,,,,,,,471865,,,T,3,Strikeout,strikeout,,,,,518735
570335,2018-10-01,2,Bot,9,0,1,0,0,119,115,592518,608566,,,,,,,,,,,,,,,,,,,,,,,,,460077
570335,2018-10-01,2,Bot,9,1,1,0,0,119,115,592518,608566,single,Single,Manny Machado singles on a line drive to center fielder Charlie Blackmon.,T,,,,,,,,,,592518,,1B,,,Single,single,,,,,460077
570335,2018-10-01,2,Bot,10,0,0,1,0,119,115,518735,608566,,,,,,,,,,,,,,,,,,,,,,,,,460077
570335,2018-10-01,2,Bot,10,1,0,1,0,119,115,518735,608566,field_out,Flyout,Yasmani Grandal flies out to left fielder David Dahl in foul territory. Manny Machado to 2nd.,T,,,,,,,,,,518735,,,T,1,Flyout,field_out,,,,,460077
570335,2018-10-01,2,Bot,11,0,0,1,1,119,115,641355,608566,,,,,,,,,,,,,,,,,,,,,,,,,460077
570335,2018-10-01,2,Bot,11,1,0,2,1,119,115,641355,608566,,,,,,,,,,,,,,,,,,,,,,,,,460077
570335,2018-10-01,2,Bot,11,2,0,2,1,119,115,641355,608566,field_out,Groundout,"Dodgers challenged (play at 1st), call on the field was upheld: Cody Bellinger grounds out sharply, first baseman Ian Desmond to pitcher German Marquez. Manny Machado to 3rd.",T,,,,,,,,,,641355,,,T,2,Groundout,field_out,,,,,460077
570335,2018-10-01,2,Bot,12,0,0,1,2,119,115,624577,608566,,,,,,,,,,,,,,,,,,,,,,,,,460077
570335,2018-10-01,2,Bot,12,1,1,1,2,119,115,624577,608566,,,,,,,,,,,,,,,,,,,,,,,,,460077
570335,2018-10-01,2,Bot,12,2,1,2,2,119,115,624577,608566,,,,,,,,,,,,,,,,,,,,,,,,,460077
570335,2018-10-01,2,Bot,12,3,1,3,2,119,115,624577,608566,strikeout,Strikeout,Yasiel Puig strikes out swinging.,T,,,,,,,,,,624577,,,T,3,Strikeout,strikeout,,,,,460077
570335,2018-10-01,3,Top,13,0,0,1,0,119,115,435622,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,3,Top,13,1,1,1,0,119,115,435622,621111,hit_by_pitch,Hit By Pitch,Ian Desmond hit by pitch.,T,,,,,,,,,,435622,,1B,,,Hit By Pitch,hit_by_pitch,,,,,518735
570335,2018-10-01,3,Top,14,0,1,0,0,119,115,547172,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,3,Top,14,1,2,0,0,119,115,547172,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,3,Top,14,2,2,0,0,119,115,547172,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,3,Top,14,3,2,1,0,119,115,547172,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,3,Top,14,4,2,2,0,119,115,547172,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,3,Top,14,5,2,2,0,119,115,547172,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,3,Top,14,6,2,2,0,119,115,547172,621111,force_out,Forceout,"Tony Wolters grounds into a force out, shortstop Manny Machado to second baseman Enrique Hernandez. Ian Desmond out at 2nd. Tony Wolters to 1st.",T,,,,,,,,,,435622,1B,,T,1,Forceout,force_out,r_force_out,,,,518735
570335,2018-10-01,3,Top,15,0,0,1,1,119,115,608566,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,3,Top,15,1,0,1,1,119,115,608566,621111,sac_bunt,Sac Bunt,"German Marquez out on a sacrifice bunt, pitcher Walker Buehler to second baseman Enrique Hernandez. Tony Wolters to 2nd.",T,,,,,,,,,,608566,,,T,2,Sac Bunt,sac_bunt,,,,,518735
570335,2018-10-01,3,Top,16,0,0,1,2,119,115,453568,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,3,Top,16,1,0,2,2,119,115,453568,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,3,Top,16,2,1,2,2,119,115,453568,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,3,Top,16,3,2,2,2,119,115,453568,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,3,Top,16,4,3,2,2,119,115,453568,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,3,Top,16,5,4,2,2,119,115,453568,621111,walk,Walk,Charlie Blackmon walks.,T,,,,,,,,,,453568,,1B,,,Walk,walk,,,,,518735
570335,2018-10-01,3,Top,17,0,0,0,2,119,115,518934,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,3,Top,17,1,0,1,2,119,115,518934,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,3,Top,17,2,0,2,2,119,115,518934,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,3,Top,17,3,0,2,2,119,115,518934,621111,,,,,,,,,,,,,,,,,,,,,,,,,518735
570335,2018-10-01,3,Top,17,4,0,2,2,119,115,518934,621111,field_out,Groundout,"DJ LeMahieu grounds out, shortstop Manny Machado to first baseman Max Muncy.",T,,,,,,,,,,518934,,,T,3,Groundout,field_out,,,,,518735
570335,2018-10-01,3,Bot,18,0,0,0,0,119,115,571771,608566,field_out,Groundout,"Enrique Hernandez grounds out sharply, shortstop Trevor Story to first baseman Ian Desmond.",T,,,,,,,,,,571771,,,T,1,Groundout,field_out,,,,,460077
570335,2018-10-01,3,Bot,19,0,0,1,1,119,115,621111,608566,,,,,,,,,,,,,,,,,,,,,,,,,460077
570335,2018-10-01,3,Bot,19,1,0,2,1,119,115,621111,608566,,,,,,,,,,,,,,,,,,,,,,,,,460077
570335,2018-10-01,3,Bot,19,2,1,2,1,119,115,621111,608566,,,,,,,,,,,,,,,,,,,,,,,,,460077
570335,2018-10-01,3,Bot,19,3,2,2,1,119,115,621111,608566,,,,,,,,,,,,,,,,,,,,,,,,,460077
570335,2018-10-01,3,Bot,19,4,3,2,1,119,115,621111,608566,,,,,,,,,,,,,,,,,,,,,,,,,460077
570335,2018-10-01,3,Bot,19,5,4,2,1,119,115,621111,608566,walk,Walk,Walker Buehler walks.,T,,,,,,,,,,621111,,1B,,,Walk,walk,,,,,460077
570335,2018-10-01,3,Bot,20,0,0,1,1,119,115,592626,608566,,,,,,,,,,,,,,,,,,,,,,,,,460077
570335,2018-10-01,3,Bot,20,1,1,1,1,119,115,592626,608566,,,,,,,,,,,,,,,,,,,,,,,,,460077
570335,2018-10-01,3,Bot,20,2,1,1,1,119,115,592626,608566,,,,,,,,,,,,,,,,,,,,,,,,,460077
570335,2018-10-01,3,Bot,20,3,1,1,1,119,115,592626,608566,field_out,Flyout,Joc Pederson flies out to center fielder Charlie Blackmon.,T,,,,,,,,,,592626,,,T,2,Flyout,field_out,,,,,460077
570335,2018-10-01,3,Bot,21,0,1,0,2,119,115,457759,608566,,,,,,,,,,,,,,,,,,,,,,,,,460077
570335,2018-10-01,3,Bot,21,1,1,1,2,119,115,457759,608566,,,,,,,,,,,,,,,,,,,,,,,,,460077
570335,2018-10-01,3,Bot,21,2,1,2,2,119,115,457759,608566,,,,,,,,,,,,,,,,,,,,,,,,,460077
570335,2018-10-01,3,Bot,21,3,1,2,2,119,115,457759,608566,,,,,,,,,,,,,,,,,,,,,,,,,460077
