year,tercile,fe_poisson_coef,fe_poisson_se,fe_poisson_pval,fe_poisson_rr,fe_poisson_ci_lower,fe_poisson_ci_upper
2018,T2,-0.06845205770440389,0.08807007599512408,0.43701402653319865,0.9338382293787751,-0.2410694066548471,0.10416529124603931
2018,T1,-0.07886344333064282,0.12099908093395621,0.9314305155497232,0.924166116875535,-0.316021641961197,0.15829475529991135
2018,T3,-0.1461123596931452,0.14298652361355327,0.5870401471573041,0.8640606121449457,-0.42636594597570965,0.1341412265894192
2019,T2,-0.043041167328260854,0.09563889704579846,0.6526828192623241,0.9578719562260894,-0.23049340553802583,0.14441107088150412
2019,T1,-0.1791323811152647,0.13195293883221784,0.3023712113731908,0.8359952220915482,-0.43776014122641166,0.07949537899588227
2019,T3,-0.1563255045600099,0.13160901918549078,0.3893679045824906,0.8552807472729019,-0.41427918216357185,0.10162817304355201
2021,T2,-0.016392129452397076,0.0755368065980273,0.8282017170496495,0.9837414904007123,-0.16444427038453058,0.13166001147973644
2021,T1,-0.166015351091837,0.1114716374341989,0.179513738951668,0.8470332312046737,-0.3844997604628668,0.05246905827919285
2021,T3,-0.16309623182784003,0.11662072619709579,0.20840655250778317,0.8495094346353332,-0.39167285517414774,0.06548039151846771
2022,T2,0.0,0.0,,1.0,0.0,0.0
2022,T1,0.0,0.0,,1.0,0.0,0.0
2022,T3,0.0,0.0,,1.0,0.0,0.0
2023,T2,0.26839244400942625,0.07173058988372345,0.0001827989431788335,1.3078603012552166,0.12780048783732828,0.4089844001815242
2023,T1,0.25809667806625197,0.0970915079984918,0.9155491248497944,1.2944639588473572,0.06779732238920805,0.4483960337432959
2023,T3,0.354270969904563,0.09728503115265914,0.3773704461294738,1.4251413045676227,0.16359230884535111,0.5449496309637749
2024,T2,0.4797803714901815,0.08565582805048572,2.1280202031262826e-08,1.6157195051543645,0.31189494851122945,0.6476657944691335
2024,T1,0.4116259187030136,0.10648962675890852,0.5221659347594193,1.5092697411321092,0.20290625025555292,0.6203455871504744
2024,T3,0.45079000669691976,0.12409387496060359,0.815282791767252,1.5695516521485835,0.20756601177413672,0.6940140016197028
