year,tercile,fe_poisson_coef,fe_poisson_se,fe_poisson_pval,fe_poisson_rr,fe_poisson_ci_lower,fe_poisson_ci_upper,coef_ols,se_ols,poisson_coef,poisson_se,diff_fe_poisson_ols,diff_fe_poisson_nofe
2018,T2,-0.06845205770440389,0.08807007599512408,0.43701402653319865,0.9338382293787751,-0.2410694066548471,0.10416529124603931,-0.0007914031754011,0.0017831877442254,0.0420275391771176,0.0808270251932137,-0.06766065452900279,-0.1104795968815215
2018,T1,-0.07886344333064282,0.12099908093395621,0.9314305155497232,0.924166116875535,-0.316021641961197,0.15829475529991135,-0.0002144406364657,0.0021591098383408,-0.097319380187052,0.1135771739569204,-0.07864900269417713,0.018455936856409172
2018,T3,-0.1461123596931452,0.14298652361355327,0.5870401471573041,0.8640606121449457,-0.42636594597570965,0.1341412265894192,-0.0035457835693729,0.002432328351962,0.0334975475829728,0.1283354277201795,-0.1425665761237723,-0.179609907276118
2019,T2,-0.043041167328260854,0.09563889704579846,0.6526828192623241,0.9578719562260894,-0.23049340553802583,0.14441107088150412,-0.0013636520695896,0.001690504817968,0.0032643193818878,0.0950967887095356,-0.041677515258671256,-0.046305486710148655
2019,T1,-0.1791323811152647,0.13195293883221784,0.3023712113731908,0.8359952220915482,-0.43776014122641166,0.07949537899588227,-0.0014796436603611,0.0020877070628961,-0.1910034015243873,0.1278821891570266,-0.1776527374549036,0.011871020409122607
2019,T3,-0.1563255045600099,0.13160901918549078,0.3893679045824906,0.8552807472729019,-0.41427918216357185,0.10162817304355201,-0.0028636948712354,0.0024042672072188,-0.0094531947693685,0.1211840864695293,-0.15346180968877451,-0.1468723097906414
2021,T2,-0.016392129452397076,0.0755368065980273,0.8282017170496495,0.9837414904007123,-0.16444427038453058,0.13166001147973644,-0.0006966458435495,0.0017343791263058,-0.0873359855686352,0.0718418440237076,-0.015695483608847576,0.07094385611623813
2021,T1,-0.166015351091837,0.1114716374341989,0.179513738951668,0.8470332312046737,-0.3844997604628668,0.05246905827919285,-0.0016210714728022,0.0020491354811191,-0.2697182317068635,0.1015901568098746,-0.1643942796190348,0.1037028806150265
2021,T3,-0.16309623182784003,0.11662072619709579,0.20840655250778317,0.8495094346353332,-0.39167285517414774,0.06548039151846771,-0.0038942044152667,0.0020687582398742,-0.0083042501026283,0.1055727734839478,-0.15920202741257333,-0.15479198172521172
2022,T2,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,T1,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,-0.0675950781671099,0.0759516582636824,0.0,0.0675950781671099
2022,T3,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.1664380957542178,0.0775593557208739,0.0,-0.1664380957542178
2023,T2,0.26839244400942625,0.07173058988372345,0.0001827989431788335,1.3078603012552166,0.12780048783732828,0.4089844001815242,0.0050101226497907,0.0020079839063472,0.2054336802840741,0.0594503492298746,0.2633823213596355,0.06295876372535214
2023,T1,0.25809667806625197,0.0970915079984918,0.9155491248497944,1.2944639588473572,0.06779732238920805,0.4483960337432959,0.0059697529852067,0.0024007664248209,0.216564696648737,0.0813428995024886,0.2521269250810453,0.04153198141751496
2023,T3,0.354270969904563,0.09728503115265914,0.3773704461294738,1.4251413045676227,0.16359230884535111,0.5449496309637749,0.0098445847689801,0.0030947069740204,0.5063875529621755,0.0845027915956177,0.34442638513558294,-0.1521165830576125
2024,T2,0.4797803714901815,0.08565582805048572,2.1280202031262826e-08,1.6157195051543645,0.31189494851122945,0.6476657944691335,0.0085490781228269,0.0019735083437454,0.4001015252343599,0.0750399826574147,0.4712312933673546,0.07967884625582161
2024,T1,0.4116259187030136,0.10648962675890852,0.5221659347594193,1.5092697411321092,0.20290625025555292,0.6203455871504744,0.0086791365993718,0.0028320317323073,0.3139854556756919,0.0975725652974484,0.4029467821036418,0.09764046302732171
2024,T3,0.45079000669691976,0.12409387496060359,0.815282791767252,1.5695516521485835,0.20756601177413672,0.6940140016197028,0.0092604666464456,0.002716723724104,0.5579832474986078,0.1080217261345593,0.4415295400504742,-0.10719324080168807
