"player_id","player_name","team_name","start_year","end_year","key_target_base","runs_stolen_on_running_act","n_init","rate_sbx","n_sb","n_cs","n_pk","n_bk","n_fb","n_plus","n_minus","net_act_plus","net_act_minus","r_primary_lead","r_secondary_lead","r_sec_minus_prim_lead","r_primary_lead_sbx","r_secondary_lead_sbx","r_sec_minus_prim_lead_sbx"
545358,"Stassi, Max","LAA",2021,2021,"All",-0.14937313451901382,369,0,0,0,0,0,0,0,0,-3.0506886766641057,1.023921335141794,"10.918147632","12.952623955","2.034476323",,,
624133,"Suárez, Ranger","PHI",2021,2021,"All",-0.007763360668704367,20,0,0,0,0,0,0,0,0,-0.12121790825119012,0.03662271329229702,"11.1685625","13.4193125","2.25075",,,
453943,"Frazier, Todd","PIT",2021,2021,"All",-0.013046013293743556,25,0,0,0,0,0,0,0,0,-0.15868871238797205,0.04153717596411301,"10.88924","14.29204","3.4028",,,
669256,"Solak, Nick","TEX",2021,2021,"All",-1.0521041737963892,748,0.012032085561497326,5,4,0,0,0,5,4,-0.046707951402738646,-2.3172501855907526,"12.646592319","15.897737075","3.251144756","12.573888889","22.256333333","9.682444444"
664702,"Straw, Myles","CLE",2021,2021,"All",1.7530287531337265,1284,0.0264797507788162,28,6,2,1,0,29,8,19.330425301586708,-4.695680682630259,"11.992341113","15.43066158","3.438320467","12.7505","24.362411765","11.611911765"
571788,"Holt, Brock","TEX",2021,2021,"All",-0.5846905840683649,334,0.008982035928143712,2,1,1,0,0,2,2,-0.3271484479659239,-1.1539130988337347,"12.226044164","16.680028391","4.453984227","12.558","27.932","15.374"
621450,"Bolt, Skye","OAK",2021,2021,"All",0.3476071068768693,87,0.022988505747126436,2,0,0,0,0,2,0,1.2742732325509822,0.20611657859260715,"13.840246753","18.827714286","4.987467532","12.487","25.775","13.288"
591720,"Torreyes, Ronald","PHI",2021,2021,"All",0.007689989673375225,415,0.004819277108433735,1,1,0,2,0,3,1,-0.27652070860875133,0.13998695865583494,"12.147638889","16.389073232","4.241434343","11.5895","23.073","11.4835"
435559,"Suzuki, Kurt","LAA",2021,2021,"All",-0.10682586579642345,328,0,0,0,0,0,0,0,0,-2.4673047066112006,0.8591890567240368,"10.574678233","13.687962145","3.113283912",,,
663656,"Tucker, Kyle","HOU",2021,2021,"All",1.8600316976792146,630,0.023809523809523808,14,1,1,1,0,15,2,9.931338149088567,-0.280524293641109,"12.28790718","16.068807356","3.780900175","12.313133333","22.945533333","10.6324"
572816,"Dickerson, Corey","TOR",2021,2021,"All",-0.34074771553455313,589,0.010186757215619695,4,2,0,0,0,4,2,-0.784038178679999,-0.40875573288567263,"11.878579336","15.543830258","3.665250923","12.783833333","22.653666667","9.869833333"
