"entity_name","entity_id","team_id","age","maxeff_arm_2b_3b_sba","exchange_2b_3b_sba","pop_2b_sba_count","pop_2b_sba","pop_2b_cs","pop_2b_sb","pop_3b_sba_count","pop_3b_sba","pop_3b_cs","pop_3b_sb"
"Gallagher, Cam","595956",118,"27","78.5","0.68","3","1.91",,"1.91","0",,,
"Phegley, Josh","572033",112,"32",,"0.71","1","1.92",,"1.92","0",,,
"Cervelli, Francisco","465041",146,"34","79.3","0.9","1","2.32",,"2.32","0",,,
"Kelly, Carson","608348",109,"25","81.8","0.79","8","1.96",,"1.96","0",,,
"Marchán, Rafael","665561",143,"21",,"0.69","1","1.85",,"1.85","0",,,
"Mejía, Francisco","642336",135,"24",,"0.74","1","1.87",,"1.87","0",,,
"Stubbs, Garrett","596117",117,"27",,"0.73","1","1.87",,"1.87","0",,,
"Wieters, Matt","446308",138,"34",,"0.69","1","2.28",,"2.28","0",,,
"Allen, Austin","664119",133,"26","79.8","0.84","3","2.1",,"2.1","0",,,
"Hudson, Joe","621529",136,"29","75.6","0.7","1","2.03",,"2.03","0",,,
"Tromp, Chadwick","644433",137,"25",,"0.69","1","1.93",,"1.93","0",,,
"Contreras, William","661388",144,"22",,"0.72","1","1.97",,"1.97","0",,,
"Kirk, Alejandro","672386",141,"21","77.5","0.71","4","2.06",,"2.06","0",,,
"Viloria, Meibrys","650619",118,"23","80.6","0.88","3","2.1",,"2.1","0",,,
"Ruiz, Keibert","660688",119,"21",,"0.74","1","2.04",,"2.04","0",,,
"Huff, Sam","669087",140,"22","84","0.79","2","1.94",,"1.94","0",,,
"Briceño, José","593993",108,"27",,"0.69","1","1.88",,"1.88","0",,,
"Jackson, Alex","656577",144,"24",,"0.8","1","2.04",,"2.04","0",,,
"Joseph, Caleb","543376",141,"34","76.2","0.75","2","2.12",,"2.12","1","1.45",,"1.45"
