level,coefficient,rate_ratio,pct_change,ci_low,ci_high,pvalue
AA (reference),0.1164482279873713,1.1234993431393159,12.349934313931588,5.9828010679817245,19.09958609461686,9.152162927571658e-05
AAA (main + interaction),0.27949402718154737,1.3224605139547831,32.24605139547832,,,1.0387599939854459e-05
AAA,0.2674188070670587,1.3065875398547626,30.65875398547626,24.418287306465647,37.212224686764685,9.164933085131587e-27
AA,0.10506900419476506,1.1107872566914188,11.078725669141875,4.413564366431499,18.169352527603657,0.0008749131423394508
