pitcher_id,pitcher_name,season,level_name,opp_1b_2b,opp_2b_3b,games,total_opps,sb,cs,attempts,attempt_rate,success_rate,sb_rate,post2022,year_rel
400072,Juan Antonio Pena,2019,AAA,35,19,15,54,2,1,3,0.0555555555555555,0.6666666666666666,0.037037037037037,0,-3
400141,Horacio Ramirez,2019,AAA,28,6,18,34,1,0,1,0.0294117647058823,1.0,0.0294117647058823,0,-3
407845,Fernando Rodney,2019,AAA,7,3,6,10,2,0,2,0.2,1.0,0.2,0,-3
407878,Jose Valverde,2019,AAA,22,20,26,42,3,1,4,0.0952380952380952,0.75,0.0714285714285714,0,-3
407924,Manny Acosta,2019,AAA,30,15,25,45,1,0,1,0.0222222222222222,1.0,0.0222222222222222,0,-3
408233,Francisco Campos,2019,AAA,25,14,8,39,0,2,2,0.0512820512820512,0.0,0.0,0,-3
425564,Francisco Del Rosario,2019,AAA,48,40,30,88,8,0,8,0.0909090909090909,1.0,0.0909090909090909,0,-3
425656,Wilfredo Ledezma,2019,AAA,5,5,5,10,0,0,0,0.0,,0.0,0,-3
429440,Edgar Gonzalez,2019,AAA,81,44,23,125,2,3,5,0.04,0.4,0.016,0,-3
429719,Edwin Jackson,2019,AAA,16,5,5,21,0,0,0,0.0,,0.0,0,-3
429722,Ervin Santana,2019,AAA,59,27,15,86,5,3,8,0.0930232558139534,0.625,0.0581395348837209,0,-3
429901,Sergio Mitre,2019,AAA,91,40,20,131,14,2,16,0.1221374045801526,0.875,0.1068702290076335,0,-3
429985,Chad Gaudin,2019,AAA,10,6,7,16,2,1,3,0.1875,0.6666666666666666,0.125,0,-3
430613,Ronald Belisario,2019,AAA,47,16,27,63,3,0,3,0.0476190476190476,1.0,0.0476190476190476,0,-3
430634,Sean Burnett,2019,AAA,9,3,5,12,0,0,0,0.0,,0.0,0,-3
434564,Zack Segovia,2019,AAA,46,36,40,82,14,1,15,0.1829268292682926,0.9333333333333332,0.1707317073170731,0,-3
434669,Luis Mendoza,2019,AAA,21,10,5,31,4,0,4,0.1290322580645161,1.0,0.1290322580645161,0,-3
444556,Santiago Gutierrez,2019,AAA,47,14,27,61,2,3,5,0.081967213114754,0.4,0.0327868852459016,0,-3
445060,Ricky Nolasco,2019,AAA,10,10,5,20,2,0,2,0.1,1.0,0.1,0,-3
445994,Alexis Candelario,2019,AAA,42,9,10,51,1,3,4,0.0784313725490196,0.25,0.0196078431372549,0,-3
445995,Arturo Lopez,2019,AAA,81,27,22,108,0,5,5,0.0462962962962962,0.0,0.0,0,-3
446185,Logan Ondrusek,2019,AAA,59,27,17,86,1,2,3,0.0348837209302325,0.3333333333333333,0.0116279069767441,0,-3
446321,Ross Detwiler,2019,AAA,32,12,7,44,2,4,6,0.1363636363636363,0.3333333333333333,0.0454545454545454,0,-3
446861,Guillermo Moscoso,2019,AAA,61,33,21,94,3,4,7,0.0744680851063829,0.4285714285714285,0.0319148936170212,0,-3
447744,Raul Valdes,2019,AAA,9,4,5,13,0,0,0,0.0,,0.0,0,-3
447763,Jesus Adrian Castillo,2019,AAA,39,16,35,55,5,3,8,0.1454545454545454,0.625,0.0909090909090909,0,-3
448159,Manny Parra,2019,AAA,14,10,13,24,1,0,1,0.0416666666666666,1.0,0.0416666666666666,0,-3
448614,Carlos Torres,2019,AAA,39,15,23,54,4,1,5,0.0925925925925925,0.8,0.074074074074074,0,-3
448660,Mark Serrano,2019,AAA,29,15,25,44,3,1,4,0.0909090909090909,0.75,0.0681818181818181,0,-3
448842,Frankie De La Cruz,2019,AAA,87,42,21,129,13,2,15,0.1162790697674418,0.8666666666666667,0.1007751937984496,0,-3
451470,Mauricio Lara,2019,AAA,83,41,22,124,7,1,8,0.064516129032258,0.875,0.0564516129032258,0,-3
451661,Josh Fields,2019,AAA,11,8,11,19,1,1,2,0.1052631578947368,0.5,0.0526315789473684,0,-3
451775,Fernando Rodriguez Jr.,2019,AAA,20,11,14,31,5,0,5,0.1612903225806451,1.0,0.1612903225806451,0,-3
452061,Zach Phillips,2019,AAA,29,10,24,39,1,2,3,0.0769230769230769,0.3333333333333333,0.0256410256410256,0,-3
452676,Mitch Talbot,2019,AAA,34,14,12,48,1,3,4,0.0833333333333333,0.25,0.0208333333333333,0,-3
452743,Jason Urquidez,2019,AAA,4,6,6,10,1,0,1,0.1,1.0,0.1,0,-3
