level,coefficient,odds_ratio,or_ci_low,or_ci_high,pct_point_change,pvalue
AA (reference),0.37474553140770644,1.454621212105578,1.3272118417952345,1.594261597188153,6.412811710638727,1.1219320136499467e-15
AAA (main + interaction),0.3741258285955957,1.4537200585024306,,,6.339652766001662,0.9919123149788405
AAA,0.4383732712523149,1.5501834383516602,1.427228515040409,1.6837308582443349,7.428341240347744,2.5585786455652377e-25
AA,0.31612170377261967,1.371797198361366,1.2437030576611745,1.5130842863496157,5.475901296805689,2.607456237688469e-10
