level,coefficient,rate_ratio,pct_change,ci_low,ci_high,pvalue
AA (reference),0.19231578941512073,1.2120532101108141,21.205321011081413,13.517609245701824,29.41366488438033,8.807484547681451e-09
AAA (main + interaction),0.3357845292304643,1.399037540636093,39.90375406360931,,,0.0006119808848911023
AAA,0.38273701114133096,1.4662923608028187,46.62923608028186,37.66533851717566,56.17680605059925,1.306191984434661e-32
AA,0.23596450189128754,1.2661293641713223,26.612936417132225,18.98777331895203,34.72674730366958,9.643027048478825e-14
