"entity_id","entity_name","entity_code","team_id","total_pitches","total_pitches","total_pitches_empty","median_seconds_empty","total_pitches_onbase","median_seconds_empty","freq_hot","freq_warm","freq_cold"
572821,"Dozier, Brian","Pit",120,9,9,4,8.376,5,8.376,1,0,0
543148,"Federowicz, Tim","Pit",140,4,4,1,8.909,3,8.909,1,0,0
467055,"Sandoval, Pablo","Pit",137,3,3,1,9.109,2,9.109,1,0,0
645801,"Ford, Mike","Pit",147,22,22,12,9.309,10,9.309,0.9545454545454546,0.045454545454545456,0
606299,"Peraza, José","Pit",113,6,6,3,9.443,3,9.443,1,0,0
608700,"Plawecki, Kevin","Pit",114,8,8,8,9.443,,9.443,1,0,0
641525,"Dixon, Brandon","Pit",116,13,13,11,9.542,2,9.542,1,0,0
593643,"Alberto, Hanser","Pit",110,10,10,4,9.676,6,9.676,1,0,0
596451,"Quinn, Roman","Pit",143,33,33,15,10.044,18,10.044,0.7878787878787878,0.21212121212121213,0
571974,"Murphy, John Ryan","Pit",144,32,32,15,10.143,17,10.143,0.9375,0.0625,0
607732,"Stallings, Jacob","Pit",134,2,2,2,10.177,,10.177,1,0,0
605361,"Martini, Nick","Pit",135,11,11,4,10.177,7,10.177,1,0,0
491696,"Sucre, Jesús","Pit",110,4,4,4,10.244,,10.244,1,0,0
502273,"Freeman, Mike","Pit",114,12,12,12,10.377,,10.377,0.9166666666666666,0.08333333333333333,0
664238,"Moore, Dylan","Pit",136,15,15,2,10.378,13,10.378,0.6,0.4,0
664034,"France, Ty","Pit",135,16,16,12,10.544,4,10.544,1,0,0
643603,"White, Tyler","Pit",119,55,55,24,10.677,31,10.677,0.9272727272727272,0.05454545454545454,0.01818181818181818
592836,"Walker, Taijuan","Pit",109,5,5,2,11.011,3,11.011,0.4,0.6,0
600858,"Arteaga, Humberto","Pit",118,11,11,9,11.144,2,11.144,1,0,0
425772,"Mathis, Jeff","Pit",140,9,9,1,11.378,8,11.378,0.8888888888888888,0.1111111111111111,0
456488,"Núñez, Eduardo","Pit",111,8,8,8,11.645,,11.645,0.75,0.25,0
541650,"Pérez, Hernán","Pit",158,24,24,14,11.645,10,11.645,0.7916666666666666,0.20833333333333334,0
608718,"Suter, Brent","Pit",158,102,102,84,11.745,18,11.745,0.696078431372549,0.29411764705882354,0.00980392156862745
435622,"Desmond, Ian","Pit",115,7,7,6,11.945,1,11.945,0.5714285714285714,0.42857142857142855,0
519222,"Romine, Austin","Pit",147,9,9,6,11.978,3,11.978,0.7777777777777778,0.2222222222222222,0
488671,"Avila, Alex","Pit",109,14,14,9,12.012,5,12.012,1,0,0
622492,"Mella, Keury","Pit",113,10,10,1,12.045,9,12.045,0.1,0.9,0
572008,"Owings, Chris","Pit",111,20,20,4,12.046,16,12.046,0.85,0.15,0
605170,"Caratini, Victor","Pit",112,16,16,14,12.112,2,12.112,1,0,0
543376,"Joseph, Caleb","Pit",109,4,4,4,12.112,,12.112,1,0,0
448602,"Reynolds, Mark","Pit",115,11,11,2,12.345,9,12.345,0.9090909090909091,0.09090909090909091,0
501303,"Adrianza, Ehire","Pit",142,11,11,5,12.346,6,12.346,0.9090909090909091,0.09090909090909091,0
642083,"Slegers, Aaron","Pit",139,14,14,7,12.346,7,12.346,0.35714285714285715,0.6428571428571429,0
621002,"Robertson, Daniel","Pit",139,2,2,1,12.412,1,12.412,1,0,0
450314,"Zobrist, Ben","Pit",112,9,9,3,12.446,6,12.446,0.8888888888888888,0.1111111111111111,0
460086,"Gordon, Alex","Pit",118,31,31,9,12.546,22,12.546,0.8709677419354839,0.12903225806451613,0
431145,"Martin, Russell","Pit",119,19,19,8,12.78,11,12.78,0.47368421052631576,0.5263157894736842,0
592859,"Wilkerson, Stevie","Pit",110,19,19,17,12.813,2,12.813,0.7894736842105263,0.21052631578947367,0
642028,"Rogers, Josh","Pit",110,129,129,87,12.88,42,12.88,0.5426356589147286,0.4573643410852713,0
571437,"Altherr, Aaron","Pit",121,9,9,5,12.947,4,12.947,0.7777777777777778,0.2222222222222222,0
489119,"Miley, Wade","Pit",117,1377,1377,928,13.08,449,13.08,0.5177923021060276,0.46695715323166304,0.015250544662309368
435079,"Kinsler, Ian","Pit",135,14,14,5,13.18,9,13.18,0.5714285714285714,0.42857142857142855,0
607455,"Banda, Anthony","Pit",139,27,27,22,13.213,5,13.213,0.6666666666666666,0.3333333333333333,0
595928,"Curtiss, John","Pit",108,24,24,8,13.28,16,13.28,0.3333333333333333,0.6666666666666666,0
658648,"Avila, Pedro","Pit",135,39,39,27,13.313,12,13.313,0.5128205128205128,0.48717948717948717,0
621052,"Reyes, Alex","Pit",138,35,35,19,13.314,16,13.314,0.45714285714285713,0.5142857142857142,0.02857142857142857
622774,"Fernández, José Manuel","Pit",116,37,37,19,13.38,18,13.38,0.5135135135135135,0.4864864864864865,0
518614,"Descalso, Daniel","Pit",112,5,5,5,13.38,,13.38,0.8,0.2,0
573009,"Mantiply, Joe","Pit",147,22,22,20,13.413,2,13.413,0.7272727272727273,0.2727272727272727,0
434778,"Morales, Kendrys","Pit",147,9,9,3,13.414,6,13.414,0.3333333333333333,0.6666666666666666,0
594951,"O'Rourke, Ryan","Pit",121,12,12,6,13.58,6,13.58,0.25,0.75,0
571927,"Matz, Steven","Pit",121,1286,1286,811,13.647,475,13.647,0.42457231726283046,0.5513219284603421,0.02410575427682737
518586,"Culberson, Charlie","Pit",144,28,28,7,13.647,21,13.647,0.5357142857142857,0.4642857142857143,0
621389,"Blach, Ty","Pit",110,237,237,139,13.68,98,13.68,0.4177215189873418,0.5738396624472574,0.008438818565400843
620446,"Urena, Richard","Pit",141,14,14,5,13.68,9,13.68,0.8571428571428571,0.07142857142857142,0.07142857142857142
656686,"Martin, Corbin","Pit",117,194,194,131,13.68,63,13.68,0.4948453608247423,0.4742268041237113,0.030927835051546393
641302,"Alexander, Tyler","Pit",116,401,401,262,13.881,139,13.881,0.4114713216957606,0.5785536159600998,0.00997506234413965
666200,"Luzardo, Jesús","Pit",133,86,86,58,13.947,28,13.947,0.4883720930232558,0.4883720930232558,0.023255813953488372
641482,"Cortes, Nestor","Pit",147,614,614,405,13.981,209,13.981,0.4153094462540717,0.5504885993485342,0.03420195439739414
517593,"Salazar, Danny","Pit",114,36,36,20,14.014,16,14.014,0.3333333333333333,0.5833333333333334,0.08333333333333333
660546,"Díaz, Yennsy","Pit",141,14,14,2,14.014,12,14.014,0.07142857142857142,0.8571428571428571,0.07142857142857142
596057,"Norris, Daniel","Pit",116,1066,1066,746,14.047,320,14.047,0.4427767354596623,0.5440900562851783,0.013133208255159476
445926,"Chavez, Jesse","Pit",140,645,645,389,14.081,256,14.081,0.3751937984496124,0.5829457364341085,0.04186046511627907
642558,"Jurado, Ariel","Pit",140,940,940,618,14.147,322,14.147,0.4106382978723404,0.5585106382978723,0.030851063829787233
641745,"Keller, Brad","Pit",118,1217,1217,803,14.148,414,14.148,0.4026294165981923,0.5653245686113394,0.03204601479046836
664045,"Eshelman, Thomas","Pit",110,289,289,190,14.181,99,14.181,0.39792387543252594,0.5743944636678201,0.02768166089965398
606131,"Perdomo, Luis","Pit",135,465,465,267,14.214,198,14.214,0.3311827956989247,0.6494623655913978,0.01935483870967742
621366,"Borucki, Ryan","Pit",141,78,78,35,14.215,43,14.215,0.2948717948717949,0.6794871794871795,0.02564102564102564
