model,year,baseline_rr,event_rr,opp_rr,event_pct_change,opp_pct_change,event_stable,opp_stable
C3_Attempts,2023,1.3078603012552166,1.3078603012552499,1.3078603012552128,2.5466550752239106e-12,-2.886209085253765e-13,True,True
C3_Attempts,2024,1.6157195051543645,1.6157195051544144,1.615719505154367,3.092123103592718e-12,1.5117046284231067e-13,True,True
C5_Total,2023,1.3977051073758813,1.3977051073758684,1.3977051073758964,-9.214094602423463e-13,1.0802731602841302e-12,True,True
C5_Total,2024,1.694336075593564,1.6943360755935317,1.6943360755935657,-1.900240936725047e-12,1.048408792675888e-13,True,True
