pitcher_id,pitcher_name,season,level_key,league_name,total_opps,sb,cs,attempts,games,attempt_rate,success_rate,sb_rate
282332,CC Sabathia,2019,highA,Florida State League,2,0,0,0,1,0.0,,0.0
346847,Joe Beimel,2021,aa,Double-A Central,16,3,1,4,17,0.25,0.75,0.1875
429719,Edwin Jackson,2019,highA,California League,2,1,0,1,1,0.5,1.0,0.5
429722,Ervin Santana,2019,highA,Florida State League,14,3,0,3,3,0.21428571428571427,1.0,0.21428571428571427
433587,Félix Hernández,2019,highA,California League,1,0,0,0,1,0.0,,0.0
445060,Ricky Nolasco,2019,aa,Southern League,14,4,0,4,2,0.2857142857142857,1.0,0.2857142857142857
446185,Logan Ondrusek,2019,aa,Eastern League,4,0,0,0,3,0.0,,0.0
446372,Corey Kluber,2019,aa,Eastern League,1,0,0,0,1,0.0,,0.0
446372,Corey Kluber,2021,aa,Double-A Northeast,12,1,0,1,2,0.08333333333333333,1.0,0.08333333333333333
448179,Rich Hill,2019,highA,California League,2,0,0,0,1,0.0,,0.0
448281,Sean Doolittle,2019,highA,Carolina League,0,0,0,0,1,,,
448609,Tony Sipp,2019,highA,Carolina League,0,0,0,0,1,,,
450172,Edinson Volquez,2019,aa,Texas League,2,0,0,0,4,0.0,,0.0
450306,Jason Vargas,2019,aa,Eastern League,2,0,0,0,1,0.0,,0.0
453329,Clay Buchholz,2019,highA,Florida State League,2,1,0,1,1,0.5,1.0,0.5
455605,J.D. Martin,2019,aa,Texas League,107,20,3,23,14,0.21495327102803738,0.8695652173913043,0.18691588785046728
456387,Ryan Feierabend,2019,aa,Eastern League,10,1,0,1,1,0.1,1.0,0.1
456501,Johnny Cueto,2019,highA,California League,10,0,0,0,2,0.0,,0.0
456713,Matt Bush,2019,aa,Texas League,2,0,0,0,9,0.0,,0.0
457915,Javy Guerra,2021,aa,Double-A Northeast,0,0,0,0,1,,,
458220,Esmerling Vasquez,2019,aa,Texas League,24,4,1,5,5,0.20833333333333334,0.8,0.16666666666666666
458584,Xavier Cedeño,2019,aa,Southern League,8,1,0,1,7,0.125,1.0,0.125
458924,Jonny Venters,2019,aa,Eastern League,13,0,0,0,9,0.0,,0.0
461829,Gio González,2019,highA,Carolina League,3,0,0,0,1,0.0,,0.0
462136,Marco Estrada,2019,highA,California League,6,0,1,1,3,0.16666666666666666,0.0,0.0
471174,Luis Vasquez,2019,aa,Texas League,21,5,0,5,14,0.23809523809523808,1.0,0.23809523809523808
471911,Carlos Carrasco,2019,aa,Eastern League,2,0,1,1,2,0.5,0.0,0.0
472551,Fernando Abad,2019,aa,Eastern League,2,0,0,0,3,0.0,,0.0
472610,Luis García,2019,highA,California League,0,0,0,0,1,,,
475479,David Phelps,2019,highA,Florida State League,0,0,0,0,1,,,
476454,Dellin Betances,2021,singleA,Low-A Southeast,4,0,0,0,3,0.0,,0.0
476595,Lucas Luetge,2019,aa,Southern League,21,2,2,4,20,0.19047619047619047,0.5,0.09523809523809523
476601,Michael Bowden,2019,aa,Texas League,14,3,1,4,4,0.2857142857142857,0.75,0.21428571428571427
476633,Chris Parmelee,2019,aa,Texas League,2,0,0,0,1,0.0,,0.0
477132,Clayton Kershaw,2019,aa,Texas League,4,0,0,0,1,0.0,,0.0
487675,Edward Paredes,2019,aa,Texas League,8,2,1,3,5,0.375,0.6666666666666666,0.25
488984,Tommy Hunter,2019,aa,Eastern League,1,0,0,0,1,0.0,,0.0
488984,Tommy Hunter,2019,highA,Florida State League,0,0,0,0,3,,,
500724,JC Ramírez,2019,highA,California League,6,3,0,3,4,0.5,1.0,0.5
501593,Luis Avilán,2019,highA,Florida State League,3,0,0,0,2,0.0,,0.0
501925,Joe Smith,2019,aa,Texas League,2,0,0,0,2,0.0,,0.0
501992,Nate Karns,2019,aa,Eastern League,7,2,0,2,2,0.2857142857142857,1.0,0.2857142857142857
501992,Nate Karns,2019,highA,Carolina League,3,1,0,1,2,0.3333333333333333,1.0,0.3333333333333333
502154,Zack Britton,2021,aa,Double-A Northeast,2,0,0,0,3,0.0,,0.0
502202,Brad Boxberger,2019,aa,Eastern League,9,3,0,3,8,0.3333333333333333,1.0,0.3333333333333333
502253,Alex Sanabia,2021,aa,Double-A Northeast,8,0,0,0,2,0.0,,0.0
502381,Luke Gregerson,2019,aa,Texas League,3,0,0,0,6,0.0,,0.0
502381,Luke Gregerson,2019,highA,Florida State League,3,1,0,1,3,0.3333333333333333,1.0,0.3333333333333333
502522,Justin Miller,2019,aa,Eastern League,3,1,0,1,6,0.3333333333333333,1.0,0.3333333333333333
502522,Justin Miller,2019,highA,Carolina League,0,0,0,0,1,,,
502578,Aaron Barrett,2019,aa,Eastern League,49,4,1,5,50,0.10204081632653061,0.8,0.08163265306122448
502578,Aaron Barrett,2021,aa,Double-A Northeast,12,1,1,2,6,0.16666666666666666,0.5,0.08333333333333333
502578,Aaron Barrett,2021,singleA,Low-A East,3,1,0,1,4,0.3333333333333333,1.0,0.3333333333333333
502748,Brad Peacock,2019,aa,Texas League,0,0,0,0,1,,,
514981,Diego Moreno,2021,aa,Double-A Northeast,9,3,0,3,4,0.3333333333333333,1.0,0.3333333333333333
516769,Jenrry Mejia,2019,aa,Eastern League,1,0,0,0,1,0.0,,0.0
517593,Danny Salazar,2019,aa,Eastern League,10,1,0,1,5,0.1,1.0,0.1
518397,Scott Alexander,2021,singleA,Low-A West,0,0,0,0,1,,,
518435,Manny Barreda,2021,aa,Double-A Northeast,2,0,0,0,1,0.0,,0.0
518464,Seth Blair,2019,highA,California League,37,4,5,9,17,0.24324324324324326,0.4444444444444444,0.10810810810810811
518464,Seth Blair,2021,aa,Double-A Northeast,12,1,0,1,15,0.08333333333333333,1.0,0.08333333333333333
518489,Ryan Brasier,2021,aa,Double-A Northeast,0,0,0,0,3,,,
518566,Taylor Cole,2019,highA,California League,6,3,0,3,2,0.5,1.0,0.5
518603,Justin De Fratus,2019,aa,Texas League,78,8,3,11,15,0.14102564102564102,0.7272727272727273,0.10256410256410256
518633,Danny Duffy,2019,aa,Texas League,6,0,0,0,2,0.0,,0.0
518774,Matt Harvey,2019,highA,California League,3,3,0,3,1,1.0,1.0,1.0
518813,Greg Holland,2019,aa,Eastern League,5,1,0,1,8,0.2,1.0,0.2
519096,Dan Otero,2019,aa,Eastern League,2,1,0,1,3,0.5,1.0,0.5
519151,Ryan Pressly,2019,aa,Texas League,1,0,1,1,1,1.0,0.0,0.0
