year,tercile,coef_ols,se_ols,coef_wls,se_wls,is_pretrend,ci_lower_ols,ci_upper_ols,ci_lower_wls,ci_upper_wls
2018,T2,-0.0007914031754011321,0.0017831877442254335,-0.0010575086670579932,0.0012176756368824332,True,-0.004286451154082982,0.002703644803280718,-0.0034441529153475623,0.0013291355812315756
2018,T1,-0.00021444063646576842,0.0021591098383408193,-0.0009658882006977335,0.0015798692370663932,True,-0.004446295919613774,0.004017414646682237,-0.004062431905347864,0.002130655503952397
2018,T3,-0.0035457835693729445,0.0024323283519620998,-0.002276653984831186,0.002007436207919757,True,-0.008313147139218659,0.0012215800004727706,-0.00621122895235391,0.0016579209826915382
2019,T2,-0.0013636520695896755,0.0016905048179680574,-0.0005940427633734415,0.0012476716948846894,True,-0.0046770415128070675,0.0019497373736277169,-0.0030394792853474326,0.0018513937586005494
2019,T1,-0.0014796436603611784,0.0020877070628961703,-0.0022819104826609523,0.0016315378444414531,True,-0.005571549503637672,0.0026122621829153155,-0.005479724657766201,0.0009159036924442959
2019,T3,-0.0028636948712354744,0.0024042672072188452,-0.0023450459570804627,0.0017868621306238238,True,-0.007576058597384411,0.0018486688549134624,-0.005847295733103157,0.001157203818942232
2021,T2,-0.0006966458435495465,0.0017343791263058775,-0.0001342500502965774,0.0009199070545351089,True,-0.004096028931109066,0.002702737244009973,-0.001937267877185391,0.001668767776592236
2021,T1,-0.0016210714728022752,0.002049135481119103,-0.001955905170278592,0.0012816658333904985,True,-0.005637377015795716,0.0023952340701911662,-0.004467970203723969,0.0005561598631667851
2021,T3,-0.003894204415266774,0.0020687582398742858,-0.00251648774767371,0.0015484259401568105,True,-0.007948970565420373,0.0001605617348868259,-0.005551402590381059,0.0005184270950336386
2022,T2,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
2022,T1,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
2022,T3,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
2023,T2,0.005010122649790764,0.0020079839063472,0.0042818105757719506,0.001066400518498112,False,0.0010744741933502522,0.008945771106231275,0.002191665559515651,0.00637195559202825
2023,T1,0.0059697529852067496,0.002400766424820966,0.004184433569934521,0.001418688572756628,False,0.0012642507925576564,0.010675255177855843,0.0014038039673315303,0.006965063172537512
2023,T3,0.009844584768980102,0.003094706974020451,0.007319050543422435,0.0016453364555246526,False,0.003778959099900018,0.015910210438060186,0.004094191090594116,0.010543909996250754
2024,T2,0.008549078122826992,0.0019735083437454042,0.008320789665380784,0.001441987746794596,False,0.0046810017690859995,0.012417154476567983,0.0054944936816633755,0.011147085649098193
2024,T1,0.008679136599371895,0.0028320317323073897,0.006940428889516839,0.001743134957282507,False,0.003128354404049411,0.014229918794694377,0.003523884373243125,0.010356973405790552
2024,T3,0.00926046664644564,0.002716723724104049,0.009516690546829744,0.002264914054132833,False,0.003935688147201704,0.014585245145689577,0.005077459000729392,0.013955922092930097
