"player_id","entity_name","team_name","start_year","end_year","runner_runs_tot","runner_runs_XB","runner_runs_SBX","N_runner_moved","runner_runs_XB_swipe","runner_runs_XB_snipe","runner_runs_XB_freeze","N_runner_moved_XB","runner_runs_SB2","runner_runs_SB3","simple_stolen_on_running_act_SB2","simple_stolen_on_running_act_SB3","N_runner_moved_SBX"
677951,"Witt Jr., Bobby","KC",2022,2022,7.092973837613801,4.516399282239303,2.5765745553744983,96,5.377898061568051,0,-0.8614987793287503,65,2.3662262574252173,0.21034829794928012,14.4044153591335,1.9676085550596765,31
542932,"Berti, Jon","MIA",2022,2022,7.023435729038575,2.880253099724432,4.143182629314143,83,3.31734582514939,0,-0.4370927254249577,39,3.8510509444888776,0.2921316848252662,24.582916072754777,2.3329934232138334,44
680757,"Kwan, Steven","CLE",2022,2022,6.869728554188421,5.030160078644869,1.8395684755435522,82,6.515012921100353,0,-1.4848528424554779,62,1.7086174561516057,0.13095101939194712,7.818619427893744,0.17604638650315205,20
664983,"McCarthy, Jake","AZ",2022,2022,6.576286767031365,3.7033924353006102,2.872894331730755,57,4.55841756673312,0,-0.8550251314325086,35,2.1373549516225796,0.7355393801081749,11.763883931228296,3.399749210460439,22
607208,"Turner, Trea","LAD",2022,2022,6.1323206784577655,3.099171469560746,3.0331492088970196,91,5.062595313480887,0,-1.9634238439201417,65,3.14960218217714,-0.11645297328011725,14.307946612938842,-0.14481506375120054,26
543760,"Semien, Marcus","TEX",2022,2022,5.824041903128799,4.776471735295967,1.0475701678328317,87,5.598555253004856,0,-0.822083517708892,58,0.9119756126496629,0.13559455518316893,6.823585218854555,2.362378979711386,29
664702,"Straw, Myles","CLE",2022,2022,5.566526399310259,2.616147575564454,2.9503788237458055,69,4.7290689667011945,-1.529999345123894,-0.582922046012846,50,2.3447595794175116,0.6056192443282924,9.63363932554394,2.3549567486325995,19
669242,"Edman, Tommy","STL",2022,2022,5.069169040606145,2.5906268056029678,2.4785422350031774,86,4.491846017867651,-0.7567264202506849,-1.1444927920139967,59,2.475403827589058,0.0031384074141187213,12.142773374024332,0.8987801779335269,27
671739,"Harris II, Michael","ATL",2022,2022,4.953304048370375,2.3504696361470323,2.6028344122233436,61,3.8612726256255145,-0.7909463960747881,-0.7198565934036955,45,1.6526081046628733,0.9502263075604693,7.497219306242746,3.8273125773640384,16
621020,"Swanson, Dansby","ATL",2022,2022,4.736432901421311,3.6201041271392747,1.116328774282036,79,5.0011997591225,0,-1.3810956319832244,57,0.412379817454648,0.7039489568273878,4.760500672366376,3.1573905273222476,22
666969,"García, Adolis","TEX",2022,2022,4.5786535849680625,2.5410821352737134,2.0375714496943487,83,4.44587766024768,-0.8307905448839575,-1.0740049800900096,55,2.6146999470619168,-0.5771284973675674,14.592121388770883,-0.7784248006290635,28
642708,"Rosario, Amed","CLE",2022,2022,4.331839283698833,4.039959582891427,0.2918797008074054,85,7.097841305406538,-2.2978353566810035,-0.7600463658341085,69,0.4787155500952799,-0.18683584928787478,3.2607681694235504,0.009078977640745611,16
543807,"Springer, George","TOR",2022,2022,4.320612994559876,3.1705290584736563,1.1500839360862194,66,4.804232289119915,-0.769039520257586,-0.8646637103886717,53,1.0278761148683884,0.12220782121783073,4.262603916488987,0.3361603059815416,13
622761,"Mateo, Jorge","BAL",2022,2022,4.272387908318507,1.9601381366795692,2.3122497716389376,89,3.9031596379741282,-1.5172597600785043,-0.42576174121605453,51,2.0407979280357034,0.2714518436032342,15.820273531863103,3.4545331733139992,38
593428,"Bogaerts, Xander","BOS",2022,2022,4.13236802911949,3.1789186554187956,0.9534493737006945,78,5.1781783196669275,-0.7517924895391579,-1.247467174708972,69,-0.10052086201901722,1.0539702357197123,-2.2600789568569017,4.6535799123799935,9
642350,"Siri, Jose","TB",2022,2022,4.014129147018742,1.8868427836591608,2.127286363359581,50,3.4155687355631477,-0.7589747286756667,-0.7697512232283192,35,1.955263266953619,0.17202309640596206,9.589573961347865,0.7260816224710415,15
462101,"Andrus, Elvis","CWS",2022,2022,3.9941156964212086,2.613711437032752,1.3804042593884562,74,3.828328524097428,0,-1.2146170870646777,53,0.739481815640241,0.6409224437482159,5.242385249716506,4.234451503252847,21
607054,"Peterson, Jace","MIL",2022,2022,3.900340146218242,2.4420076706573255,1.4583324755609164,43,2.960332744512855,0,-0.5183250738555284,32,1.2461337307250233,0.21219874483589274,5.3860053199424875,0.6344821438681667,11
664056,"Bader, Harrison","NYY",2022,2022,3.8520635376416674,2.7456693411029933,1.1063941965386743,49,3.1302428078999744,0,-0.38457346679698157,33,0.7376794896849641,0.3687147068537103,6.068940132855799,1.6470867984118722,16
623205,"Velazquez, Andrew","LAA",2022,2022,3.8203952762297284,0.7396233227050362,3.080771953524692,32,1.1728967399325327,0,-0.4332734172274968,16,2.878884384202594,0.2018875693220981,12.693156152128017,0.685878484310861,16
663656,"Tucker, Kyle","HOU",2022,2022,3.8022613680751784,0.3472043543220951,3.455057013753083,61,2.282720219814809,0,-1.9355158654927138,36,3.4283135954630994,0.026743418289985492,15.755397491216684,1.021478479604857,25
670032,"Lopez, Nicky","KC",2022,2022,3.6979574403866877,3.7054686835578883,-0.007511243171200641,63,5.045495408782361,-0.7683144310294908,-0.5717122941949819,52,-0.029735574746568405,0.02222433157536819,1.0540975818913862,-0.39433876259484957,11
664238,"Moore, Dylan","SEA",2022,2022,3.5915102220539996,1.7169164360866462,1.8745937859673534,46,2.2306484014211465,0,-0.5137319653345007,26,1.5394340033551086,0.3351597826122442,10.074744382752552,1.453985889388237,20
