"entity_id","entity_name","entity_code","team_id","total_pitches","total_pitches","total_pitches_empty","median_seconds_empty","total_pitches_onbase","median_seconds_empty","freq_hot","freq_warm","freq_cold"
621512,"Nido, Tomás","Pit",116,3,3,2,6.531,1,6.531,1,0,0
543592,"Nola, Austin","Pit",115,11,11,6,6.866,5,6.866,1,0,0
656577,"Jackson, Alex","Pit",110,13,13,3,7.573,10,7.573,0.9230769230769231,0.07692307692307693,0
669722,"Davidson, Logan","Pit",108,11,11,11,7.689,,7.689,1,0,0
669717,"Wilson, Will","Pit",114,15,15,10,7.781,5,7.781,1,0,0
645305,"Sánchez, Ali","Pit",111,7,7,1,7.801,6,7.801,1,0,0
656896,"Rivera, Emmanuel","Pit",110,25,25,4,8.082,21,8.082,1,0,0
694359,"Kavadas, Niko","Pit",108,10,10,4,8.311,6,8.311,1,0,0
676801,"McCormick, Chas","Pit",117,32,32,14,8.453,18,8.453,1,0,0
683021,"Stefanic, Michael","Pit",141,4,4,4,8.623,,8.623,1,0,0
681146,"Bride, Jonah","Pit",142,55,55,20,8.679,35,8.679,0.9818181818181818,0.01818181818181818,0
642133,"Tellez, Rowdy","Pit",140,9,9,2,8.786,7,8.786,1,0,0
624512,"McGuire, Reese","Pit",112,11,11,4,8.792,7,8.792,1,0,0
622761,"Mateo, Jorge","Pit",110,18,18,2,8.875,16,8.875,0.9444444444444444,0.05555555555555555,0
642708,"Rosario, Amed","Pit",147,13,13,6,8.92,7,8.92,1,0,0
691594,"Sanoja, Javier","Pit",146,77,77,37,9.068,40,9.068,0.948051948051948,0.05194805194805195,0
676679,"Vázquez, Luis","Pit",110,15,15,11,9.283,4,9.283,0.9333333333333333,0.06666666666666667,0
647351,"Toro, Abraham","Pit",111,5,5,1,9.343,4,9.343,0.8,0.2,0
660844,"Rivas, Leo","Pit",136,8,8,2,9.383,6,9.383,1,0,0
571466,"Barnhart, Tucker","Pit",140,10,10,3,9.437,7,9.437,1,0,0
573262,"Yastrzemski, Mike","Pit",118,9,9,2,9.499,7,9.499,0.8888888888888888,0.1111111111111111,0
682515,"Porter, Logan","Pit",137,7,7,4,9.508,3,9.508,1,0,0
663967,"Salazar, César","Pit",117,6,6,5,9.552,1,9.552,1,0,0
664068,"Kingery, Scott","Pit",108,14,14,2,9.568,12,9.568,1,0,0
678011,"Seigler, Anthony","Pit",158,5,5,2,9.683,3,9.683,1,0,0
595978,"Hedges, Austin","Pit",114,32,32,11,9.705,21,9.705,0.96875,0.03125,0
681962,"Capra, Vinny","Pit",145,14,14,9,9.788,5,9.788,1,0,0
660644,"Bruján, Vidal","Pit",144,12,12,4,9.952,8,9.952,1,0,0
620443,"Torrens, Luis","Pit",121,14,14,11,9.968,3,9.968,1,0,0
677649,"Duran, Ezequiel","Pit",140,13,13,9,9.996,4,9.996,1,0,0
680862,"MacIver, Willie","Pit",133,7,7,3,10.059,4,10.059,1,0,0
645444,"Herrera, Jose","Pit",109,16,16,5,10.072,11,10.072,1,0,0
669450,"Hummel, Cooper","Pit",117,7,7,3,10.113,4,10.113,1,0,0
596142,"Sánchez, Gary","Pit",110,11,11,8,10.118,3,10.118,0.9090909090909091,0.09090909090909091,0
489119,"Miley, Wade","Pit",113,102,102,59,10.32,43,10.32,0.9215686274509803,0.0784313725490196,0
641343,"Bauers, Jake","Pit",158,39,39,12,10.375,27,10.375,1,0,0
542932,"Berti, Jon","Pit",112,28,28,10,10.388,18,10.388,0.9642857142857143,0.03571428571428571,0
686676,"Lee, Korey","Pit",145,18,18,8,10.417,10,10.417,1,0,0
676609,"Caballero, José","Pit",147,15,15,10,10.467,5,10.467,0.9333333333333333,0.06666666666666667,0
642215,"Wilson, Weston","Pit",143,19,19,12,10.5,7,10.5,1,0,0
665019,"Clemens, Kody","Pit",142,11,11,3,10.527,8,10.527,1,0,0
670032,"Lopez, Nicky","Pit",112,5,5,3,10.753,2,10.753,1,0,0
623168,"Heineman, Tyler","Pit",141,22,22,8,10.855,14,10.855,1,0,0
672724,"Peraza, Oswald","Pit",108,19,19,9,10.924,10,10.924,0.9473684210526315,0.05263157894736842,0
621028,"Newman, Kevin","Pit",108,13,13,11,10.949,2,10.949,1,0,0
500743,"Rojas, Miguel","Pit",119,30,30,20,11.014,10,11.014,0.9666666666666667,0.03333333333333333,0
663897,"Williams, Luke","Pit",144,29,29,14,11.19,15,11.19,1,0,0
650489,"Castro, Willi","Pit",112,7,7,4,11.301,3,11.301,0.8571428571428571,0.14285714285714285,0
571912,"Maile, Luke","Pit",118,6,6,5,11.464,1,11.464,1,0,0
571771,"Hernández, Enrique","Pit",119,67,67,19,11.476,48,11.476,0.7910447761194029,0.208955223880597,0
608718,"Suter, Brent","Pit",113,485,485,299,11.536,186,11.536,0.6721649484536083,0.32783505154639175,0
668670,"Rogers, Jake","Pit",116,30,30,11,11.709,19,11.709,0.9666666666666667,0.03333333333333333,0
671106,"Allen, Logan","Pit",114,1186,1186,728,11.854,458,11.854,0.6256323777403036,0.37352445193929174,0.0008431703204047217
694738,"Roupp, Landen","Pit",137,854,854,526,11.86,328,11.86,0.6908665105386417,0.3079625292740047,0.00117096018735363
596001,"Junis, Jakob","Pit",114,500,500,309,11.875,191,11.875,0.72,0.27,0.01
686747,"La Sorsa, Joe","Pit",113,49,49,33,11.876,16,11.876,0.5510204081632653,0.42857142857142855,0.02040816326530612
683766,"Koss, Christian","Pit",137,19,19,11,11.895,8,11.895,1,0,0
681987,"Eaton, Nate","Pit",111,7,7,3,11.972,4,11.972,1,0,0
596103,"Slater, Austin","Pit",147,6,6,3,12.002,3,12.002,1,0,0
622569,"Reyes, Pablo","Pit",147,7,7,3,12.018,4,12.018,1,0,0
607732,"Stallings, Jacob","Pit",110,11,11,9,12.024,2,12.024,0.9090909090909091,0.09090909090909091,0
663795,"Hagenman, Justin","Pit",121,164,164,113,12.11,51,12.11,0.6951219512195121,0.29878048780487804,0.006097560975609756
696270,"Johnson, Ryan","Pit",108,125,125,54,12.173,71,12.173,0.44,0.56,0
640902,"Pereda, Jhonny","Pit",142,33,33,5,12.191,28,12.191,0.7878787878787878,0.21212121212121213,0
571927,"Matz, Steven","Pit",111,510,510,331,12.251,179,12.251,0.6901960784313725,0.30980392156862746,0
676724,"Young, Jared","Pit",121,6,6,1,12.283,5,12.283,1,0,0
665665,"Sanmartin, Reiver","Pit",113,10,10,5,12.324,5,12.324,0.4,0.6,0
676701,"Trejo, Alan","Pit",115,9,9,7,12.352,2,12.352,0.6666666666666666,0.3333333333333333,0
624431,"Trevino, Jose","Pit",113,20,20,6,12.383,14,12.383,1,0,0
657053,"Toussaint, Touki","Pit",108,16,16,8,12.385,8,12.385,0.625,0.3125,0.0625
628452,"Iglesias, Raisel","Pit",144,370,370,243,12.474,127,12.474,0.7621621621621621,0.23243243243243245,0.005405405405405406
693821,"Elder, Bryce","Pit",144,1102,1102,745,12.548,357,12.548,0.5871143375680581,0.411070780399274,0.0018148820326678765
663738,"Lynch IV, Daniel","Pit",118,513,513,284,12.615,229,12.615,0.5750487329434698,0.42300194931773877,0.001949317738791423
682995,"Barco, Hunter","Pit",134,6,6,4,12.624,2,12.624,0.5,0.5,0
663399,"Waddell, Brandon","Pit",121,228,228,132,12.625,96,12.625,0.4824561403508772,0.5131578947368421,0.0043859649122807015
805673,"Matthews, Zebby","Pit",142,547,547,311,12.638,236,12.638,0.5009140767824497,0.48628884826325414,0.012797074954296161
