"entity_name","entity_id","team_id","age","maxeff_arm_2b_3b_sba","exchange_2b_3b_sba","pop_2b_sba_count","pop_2b_sba","pop_2b_cs","pop_2b_sb","pop_3b_sba_count","pop_3b_sba","pop_3b_cs","pop_3b_sb"
"González, Alfredo","554054",145,"25","89.4","0.79","3","1.86","1.73","1.93","0",,,
"Realmuto, J.T.","592663",146,"27","87.8","0.69","23","1.9","1.88","1.9","2","1.47","1.46","1.48"
"Taylor, Beau","607333",133,"28","84.4","0.74","2","1.92","1.89","1.95","0",,,
"Higashioka, Kyle","543309",147,"28","80.5","0.69","6","1.95","1.9","1.96","1","1.55","1.55",
"Alfaro, Jorge","595751",143,"25","90.9","0.73","45","1.92","1.9","1.94","1","1.49",,"1.49"
"Stewart, Chris","455755",109,"36","78.3","0.57","3","1.88","1.9","1.87","0",,,
"Astudillo, Willians","553902",142,"26","79.7","0.72","5","2","1.91","2.02","0",,,
"Viloria, Meibrys","650619",118,"21","84.5","0.72","6","1.92","1.91","1.92","1","1.52",,"1.52"
"Pérez, Michael","605421",139,"25","85.2","0.77","6","1.94","1.92","1.96","0",,,
"Hedges, Austin","595978",135,"25","83.1","0.69","24","1.94","1.92","1.95","5","1.52","1.51","1.53"
"Nido, Tomás","621512",121,"24","82.2","0.7","11","1.94","1.92","1.94","1","1.53",,"1.53"
"Sánchez, Gary","596142",147,"25","86.9","0.75","18","1.94","1.93","1.96","4","1.48","1.49","1.48"
"Swihart, Blake","596119",111,"26","85.7","0.76","11","1.97","1.93","2.01","0",,,
"Piña, Manny","444489",158,"31","83.9","0.67","26","1.95","1.93","1.98","0",,,
"Pérez, Carlos","542208",140,"27","79.6","0.64","9","1.99","1.94","2.05","1","1.52","1.52",
"McGuire, Reese","624512",141,"23","79.3","0.64","10","1.95","1.94","1.95","0",,,
"Garcia, Aramis","605244",137,"25",,"0.7","1","1.94","1.94",,"0",,,
"Ramos, Wilson","467092",143,"30","82.3","0.71","15","1.99","1.94","2.01","6","1.58","1.56","1.59"
"Greiner, Grayson","606988",116,"25","85.4","0.78","8","1.99","1.94","2","1","1.62",,"1.62"
"Butler, Dan","576788",111,"31","79.8","0.77","2","2.01","1.95","2.08","0",,,
"Herrmann, Chris","543302",136,"30","81.4","0.73","7","2.04","1.95","2.08","1","1.51",,"1.51"
"Castillo, Welington","456078",145,"31","80.1","0.62","13","1.96","1.95","1.97","1","1.54","1.54",
"León, Sandy","506702",111,"29","82.2","0.67","20","1.97","1.95","1.98","0",,,
"Contreras, Willson","575929",112,"26","86.3","0.75","29","1.96","1.96","1.96","3","1.55","1.54","1.55"
"Pérez, Roberto","547379",114,"29","83.4","0.7","18","1.96","1.96","1.97","1","1.49","1.49",
"Gomes, Yan","543228",114,"30","81.3","0.66","35","1.93","1.96","1.92","4","1.75","1.57","1.8"
"Avila, Alex","488671",109,"31","81.5","0.73","15","1.98","1.97","1.99","1","1.63","1.63",
"Gallagher, Cam","595956",118,"25","78.7","0.75","4","2.06","1.97","2.08","0",,,
"Rivera, René","425784",144,"34","81.6","0.72","10","2","1.97","2.02","0",,,
"Knapp, Andrew","595284",143,"26","82.7","0.75","24","2.03","1.98","2.04","1","1.57",,"1.57"
"Maldonado, Martín","455117",117,"31","87.6","0.77","20","1.97","1.98","1.97","4","1.61","1.58","1.62"
"Kieboom, Spencer","571851",120,"27","80.2","0.69","15","1.99","1.98","1.99","1","1.6",,"1.6"
