"entity_id","entity_name","entity_code","team_id","total_pitches","total_pitches","total_pitches_empty","median_seconds_empty","total_pitches_onbase","median_seconds_empty","freq_hot","freq_warm","freq_cold"
502273,"Freeman, Mike","Pit",113,3,3,3,5.871,,5.871,1,0,0
595284,"Knapp, Andrew","Pit",143,2,2,2,7.685,,7.685,1,0,0
643565,"Tauchman, Mike","Pit",137,10,10,1,7.83,9,7.83,1,0,0
506702,"León, Sandy","Pit",146,38,38,23,8.45,15,8.45,1,0,0
621433,"Phillips, Brett","Pit",139,12,12,5,8.772,7,8.772,0.9166666666666666,0.08333333333333333,0
656669,"Luplow, Jordan","Pit",139,11,11,8,9.05,3,9.05,1,0,0
608700,"Plawecki, Kevin","Pit",111,8,8,8,9.223,,9.223,0.875,0.125,0
553902,"Astudillo, Willians","Pit",142,32,32,21,9.562,11,9.562,0.8125,0.1875,0
591720,"Torreyes, Ronald","Pit",143,15,15,7,9.679,8,9.679,1,0,0
573131,"Ruf, Darin","Pit",137,9,9,2,9.893,7,9.893,1,0,0
660620,"Araúz, Jonathan","Pit",111,5,5,2,9.915,3,9.915,1,0,0
596056,"Nogowski, John","Pit",134,12,12,4,10.072,8,10.072,0.9166666666666666,0.08333333333333333,0
665155,"Maton, Nick","Pit",143,1,1,1,10.402,,10.402,1,0,0
624414,"Arroyo, Christian","Pit",111,9,9,6,10.462,3,10.462,1,0,0
594809,"Eaton, Adam","Pit",108,11,11,3,10.626,8,10.626,0.5454545454545454,0.45454545454545453,0
607054,"Peterson, Jace","Pit",158,21,21,6,10.711,15,10.711,1,0,0
452678,"Cabrera, Asdrúbal","Pit",113,9,9,3,10.724,6,10.724,1,0,0
621532,"Bemboom, Anthony","Pit",108,11,11,2,10.796,9,10.796,1,0,0
621011,"Schrock, Max","Pit",113,6,6,3,10.812,3,10.812,1,0,0
658069,"Fuentes, Joshua","Pit",115,5,5,4,10.884,1,10.884,1,0,0
595943,"Evans, Phillip","Pit",134,1,1,1,10.886,,10.886,1,0,0
621002,"Robertson, Daniel","Pit",158,5,5,2,10.95,3,10.95,0.8,0.2,0
642336,"Mejía, Francisco","Pit",139,13,13,7,10.96,6,10.96,0.9230769230769231,0.07692307692307693,0
541650,"Pérez, Hernán","Pit",120,5,5,3,11.093,2,11.093,1,0,0
542992,"Burns, Andy","Pit",119,11,11,5,11.109,6,11.109,0.8181818181818182,0.18181818181818182,0
594694,"Difo, Wilmer","Pit",134,30,30,11,11.143,19,11.143,0.9,0.1,0
457759,"Turner, Justin","Pit",119,4,4,1,11.182,3,11.182,0.75,0.25,0
592407,"Holaday, Bryan","Pit",109,9,9,9,11.617,,11.617,0.8888888888888888,0.1111111111111111,0
596103,"Slater, Austin","Pit",137,4,4,4,11.699,,11.699,1,0,0
665665,"Sanmartin, Reiver","Pit",113,88,88,45,11.921,43,11.921,0.4431818181818182,0.5568181818181818,0
519203,"Rizzo, Anthony","Pit",147,11,11,8,11.923,3,11.923,1,0,0
572761,"Carpenter, Matt","Pit",138,17,17,7,12.036,10,12.036,0.8823529411764706,0.11764705882352941,0
621500,"Mathisen, Wyatt","Pit",109,4,4,2,12.042,2,12.042,1,0,0
519299,"Sogard, Eric","Pit",112,33,33,24,12.096,9,12.096,0.6363636363636364,0.36363636363636365,0
605612,"Castro, Harold","Pit",116,19,19,14,12.231,5,12.231,0.8947368421052632,0.10526315789473684,0
668670,"Rogers, Jake","Pit",116,6,6,1,12.233,5,12.233,1,0,0
592859,"Wilkerson, Stevie","Pit",110,5,5,5,12.327,,12.327,1,0,0
642851,"Wynns, Austin","Pit",110,5,5,5,12.373,,12.373,0.8,0.2,0
641645,"Guillorme, Luis","Pit",121,8,8,3,12.445,5,12.445,1,0,0
444482,"Peralta, David","Pit",109,13,13,7,12.548,6,12.548,0.7692307692307693,0.23076923076923078,0
519048,"Moreland, Mitch","Pit",133,9,9,7,12.557,2,12.557,0.8888888888888888,0.1111111111111111,0
503556,"Gonzalez, Marwin","Pit",117,6,6,6,12.688,,12.688,0.8333333333333334,0.16666666666666666,0
489119,"Miley, Wade","Pit",113,1170,1170,752,12.898,418,12.898,0.523931623931624,0.46153846153846156,0.01452991452991453
474463,"Anderson, Brett","Pit",158,774,774,502,12.96,272,12.96,0.5155038759689923,0.4780361757105943,0.006459948320413436
592273,"Drury, Brandon","Pit",121,11,11,8,13.011,3,13.011,0.9090909090909091,0.09090909090909091,0
546991,"Almora Jr., Albert","Pit",121,14,14,6,13.292,8,13.292,0.7857142857142857,0.21428571428571427,0
608718,"Suter, Brent","Pit",158,537,537,319,13.336,218,13.336,0.4059590316573557,0.5772811918063314,0.01675977653631285
596825,"García, Robel","Pit",117,15,15,7,13.351,8,13.351,0.8666666666666667,0.13333333333333333,0
649144,"Wells, Alex","Pit",110,381,381,215,13.437,166,13.437,0.3963254593175853,0.5826771653543307,0.02099737532808399
518586,"Culberson, Charlie","Pit",140,7,7,4,13.486,3,13.486,0.8571428571428571,0.14285714285714285,0
656641,"Latz, Jacob","Pit",140,37,37,34,13.762,3,13.762,0.6216216216216216,0.3783783783783784,0
676840,"Peacock, Matt","Pit",109,610,610,349,13.762,261,13.762,0.3885245901639344,0.5918032786885246,0.019672131147540985
670057,"Hartman, Ryan","Pit",117,23,23,15,13.769,8,13.769,0.43478260869565216,0.5652173913043478,0
681867,"Criswell, Cooper","Pit",108,20,20,9,13.797,11,13.797,0.35,0.65,0
571788,"Holt, Brock","Pit",140,7,7,7,13.883,,13.883,1,0,0
680692,"Stiever, Jonathan","Pit",145,8,8,3,13.897,5,13.897,0.375,0.625,0
