source,group,field_number,header,description,url
cwgame,standard,0,GAME_ID,Game ID,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,1,GAME_DT,Date,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,2,GAME_CT,Game number,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,3,GAME_DY,Day of week,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,4,START_GAME_TM,Start time,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,5,DH_FL,DH used flag,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,6,DAYNIGHT_PARK_CD,Day/night flag,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,7,AWAY_TEAM_ID,Visiting team,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,8,HOME_TEAM_ID,Home team,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,9,PARK_ID,Game site,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,10,AWAY_START_PIT_ID,Visitors starting pitcher,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,11,HOME_START_PIT_ID,Home starting pitcher,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,12,BASE4_UMP_ID,Home plate umpire,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,13,BASE1_UMP_ID,First base umpire,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,14,BASE2_UMP_ID,Second base umpire,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,15,BASE3_UMP_ID,Third base umpire,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,16,LF_UMP_ID,Left field umpire,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,17,RF_UMP_ID,Right field umpire,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,18,ATTEND_PARK_CT,Attendance,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,19,SCORER_RECORD_ID,PS scorer,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,20,TRANSLATOR_RECORD_ID,Translator,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,21,INPUTTER_RECORD_ID,Inputter,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,22,INPUT_RECORD_TS,Input time,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,23,EDIT_RECORD_TS,Edit time,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,24,METHOD_RECORD_CD,How scored,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,25,PITCHES_RECORD_CD,Pitches entered,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,26,TEMP_PARK_CT,Temperature,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,27,WIND_DIRECTION_PARK_CD,Wind direction,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,28,WIND_SPEED_PARK_CT,Wind speed,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,29,FIELD_PARK_CD,Field condition,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,30,PRECIP_PARK_CD,Precipitation,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,31,SKY_PARK_CD,Sky,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,32,MINUTES_GAME_CT,Time of game,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,33,INN_CT,Number of innings,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,34,AWAY_SCORE_CT,Visitor final score,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,35,HOME_SCORE_CT,Home final score,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,36,AWAY_HITS_CT,Visitor hits,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,37,HOME_HITS_CT,Home hits,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,38,AWAY_ERR_CT,Visitor errors,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,39,HOME_ERR_CT,Home errors,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,40,AWAY_LOB_CT,Visitor left on base,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,41,HOME_LOB_CT,Home left on base,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,42,WIN_PIT_ID,Winning pitcher,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,43,LOSE_PIT_ID,Losing pitcher,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,44,SAVE_PIT_ID,Save,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,45,GWRBI_BAT_ID,Game-winning RBI,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,46,AWAY_LINEUP1_BAT_ID,Visitor batter 1,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,47,AWAY_LINEUP1_FLD_CD,Visitor batter 1 position,https://chadwick.sourceforge.net/doc/cwgame.html
cwgame,standard,48,AWAY_LINEUP2_BAT_ID,Visitor batter 2,https://chadwick.sourceforge.net/doc/cwgame.html
