"last_name, first_name","player_id","year","pop_2b_sba_count","pop_2b_sba","pop_2b_sb","pop_2b_cs","pop_3b_sba_count","pop_3b_sba","pop_3b_sb","pop_3b_cs","exchange_2b_3b_sba","maxeff_arm_2b_3b_sba"
"Freeman, Freddie",518692,2025,,,,,,,,,,
"Crawford, J.P.",641487,2025,,,,,,,,,,
"Torkelson, Spencer",679529,2025,,,,,,,,,,
"Suárez, Eugenio",553993,2025,,,,,,,,,,
"Volpe, Anthony",683011,2025,,,,,,,,,,
"Ramírez, Agustín",682663,2025,"53","1.99","1.99","2","2","1.5","1.5",,"0.7","83"
"Díaz, Yandy",650490,2025,,,,,,,,,,
"Judge, Aaron",592450,2025,,,,,,,,,,
"Langford, Wyatt",694671,2025,,,,,,,,,,
"Altuve, Jose",514888,2025,,,,,,,,,,
"Larnach, Trevor",663616,2025,,,,,,,,,,
"Ortiz, Joey",687401,2025,,,,,,,,,,
"Albies, Ozzie",645277,2025,,,,,,,,,,
"Polanco, Jorge",593871,2025,,,,,,,,,,
"Arozarena, Randy",668227,2025,,,,,,,,,,
"Suzuki, Seiya",673548,2025,,,,,,,,,,
"Perdomo, Geraldo",672695,2025,,,,,,,,,,
"Swanson, Dansby",621020,2025,,,,,,,,,,
"Devers, Rafael",646240,2025,,,,,,,,,,
"Smith, Josh",669701,2025,,,,,,,,,,
"Winn, Masyn",691026,2025,,,,,,,,,,
"Friedl Jr., TJ",670770,2025,,,,,,,,,,
"Bellinger, Cody",641355,2025,,,,,,,,,,
"Turner, Trea",607208,2025,,,,,,,,,,
"Chisholm Jr., Jazz",665862,2025,,,,,,,,,,
"Vargas, Miguel",678246,2025,,,,,,,,,,
"Turang, Brice",668930,2025,,,,,,,,,,
"Garcia, Maikel",672580,2025,,,,,,,,,,
"Clement, Ernie",676391,2025,,,,,,,,,,
"Story, Trevor",596115,2025,,,,,,,,,,
"Abrams, CJ",682928,2025,,,,,,,,,,
"Durbin, Caleb",702332,2025,,,,,,,,,,
"Cronenworth, Jake",630105,2025,,,,,,,,,,
"Harris II, Michael",671739,2025,,,,,,,,,,
"Sheets, Gavin",657757,2025,,,,,,,,,,
