"last_name, first_name","player_id","year","r_caught_stealing_2b","r_caught_stealing_3b","r_caught_stealing_home","r_defensive_indiff","r_interference","r_pickoff_1b","r_pickoff_2b","r_pickoff_3b","r_stolen_base_2b","r_stolen_base_3b","r_stolen_base_home","r_stolen_base_pct","r_total_pickoff"
"Núñez, Renato",600524,2020,"0","0","0","4","0","0","0","0","0","0","0",,"0"
"Gurriel Jr., Yuli",493329,2020,"1","0","0","0","0","0","0","0","0","0","0",,"0"
"Myers, Wil",571976,2020,"1","0","0","0","0","2","0","0","2","0","0",,"2"
"Cabrera, Miguel",408234,2020,"0","0","0","0","0","0","0","0","0","1","0",,"0"
"Peralta, David",444482,2020,"0","0","0","0","0","0","0","0","1","0","0",,"0"
"Calhoun, Kole",594777,2020,"1","0","0","0","0","1","0","0","1","0","0",,"1"
"Anderson, Brian",605119,2020,"0","0","0","0","0","0","0","0","0","0","0",,"0"
"Gurriel Jr., Lourdes",666971,2020,"1","0","0","0","0","0","0","0","2","1","0",,"0"
"Mondesi, Adalberto",609275,2020,"5","3","0","0","0","2","1","0","18","6","0",,"3"
"Frazier, Adam",624428,2020,"3","0","0","2","0","3","0","0","1","0","0",,"3"
"Crawford, J.P.",641487,2020,"3","0","0","0","0","0","0","0","6","0","0",,"0"
"Soto, Juan",665742,2020,"2","0","0","1","0","0","0","0","6","0","0",,"0"
"Franco, Maikel",596748,2020,"0","0","0","0","0","0","0","0","1","0","0",,"0"
"Robert Jr., Luis",673357,2020,"2","0","0","2","0","0","0","0","8","1","0",,"0"
"McMahon, Ryan",641857,2020,"0","0","1","0","0","0","0","0","0","0","0",,"0"
"Hiura, Keston",669374,2020,"2","0","0","0","0","0","0","0","2","1","0",,"0"
"Anderson, Tim",641313,2020,"2","0","0","0","0","1","1","0","5","0","0",,"2"
"Duvall, Adam",594807,2020,"0","0","0","0","0","0","0","0","0","0","0",,"0"
"Abreu, José",547989,2020,"0","0","0","0","0","0","0","0","0","0","0",,"0"
"Ruiz, Rio",547004,2020,"1","1","0","1","0","0","0","0","1","0","0",,"0"
"Tapia, Raimel",606132,2020,"2","0","0","0","0","0","0","0","6","2","0",,"0"
"Solano, Donovan",456781,2020,"0","0","0","0","0","0","0","0","0","0","0",,"0"
"Biggio, Cavan",624415,2020,"0","0","0","0","0","0","0","0","4","2","0",,"0"
"Contreras, Willson",575929,2020,"2","0","0","0","0","0","0","0","1","0","0",,"0"
"Cruz Jr., Nelson",443558,2020,"0","0","0","0","0","0","0","0","0","0","0",,"0"
