"last_name, first_name","player_id","year","r_caught_stealing_2b","r_caught_stealing_3b","r_caught_stealing_home","r_defensive_indiff","r_interference","r_pickoff_1b","r_pickoff_2b","r_pickoff_3b","r_stolen_base_2b","r_stolen_base_3b","r_stolen_base_home","r_stolen_base_pct","r_total_pickoff"
"Upton, Justin",457708,2018,"2","0","0","0","0","0","0","0","8","0","0",,"0"
"Zobrist, Ben",450314,2018,"4","0","0","1","0","1","0","0","3","0","0",,"1"
"Blackmon, Charlie",453568,2018,"4","0","0","4","0","1","0","0","11","1","0",,"1"
"Gennett, Scooter",571697,2018,"1","0","1","1","0","0","0","1","4","0","0",,"1"
"Ahmed, Nick",605113,2018,"4","0","0","1","0","1","0","0","4","1","0",,"1"
"Andujar, Miguel",609280,2018,"1","0","0","1","0","0","0","0","2","0","0",,"0"
"Santana, Carlos",467793,2018,"1","0","0","0","0","0","0","0","1","0","1",,"0"
"Kepler, Max",596146,2018,"5","0","0","0","0","2","0","0","4","0","0",,"2"
"Kinsler, Ian",435079,2018,"6","1","0","1","0","2","0","0","13","3","0",,"2"
"Benintendi, Andrew",643217,2018,"2","0","1","1","0","1","1","0","18","3","0",,"2"
"Escobar, Eduardo",500871,2018,"3","0","1","1","0","0","0","1","2","0","0",,"1"
"Bellinger, Cody",641355,2018,"0","0","1","0","0","1","1","0","13","1","0",,"2"
"Rizzo, Anthony",519203,2018,"3","1","0","0","0","1","1","0","6","0","0",,"2"
"Crawford, Brandon",543063,2018,"3","2","0","4","0","1","1","0","3","1","0",,"2"
"Mauer, Joe",408045,2018,"1","0","0","0","0","0","0","0","0","0","0",,"0"
"Villar, Jonathan",542340,2018,"3","2","0","1","0","3","0","0","29","6","0",,"3"
"Davis, Chris",448801,2018,"0","0","0","0","0","0","0","0","2","0","0",,"0"
"Anderson, Brian",605119,2018,"4","0","0","1","0","2","0","0","2","0","0",,"2"
"Rosario, Amed",642708,2018,"10","1","0","2","0","2","1","0","20","4","0",,"3"
"Markakis, Nick",455976,2018,"1","0","0","1","0","0","0","0","1","0","0",,"0"
"Choo, Shin-Soo",425783,2018,"1","0","0","0","0","0","0","0","5","1","0",,"0"
"Gurriel Jr., Yuli",493329,2018,"0","1","0","1","0","0","0","0","5","0","0",,"0"
"Davis, Khris",501981,2018,"0","0","0","0","0","0","0","0","0","0","0",,"0"
"Aguilar, Jesús",542583,2018,"0","0","0","0","0","0","1","0","0","0","0",,"1"
"Castro, Starlin",516770,2018,"4","0","0","2","0","0","1","0","5","1","0",,"1"
"Gonzalez, Marwin",503556,2018,"3","0","0","0","0","0","0","0","2","0","0",,"0"
"Núñez, Eduardo",456488,2018,"2","0","0","2","0","1","0","0","7","0","0",,"1"
"Seager, Kyle",572122,2018,"2","0","0","0","0","0","0","0","1","1","0",,"0"
"McCutchen, Andrew",457705,2018,"8","1","0","0","0","3","0","0","13","1","0",,"3"
"Goldschmidt, Paul",502671,2018,"4","0","0","1","0","1","0","0","7","0","0",,"1"
"Marte, Ketel",606466,2018,"0","1","0","2","0","0","0","0","4","2","0",,"0"
"Escobar, Alcides",444876,2018,"1","0","1","0","0","0","0","1","8","0","0",,"1"
"Moncada, Yoán",660162,2018,"6","0","0","0","0","1","0","0","12","0","0",,"1"
"Hicks, Aaron",543305,2018,"2","0","0","2","0","1","1","0","6","5","0",,"2"
"Harper, Bryce",547180,2018,"3","0","0","0","0","1","0","0","12","1","0",,"1"
"Pham, Tommy",502054,2018,"7","0","0","0","0","5","0","1","14","1","0",,"6"
"Grandal, Yasmani",518735,2018,"1","0","0","1","0","1","0","0","2","0","0",,"1"
"Hamilton, Billy",571740,2018,"9","1","0","1","0","6","0","0","27","7","0",,"6"
"Castellanos, Nick",592206,2018,"1","0","0","0","0","1","0","1","2","0","0",,"2"
"Peraza, José",606299,2018,"6","0","0","1","0","2","0","0","21","2","0",,"2"
"Segura, Jean",516416,2018,"10","1","0","2","0","2","1","0","18","2","0",,"3"
"Longoria, Evan",446334,2018,"1","0","0","3","0","1","0","0","3","0","0",,"1"
"Barnhart, Tucker",571466,2018,"3","1","0","0","0","0","0","0","0","0","0",,"0"
"Smoak, Justin",475253,2018,"1","0","0","0","0","0","0","0","0","0","0",,"0"
"Hosmer, Eric",543333,2018,"4","0","0","0","0","1","0","0","6","1","0",,"1"
"Profar, Jurickson",595777,2018,"0","0","0","0","0","0","0","0","10","0","0",,"0"
"Martínez, José A.",500874,2018,"2","0","1","0","0","0","0","1","0","0","0",,"1"
"Wendle, Joey",621563,2018,"4","0","0","1","0","2","0","0","14","2","0",,"2"
"Sánchez, Yolmer",570560,2018,"5","1","0","1","0","1","0","0","9","5","0",,"1"
"Brantley Jr., Michael",488726,2018,"2","1","0","0","0","0","0","0","11","1","0",,"0"
"Herrera, Odúbel",546318,2018,"1","0","1","0","0","3","0","0","5","0","0",,"3"
"Haniger, Mitch",571745,2018,"1","1","0","2","0","0","0","0","8","0","0",,"0"
"Galvis, Freddy",520471,2018,"6","0","0","1","0","3","0","0","7","1","0",,"3"
