source,group,dataset,field_number,header,plays_column,description,url,scraped_at
cwevent,standard,,0,GAME_ID,,Game ID,https://chadwick.readthedocs.io/en/latest/cwevent.html,2025-10-21T16:24:19.638412+00:00
cwevent,standard,,1,AWAY_TEAM_ID,,Visiting team,https://chadwick.readthedocs.io/en/latest/cwevent.html,2025-10-21T16:24:19.638412+00:00
cwevent,standard,,2,INN_CT,,Inning,https://chadwick.readthedocs.io/en/latest/cwevent.html,2025-10-21T16:24:19.638412+00:00
cwevent,standard,,3,BAT_HOME_ID,,Batting team,https://chadwick.readthedocs.io/en/latest/cwevent.html,2025-10-21T16:24:19.638412+00:00
cwevent,standard,,4,OUTS_CT,,Outs,https://chadwick.readthedocs.io/en/latest/cwevent.html,2025-10-21T16:24:19.638412+00:00
cwevent,standard,,5,BALLS_CT,,Balls,https://chadwick.readthedocs.io/en/latest/cwevent.html,2025-10-21T16:24:19.638412+00:00
cwevent,standard,,6,STRIKES_CT,,Strikes,https://chadwick.readthedocs.io/en/latest/cwevent.html,2025-10-21T16:24:19.638412+00:00
cwevent,standard,,7,PITCH_SEQ_TX,,Pitch sequence,https://chadwick.readthedocs.io/en/latest/cwevent.html,2025-10-21T16:24:19.638412+00:00
cwevent,standard,,8,AWAY_SCORE_CT,,Visitor score,https://chadwick.readthedocs.io/en/latest/cwevent.html,2025-10-21T16:24:19.638412+00:00
cwevent,standard,,9,HOME_SCORE_CT,,Home score,https://chadwick.readthedocs.io/en/latest/cwevent.html,2025-10-21T16:24:19.638412+00:00
cwevent,standard,,10,BAT_ID,,Batter,https://chadwick.readthedocs.io/en/latest/cwevent.html,2025-10-21T16:24:19.638412+00:00
cwevent,standard,,11,BAT_HAND_CD,,Batter hand,https://chadwick.readthedocs.io/en/latest/cwevent.html,2025-10-21T16:24:19.638412+00:00
cwevent,standard,,12,RESP_BAT_ID,,Result batter,https://chadwick.readthedocs.io/en/latest/cwevent.html,2025-10-21T16:24:19.638412+00:00
cwevent,standard,,13,RESP_BAT_HAND_CD,,Result batter hand,https://chadwick.readthedocs.io/en/latest/cwevent.html,2025-10-21T16:24:19.638412+00:00
