"last_name, first_name","player_id","year","r_caught_stealing_2b","r_caught_stealing_3b","r_caught_stealing_home","r_defensive_indiff","r_interference","r_pickoff_1b","r_pickoff_2b","r_pickoff_3b","r_stolen_base_2b","r_stolen_base_3b","r_stolen_base_home","r_stolen_base_pct","r_total_pickoff"
"Lindor, Francisco",596019,2024,"4","0","0","3","0","1","0","0","24","5","0",,"1"
"Reynolds, Bryan",668804,2024,"2","0","0","1","0","1","0","0","10","0","0",,"1"
"Perez, Salvador",521692,2024,"0","0","0","0","0","0","0","0","0","0","0",,"0"
"Arenado, Nolan",571448,2024,"2","0","0","1","0","0","0","0","2","0","0",,"0"
"Neto, Zach",687263,2024,"8","1","1","1","0","3","0","0","25","5","0",,"3"
"Tovar, Ezequiel",678662,2024,"5","0","0","0","0","3","0","0","5","1","0",,"3"
"Witt Jr., Bobby",677951,2024,"10","2","0","2","0","7","0","0","29","2","0",,"7"
"Taveras, Leody",665750,2024,"6","0","0","2","0","2","0","0","22","1","0",,"2"
"Harper, Bryce",547180,2024,"2","0","2","1","0","2","0","0","5","2","0",,"2"
"Raleigh, Cal",663728,2024,"1","0","0","0","0","0","0","0","6","0","0",,"0"
"Peña, Jeremy",665161,2024,"6","0","0","2","0","3","0","0","19","1","0",,"3"
"Hoerner, Nico",663538,2024,"6","0","0","2","0","2","0","0","23","8","0",,"2"
"Turner, Justin",457759,2024,"2","0","0","0","0","0","0","0","0","0","0",,"0"
"Pasquantino, Vinnie",686469,2024,"0","0","0","0","0","0","0","0","1","0","0",,"0"
"Burleson, Alec",676475,2024,"4","0","0","1","0","0","0","0","8","1","0",,"0"
"Ortiz, Joey",687401,2024,"5","1","0","1","0","0","0","0","11","0","0",,"0"
"Henderson, Gunnar",683002,2024,"3","1","0","0","0","1","1","1","17","4","0",,"3"
"Adames, Willy",642715,2024,"2","2","0","0","0","0","1","0","20","1","0",,"1"
"Marte, Ketel",606466,2024,"0","0","1","0","0","0","0","1","7","0","0",,"1"
"García, Luis",671277,2024,"5","0","0","0","0","1","0","0","18","4","0",,"1"
"Díaz, Yandy",650490,2024,"0","0","0","0","0","1","0","0","0","0","0",,"1"
"Machado, Manny",592518,2024,"2","0","0","0","0","1","0","0","10","1","0",,"1"
"Bellinger, Cody",641355,2024,"1","1","0","1","0","1","1","0","8","1","0",,"2"
"Castro, Willi",650489,2024,"5","2","2","1","0","2","0","1","13","0","1",,"3"
"Schwarber, Kyle",656941,2024,"3","0","0","0","0","1","1","0","4","1","0",,"2"
"McCutchen, Andrew",457705,2024,"0","2","0","0","0","0","0","0","2","0","1",,"0"
"Walker, Christian",572233,2024,"2","0","0","1","0","2","0","0","2","0","0",,"2"
"Ramos, Heliot",671218,2024,"1","0","0","0","0","0","0","0","6","0","0",,"0"
"Arozarena, Randy",668227,2024,"9","0","1","1","0","5","0","0","18","2","0",,"5"
"Vierling, Matt",663837,2024,"1","0","0","0","0","1","0","0","6","0","0",,"1"
"Torres, Gleyber",650402,2024,"3","0","0","1","0","2","0","0","4","0","0",,"2"
"Santander, Anthony",623993,2024,"0","0","0","0","0","1","0","0","2","0","0",,"1"
"O'Hoppe, Logan",681351,2024,"3","0","0","0","0","0","0","0","2","0","0",,"0"
"Giménez, Andrés",665926,2024,"5","0","0","2","0","1","0","0","27","3","0",,"1"
"Paredes, Isaac",670623,2024,"1","0","0","0","0","0","0","0","1","0","0",,"0"
"Varsho, Daulton",662139,2024,"2","0","0","1","0","1","0","0","8","2","0",,"1"
"Schanuel, Nolan",694384,2024,"1","0","0","1","0","1","0","0","8","2","0",,"1"
"Thomas, Lane",657041,2024,"12","2","0","0","0","0","0","0","27","5","0",,"0"
"Goldschmidt, Paul",502671,2024,"0","0","0","0","0","0","0","0","8","3","0",,"0"
"García, Adolis",666969,2024,"3","2","0","0","0","1","0","0","10","0","1",,"1"
"Turang, Brice",668930,2024,"4","1","1","1","0","0","1","0","40","9","1",,"1"
"De La Cruz, Elly",682829,2024,"11","4","1","1","0","5","1","0","46","20","1",,"6"
"Chourio, Jackson",694192,2024,"5","1","1","0","0","2","0","0","21","1","0",,"2"
"Vaughn, Andrew",683734,2024,"0","0","0","3","0","0","0","0","2","0","0",,"0"
"India, Jonathan",663697,2024,"2","0","0","1","0","0","1","0","13","0","0",,"1"
"Stephenson, Tyler",663886,2024,"0","0","0","0","0","0","0","0","1","0","0",,"0"
"Contreras, William",661388,2024,"1","1","0","2","0","1","0","0","8","0","1",,"1"
"Arcia, Orlando",606115,2024,"0","0","0","1","0","0","0","0","2","0","0",,"0"
"Winker, Jesse",608385,2024,"4","0","0","1","0","2","0","0","12","2","0",,"2"
"Castellanos, Nick",592206,2024,"2","0","0","1","0","1","1","0","6","0","0",,"2"
"Langeliers, Shea",669127,2024,"2","0","0","0","0","0","0","0","4","0","0",,"0"
"Altuve, Jose",514888,2024,"6","0","1","0","0","3","0","0","15","6","1",,"3"
"Ward, Taylor",621493,2024,"4","0","0","0","0","3","0","0","6","0","0",,"3"
"Burger, Jake",669394,2024,"1","0","0","0","0","0","0","0","1","0","0",,"0"
"France, Ty",664034,2024,"1","0","0","0","0","0","0","0","0","1","0",,"0"
"Gelof, Zack",680869,2024,"3","0","0","0","0","1","0","0","24","1","0",,"1"
"Arraez, Luis",650333,2024,"3","0","0","0","0","0","0","0","7","2","0",,"0"
"Rooker Jr., Brent",667670,2024,"2","0","1","0","0","0","0","0","11","0","0",,"0"
"Smith, Josh",669701,2024,"2","0","0","1","0","0","0","0","10","0","1",,"0"
"Doyle, Brenton",686668,2024,"5","0","0","2","0","3","0","0","27","3","0",,"3"
"Springer III, George",543807,2024,"0","1","0","0","0","1","0","0","15","1","0",,"1"
"Suárez, Eugenio",553993,2024,"1","0","0","2","0","1","0","0","2","0","0",,"1"
"Hernández, Teoscar",606192,2024,"3","0","0","0","0","2","0","0","12","0","0",,"2"
"Guerrero Jr., Vladimir",665489,2024,"1","1","0","1","0","1","0","0","2","0","0",,"1"
"Greene, Riley",682985,2024,"2","0","0","0","0","1","0","0","4","0","0",,"1"
"Olson, Matt",621566,2024,"0","0","0","0","0","0","0","0","0","0","0",,"0"
"Volpe, Anthony",683011,2024,"5","2","0","0","0","0","0","0","17","11","0",,"0"
"Duran, Jarren",680776,2024,"6","1","0","4","0","2","1","0","30","2","2",,"3"
"Judge, Aaron",592450,2024,"0","0","0","2","0","0","0","0","8","2","0",,"0"
"Smith, Will",669257,2024,"1","0","0","0","0","0","0","0","1","0","0",,"0"
