"last_name, first_name","player_id","year","r_caught_stealing_2b","r_caught_stealing_3b","r_caught_stealing_home","r_defensive_indiff","r_interference","r_pickoff_1b","r_pickoff_2b","r_pickoff_3b","r_stolen_base_2b","r_stolen_base_3b","r_stolen_base_home","r_stolen_base_pct","r_total_pickoff"
"Davis, J.D.",605204,2023,"0","0","0","1","0","0","0","0","1","0","0",,"0"
"Ozuna, Marcell",542303,2023,"0","0","0","0","0","0","0","0","0","0","0",,"0"
"Torkelson, Spencer",679529,2023,"0","0","0","1","0","0","0","0","3","0","0",,"0"
"Tovar, Ezequiel",678662,2023,"5","0","0","2","0","1","0","0","9","2","0",,"1"
"Suárez, Eugenio",553993,2023,"0","1","0","0","0","1","0","0","2","0","0",,"1"
"Santana, Carlos",467793,2023,"0","0","0","0","0","0","0","0","4","2","0",,"0"
"LeMahieu, DJ",518934,2023,"2","0","0","0","0","0","0","0","2","0","0",,"0"
"Bell, Josh",605137,2023,"1","0","0","0","0","0","0","0","0","0","0",,"0"
"Suzuki, Seiya",673548,2023,"6","1","0","0","0","0","0","0","5","1","0",,"0"
"Melendez Jr., MJ",669004,2023,"3","1","0","0","0","1","0","1","6","0","0",,"2"
"Acuña Jr., Ronald",660670,2023,"12","2","0","2","0","6","1","0","59","14","0",,"7"
"Hernández, Teoscar",606192,2023,"2","0","0","1","0","1","0","0","6","1","0",,"1"
"Raleigh, Cal",663728,2023,"0","0","0","0","0","0","0","0","0","0","0",,"0"
"Riley, Austin",663586,2023,"1","0","0","0","0","0","0","0","3","0","0",,"0"
"Lowe, Nathaniel",663993,2023,"0","0","0","1","0","0","0","0","1","0","0",,"0"
"Springer III, George",543807,2023,"5","0","0","1","0","0","0","0","17","3","0",,"0"
"Renfroe, Hunter",592669,2023,"0","0","0","1","0","0","0","0","0","0","0",,"0"
"Garcia, Maikel",672580,2023,"3","4","0","0","0","2","1","1","17","6","0",,"4"
"Nimmo, Brandon",607043,2023,"3","0","0","0","0","0","0","0","3","0","0",,"0"
"Santander, Anthony",623993,2023,"1","0","0","0","0","0","0","0","5","0","0",,"0"
"Rooker Jr., Brent",667670,2023,"0","0","0","0","0","0","0","0","4","0","0",,"0"
"Báez, Javier",595879,2023,"0","0","0","0","0","0","0","0","11","1","0",,"0"
"Guerrero Jr., Vladimir",665489,2023,"3","0","0","2","0","3","0","0","4","1","0",,"3"
"Rodríguez, Julio",677594,2023,"9","1","0","0","0","2","0","0","31","5","1",,"2"
"Nootbaar, Lars",663457,2023,"1","0","0","0","0","0","0","0","9","2","0",,"0"
"Devers, Rafael",646240,2023,"0","0","1","1","0","0","0","0","5","0","0",,"0"
"Soto, Juan",665742,2023,"3","2","0","2","0","2","0","0","10","2","0",,"2"
"Jung, Josh",673962,2023,"3","0","0","2","0","1","0","0","1","0","0",,"1"
"Steer, Spencer",668715,2023,"2","1","0","3","0","2","0","0","11","3","1",,"2"
"Bohm, Alec",664761,2023,"1","0","0","0","0","1","0","0","4","0","0",,"1"
"Vierling, Matt",663837,2023,"6","0","0","0","0","1","0","0","6","0","0",,"1"
