"last_name, first_name","player_id","year","r_caught_stealing_2b","r_caught_stealing_3b","r_caught_stealing_home","r_defensive_indiff","r_interference","r_pickoff_1b","r_pickoff_2b","r_pickoff_3b","r_stolen_base_2b","r_stolen_base_3b","r_stolen_base_home","r_stolen_base_pct","r_total_pickoff"
"Walker, Christian",572233,2019,"1","0","0","1","0","1","0","0","8","0","0",,"1"
"Harper, Bryce",547180,2019,"2","0","1","0","0","0","0","0","14","1","0",,"0"
"Chapman, Matt",656305,2019,"1","0","0","0","0","0","1","0","1","0","0",,"1"
"Castro, Starlin",516770,2019,"2","0","0","1","0","0","0","0","2","0","0",,"0"
"Gordon, Alex",460086,2019,"3","0","0","2","0","1","0","0","4","1","0",,"1"
"DeJong, Paul",657557,2019,"5","0","0","1","0","0","0","0","8","1","0",,"0"
"Moncada, Yoán",660162,2019,"3","0","0","1","0","2","0","0","9","1","0",,"2"
"Garcia, Leury",544725,2019,"5","0","0","2","0","0","0","0","13","2","0",,"0"
"Voit III, Luke",572228,2019,"0","0","0","0","0","0","0","0","0","0","0",,"0"
"Gardner, Brett",458731,2019,"2","0","0","0","0","2","0","0","10","0","0",,"2"
"Lindor, Francisco",596019,2019,"3","1","1","0","0","1","0","0","18","4","0",,"1"
"Yelich, Christian",592885,2019,"1","0","1","3","0","0","0","0","23","7","0",,"0"
"Gurriel Jr., Yuli",493329,2019,"2","1","0","3","0","0","1","0","5","0","0",,"1"
"Springer III, George",543807,2019,"2","0","0","1","0","1","0","0","5","1","0",,"1"
"Altuve, Jose",514888,2019,"4","1","0","0","0","1","0","0","4","2","0",,"1"
"Ramírez, José",608070,2019,"3","1","0","1","0","0","1","0","22","2","0",,"1"
"Robles, Victor",645302,2019,"9","0","0","1","0","3","2","0","22","6","0",,"5"
"Iglesias, Jose",578428,2019,"6","0","0","3","0","5","0","0","6","0","0",,"5"
"Castellanos, Nick",592206,2019,"1","1","0","3","0","0","0","0","2","0","0",,"0"
"Martinez, J.D.",502110,2019,"0","0","0","0","0","0","0","0","2","0","0",,"0"
"Belt, Brandon",474832,2019,"3","0","0","0","0","0","0","0","4","0","0",,"0"
"Abreu, José",547989,2019,"1","0","1","0","0","1","0","0","1","1","0",,"1"
"Marte, Ketel",606466,2019,"2","0","0","2","0","2","0","0","9","1","0",,"2"
"Story, Trevor",596115,2019,"8","0","0","3","0","6","0","0","21","2","0",,"6"
"Pujols, Albert",405395,2019,"0","0","0","0","0","1","0","0","2","1","0",,"1"
"Santana, Carlos",467793,2019,"0","0","0","1","0","0","0","0","4","0","0",,"0"
"Choo, Shin-Soo",425783,2019,"1","0","0","0","0","1","0","0","9","6","0",,"1"
"LeMahieu, DJ",518934,2019,"2","0","0","0","0","2","0","0","4","1","0",,"2"
"Cain, Lorenzo",456715,2019,"5","3","0","1","0","0","0","1","15","3","0",,"1"
"Fowler, Dexter",451594,2019,"4","1","0","1","0","1","0","0","8","0","0",,"1"
"Semien, Marcus",543760,2019,"7","1","0","4","0","2","0","0","8","2","0",,"2"
"Santana, Danny",542454,2019,"5","1","0","1","0","1","1","0","19","2","0",,"2"
"Acuña Jr., Ronald",660670,2019,"9","0","0","0","0","3","0","0","33","4","0",,"3"
"Arenado, Nolan",571448,2019,"2","0","0","0","0","0","0","0","3","0","0",,"0"
"Grandal, Yasmani",518735,2019,"0","1","0","0","0","2","0","0","5","0","0",,"2"
"Báez, Javier",595879,2019,"4","2","1","0","0","0","1","1","8","3","0",,"2"
"McNeil, Jeff",643446,2019,"5","0","1","2","0","0","0","0","4","1","0",,"0"
"Bregman, Alex",608324,2019,"1","0","0","0","0","1","0","0","4","0","1",,"1"
"Odor, Rougned",596059,2019,"9","0","0","0","0","4","0","0","7","3","1",,"4"
