"entity_id","entity_name","entity_code","team_id","total_pitches","total_pitches","total_pitches_empty","median_seconds_empty","total_pitches_onbase","median_seconds_empty","freq_hot","freq_warm","freq_cold"
489119,"Miley, Wade","Pit",113,137,137,75,12.003,62,12.003,0.5620437956204379,0.40875912408759124,0.029197080291970802
608718,"Suter, Brent","Pit",158,244,244,153,12.923,91,12.923,0.47540983606557374,0.5122950819672131,0.012295081967213115
665621,"García, Rony","Pit",116,204,204,122,13.068,82,13.068,0.46568627450980393,0.5245098039215687,0.00980392156862745
474463,"Anderson, Brett","Pit",158,366,366,237,13.236,129,13.236,0.5409836065573771,0.44808743169398907,0.01092896174863388
669211,"Akin, Keegan","Pit",110,224,224,125,13.315,99,13.315,0.4330357142857143,0.5491071428571429,0.017857142857142856
593372,"Martinez, Carlos","Pit",138,190,190,99,13.475,91,13.475,0.34210526315789475,0.6157894736842106,0.042105263157894736
664350,"Sánchez, Sixto","Pit",146,232,232,154,13.756,78,13.756,0.43103448275862066,0.5517241379310345,0.017241379310344827
605151,"Bradley, Archie","Pit",113,129,129,78,13.807,51,13.807,0.4108527131782946,0.5426356589147286,0.046511627906976744
622072,"Wood, Alex","Pit",119,125,125,71,14.08,54,14.08,0.36,0.616,0.024
608379,"Wacha, Michael","Pit",121,260,260,146,14.248,114,14.248,0.3346153846153846,0.6423076923076924,0.023076923076923078
608566,"Márquez, Germán","Pit",115,528,528,348,14.312,180,14.312,0.38636363636363635,0.5738636363636364,0.03977272727272727
547942,"Kim, Kwang Hyun","Pit",138,299,299,209,14.314,90,14.314,0.41471571906354515,0.5618729096989966,0.023411371237458192
641745,"Keller, Brad","Pit",118,403,403,279,14.387,124,14.387,0.4094292803970223,0.5607940446650124,0.02977667493796526
622088,"Antone, Tejay","Pit",113,290,290,195,14.454,95,14.454,0.4,0.5689655172413793,0.03103448275862069
660813,"Graterol, Brusdar","Pit",119,129,129,78,14.605,51,14.605,0.3333333333333333,0.6201550387596899,0.046511627906976744
622491,"Castillo, Luis","Pit",113,502,502,320,14.651,182,14.651,0.3605577689243028,0.6095617529880478,0.029880478087649404
605288,"Houser, Adrian","Pit",158,402,402,268,14.656,134,14.656,0.36069651741293535,0.6094527363184079,0.029850746268656716
571927,"Matz, Steven","Pit",121,295,295,204,14.703,91,14.703,0.3694915254237288,0.6203389830508474,0.010169491525423728
622065,"Young, Alex","Pit",109,355,355,260,14.723,95,14.723,0.3971830985915493,0.5802816901408451,0.022535211267605635
657141,"Yamamoto, Jordan","Pit",146,128,128,80,14.753,48,14.753,0.3359375,0.625,0.0390625
571510,"Boyd, Matthew","Pit",116,495,495,308,14.797,187,14.797,0.33535353535353535,0.6424242424242425,0.022222222222222223
596295,"Gomber, Austin","Pit",138,258,258,151,14.826,107,14.826,0.3178294573643411,0.6666666666666666,0.015503875968992248
650633,"King, Michael","Pit",147,228,228,140,14.85,88,14.85,0.3157894736842105,0.6140350877192983,0.07017543859649122
669373,"Skubal, Tarik","Pit",116,257,257,180,14.859,77,14.859,0.3657587548638132,0.6147859922178989,0.019455252918287938
642233,"Yardley, Eric","Pit",158,202,202,118,14.875,84,14.875,0.32673267326732675,0.6584158415841584,0.01485148514851485
606131,"Perdomo, Luis","Pit",135,133,133,68,14.887,65,14.887,0.2631578947368421,0.7142857142857143,0.022556390977443608
643778,"Webb, Tyler","Pit",138,142,142,68,14.955,74,14.955,0.33098591549295775,0.6619718309859155,0.007042253521126761
650644,"Civale, Aaron","Pit",114,567,567,349,14.97,218,14.97,0.30864197530864196,0.656084656084656,0.03527336860670194
676596,"Fleming, Josh","Pit",139,218,218,167,14.986,51,14.986,0.3853211009174312,0.5963302752293578,0.01834862385321101
645261,"Alcantara, Sandy","Pit",146,296,296,201,14.991,95,14.991,0.34797297297297297,0.5912162162162162,0.060810810810810814
628452,"Iglesias, Raisel","Pit",113,136,136,63,15.004,73,15.004,0.23529411764705882,0.7352941176470589,0.029411764705882353
664045,"Eshelman, Thomas","Pit",110,243,243,157,15.033,86,15.033,0.31275720164609055,0.6748971193415638,0.012345679012345678
543101,"DeSclafani, Anthony","Pit",113,276,276,164,15.035,112,15.035,0.29347826086956524,0.6340579710144928,0.07246376811594203
666200,"Luzardo, Jesús","Pit",133,453,453,306,15.09,147,15.09,0.3465783664459161,0.6313465783664459,0.02207505518763797
461829,"González, Gio","Pit",145,312,312,165,15.114,147,15.114,0.2564102564102564,0.7243589743589743,0.019230769230769232
656849,"Peterson, David","Pit",121,401,401,249,15.143,152,15.143,0.30423940149625933,0.6633416458852868,0.032418952618453865
608335,"Funkhouser, Kyle","Pit",116,151,151,86,15.157,65,15.157,0.26490066225165565,0.7019867549668874,0.033112582781456956
592836,"Walker, Taijuan","Pit",141,435,435,302,15.16,133,15.16,0.3425287356321839,0.6436781609195402,0.013793103448275862
670056,"Baragar, Caleb","Pit",137,146,146,65,15.189,81,15.189,0.2191780821917808,0.6917808219178082,0.08904109589041095
445926,"Chavez, Jesse","Pit",140,161,161,94,15.197,67,15.197,0.2919254658385093,0.6708074534161491,0.037267080745341616
456501,"Cueto, Johnny","Pit",137,530,530,345,15.237,185,15.237,0.32452830188679244,0.6169811320754717,0.05849056603773585
676606,"Margevicius, Nick","Pit",136,326,326,229,15.246,97,15.246,0.31901840490797545,0.6687116564417178,0.012269938650306749
643230,"Brault, Steven","Pit",134,384,384,241,15.263,143,15.263,0.2786458333333333,0.6796875,0.041666666666666664
665620,"García, Deivi","Pit",147,216,216,143,15.278,73,15.278,0.30092592592592593,0.6527777777777778,0.046296296296296294
642092,"Smith, Riley","Pit",109,126,126,86,15.294,40,15.294,0.30158730158730157,0.6746031746031746,0.023809523809523808
656794,"Newcomb, Sean","Pit",144,157,157,101,15.322,56,15.322,0.2929936305732484,0.7070063694267515,0
663474,"McKenzie, Triston","Pit",114,252,252,191,15.421,61,15.421,0.3531746031746032,0.5952380952380952,0.051587301587301584
670912,"Oviedo, Johan","Pit",138,213,213,120,15.457,93,15.457,0.2347417840375587,0.7511737089201878,0.014084507042253521
622253,"Tate, Dillon","Pit",110,140,140,99,15.46,41,15.46,0.29285714285714287,0.6928571428571428,0.014285714285714285
621219,"Mills, Alec","Pit",112,454,454,353,15.464,101,15.464,0.31938325991189426,0.6497797356828194,0.030837004405286344
458708,"Tomlin, Josh","Pit",144,233,233,170,15.532,63,15.532,0.30472103004291845,0.6652360515021459,0.030042918454935622
663903,"Singer, Brady","Pit",118,535,535,375,15.565,160,15.565,0.30280373831775703,0.6598130841121496,0.037383177570093455
605242,"Fulmer, Michael","Pit",116,267,267,170,15.568,97,15.568,0.24719101123595505,0.7153558052434457,0.03745318352059925
592346,"González, Chi Chi","Pit",115,165,165,110,15.581,55,15.581,0.2606060606060606,0.6909090909090909,0.048484848484848485
641743,"Kay, Anthony","Pit",141,195,195,106,15.593,89,15.593,0.2205128205128205,0.717948717948718,0.06153846153846154
628711,"Urías, Julio","Pit",119,390,390,289,15.595,101,15.595,0.31025641025641026,0.6692307692307692,0.020512820512820513
534910,"Hahn, Jesse","Pit",118,142,142,68,15.596,74,15.596,0.19014084507042253,0.7323943661971831,0.07746478873239436
605164,"Bundy, Dylan","Pit",108,463,463,295,15.633,168,15.633,0.2613390928725702,0.714902807775378,0.023758099352051837
641154,"López, Pablo","Pit",146,384,384,255,15.637,129,15.637,0.2682291666666667,0.7057291666666666,0.026041666666666668
663554,"Mize, Casey","Pit",116,251,251,152,15.643,99,15.643,0.2549800796812749,0.7211155378486056,0.02390438247011952
605347,"López, Jorge","Pit",110,306,306,191,15.662,115,15.662,0.2549019607843137,0.6993464052287581,0.0457516339869281
605138,"Benjamin, Wes","Pit",140,168,168,110,15.701,58,15.701,0.24404761904761904,0.7440476190476191,0.011904761904761904
571578,"Corbin, Patrick","Pit",120,435,435,274,15.721,161,15.721,0.2574712643678161,0.7264367816091954,0.016091954022988506
665152,"Kremer, Dean","Pit",110,164,164,94,15.75,70,15.75,0.25,0.6951219512195121,0.054878048780487805
607644,"Means, John","Pit",110,328,328,257,15.755,71,15.755,0.2804878048780488,0.7012195121951219,0.018292682926829267
501985,"Minor, Mike","Pit",133,472,472,338,15.775,134,15.775,0.2542372881355932,0.6970338983050848,0.048728813559322036
448179,"Hill, Rich","Pit",142,298,298,213,15.785,85,15.785,0.2986577181208054,0.674496644295302,0.026845637583892617
543548,"Milone, Tommy","Pit",144,310,310,194,15.789,116,15.789,0.2645161290322581,0.6967741935483871,0.03870967741935484
467100,"Nova, Iván","Pit",116,123,123,79,15.859,44,15.859,0.22764227642276422,0.7560975609756098,0.016260162601626018
