"last_name, first_name","player_id","year","r_caught_stealing_2b","r_caught_stealing_3b","r_caught_stealing_home","r_defensive_indiff","r_interference","r_pickoff_1b","r_pickoff_2b","r_pickoff_3b","r_stolen_base_2b","r_stolen_base_3b","r_stolen_base_home","r_stolen_base_pct","r_total_pickoff"
"Adames, Willy",642715,2022,"1","2","0","0","0","1","1","0","6","1","1",,"2"
"Yelich, Christian",592885,2022,"2","1","0","1","0","0","0","0","18","1","0",,"0"
"Cruz Jr., Nelson",443558,2022,"0","0","0","0","0","0","0","0","4","0","0",,"0"
"Varsho, Daulton",662139,2022,"6","0","0","4","0","2","0","0","15","1","0",,"2"
"Rojas, Josh",668942,2022,"3","0","0","1","0","1","0","0","20","3","0",,"1"
"Bohm, Alec",664761,2022,"3","0","0","1","0","2","0","0","2","0","0",,"2"
"Arozarena, Randy",668227,2022,"10","2","0","1","0","2","1","0","27","5","0",,"3"
"Realmuto, J.T.",592663,2022,"1","0","0","1","0","0","0","0","18","3","0",,"0"
"Smith, Will",669257,2022,"0","0","0","0","0","0","0","0","1","0","0",,"0"
"Ramírez, José",608070,2022,"6","1","0","3","0","1","0","0","19","1","0",,"1"
"Aguilar, Jesús",542583,2022,"0","0","0","1","0","0","0","0","1","0","0",,"0"
"Straw, Myles",664702,2022,"1","0","0","1","0","0","0","0","18","3","0",,"0"
"Farmer, Kyle",571657,2022,"3","0","0","1","0","0","0","0","4","0","0",,"0"
"Andrus, Elvis",462101,2022,"4","0","0","0","0","0","1","0","12","6","0",,"1"
"Rengifo, Luis",650859,2022,"2","0","0","2","0","2","0","0","6","0","0",,"2"
"Crawford, J.P.",641487,2022,"2","0","0","0","0","1","0","0","3","0","0",,"1"
"Ward, Taylor",621493,2022,"2","1","0","1","0","1","0","0","4","1","0",,"1"
"Pollock, AJ",572041,2022,"1","0","0","0","0","0","0","0","2","1","0",,"0"
"Voit III, Luke",572228,2022,"0","1","0","0","0","0","1","0","1","0","0",,"1"
"Kwan, Steven",680757,2022,"5","0","0","1","0","2","0","0","18","1","0",,"2"
"Profar, Jurickson",595777,2022,"1","0","0","0","0","0","0","0","5","0","0",,"0"
"Grichuk, Randal",545341,2022,"0","0","0","3","0","1","1","0","4","0","0",,"2"
"Soto, Juan",665742,2022,"2","0","0","1","0","1","0","1","6","0","0",,"2"
