source,group,field_number,header,description,url
cwevent,standard,2,FLD_TEAM_ID,fielding team id,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,3,BAT_LAST_ID,half inning (differs from batting team if home team bats first),https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,4,INN_NEW_FL,start of half inning flag,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,5,INN_END_FL,end of half inning flag,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,6,START_BAT_SCORE_CT,score for team on offense,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,7,START_FLD_SCORE_CT,score for team on defense,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,8,INN_RUNS_CT,runs scored in this half inning,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,9,GAME_PA_CT,number of plate appearances in game for team on offense,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,10,INN_PA_CT,number of plate appearances in inning for team on offense,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,11,PA_NEW_FL,start of plate appearance flag,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,12,PA_TRUNC_FL,truncated plate appearance flag,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,13,START_BASES_CD,base state at start of play,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,14,END_BASES_CD,base state at end of play,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,15,BAT_START_FL,batter is starter flag,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,16,RESP_BAT_START_FL,result batter is starter flag,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,17,BAT_ON_DECK_ID,ID of the batter on deck,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,18,BAT_IN_HOLD_ID,ID of the batter in the hold,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,19,PIT_START_FL,pitcher is starter flag,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,20,RESP_PIT_START_FL,result pitcher is starter flag,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,21,RUN1_FLD_CD,defensive position of runner on first,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,22,RUN1_LINEUP_CD,lineup position of runner on first,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,23,RUN1_ORIGIN_EVENT_ID,event number on which runner on first reached base,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,24,RUN2_FLD_CD,defensive position of runner on second,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,25,RUN2_LINEUP_CD,lineup position of runner on second,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,26,RUN2_ORIGIN_EVENT_ID,event number on which runner on second reached base,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,27,RUN3_FLD_CD,defensive position of runner on third,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,28,RUN3_LINEUP_CD,lineup position of runner on third,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,29,RUN3_ORIGIN_EVENT_ID,event number on which runner on third reached base,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,30,RUN1_RESP_CAT_ID,responsible catcher for runner on first,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,31,RUN2_RESP_CAT_ID,responsible catcher for runner on second,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,32,RUN3_RESP_CAT_ID,responsible catcher for runner on third,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,33,PA_BALL_CT,number of balls in plate appearance,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,34,PA_CALLED_BALL_CT,number of called balls in plate appearance,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,35,PA_INTENT_BALL_CT,number of intentional balls in plate appearance,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,36,PA_PITCHOUT_BALL_CT,number of pitchouts in plate appearance,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,37,PA_HITBATTER_BALL_CT,number of pitches hitting batter in plate appearance,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,38,PA_OTHER_BALL_CT,number of other balls in plate appearance,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,39,PA_STRIKE_CT,number of strikes in plate appearance,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,40,PA_CALLED_STRIKE_CT,number of called strikes in plate appearance,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,41,PA_SWINGMISS_STRIKE_CT,number of swinging strikes in plate appearance,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,42,PA_FOUL_STRIKE_CT,number of foul balls in plate appearance,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,43,PA_INPLAY_STRIKE_CT,number of balls in play in plate appearance,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,44,PA_OTHER_STRIKE_CT,number of other strikes in plate appearance,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,45,EVENT_RUNS_CT,number of runs on play,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,46,FLD_ID,id of player fielding batted ball,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,47,BASE2_FORCE_FL,force play at second flag,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,48,BASE3_FORCE_FL,force play at third flag,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,49,BASE4_FORCE_FL,force play at home flag,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,50,BAT_SAFE_ERR_FL,batter safe on error flag,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,51,BAT_FATE_ID,fate of batter (base ultimately advanced to),https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,52,RUN1_FATE_ID,fate of runner on first,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,53,RUN2_FATE_ID,fate of runner on second,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,54,RUN3_FATE_ID,fate of runner on third,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,55,FATE_RUNS_CT,runs scored in half inning after this event,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,56,ASS6_FLD_CD,fielder with sixth assist,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,57,ASS7_FLD_CD,fielder with seventh assist,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,58,ASS8_FLD_CD,fielder with eighth assist,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,59,ASS9_FLD_CD,fielder with ninth assist,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,60,ASS10_FLD_CD,fielder with tenth assist,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,61,UNKNOWN_OUT_EXC_FL,unknown fielding credit flag,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,62,UNCERTAIN_PLAY_EXC_FL,uncertain play flag,https://chadwick.readthedocs.io/en/latest/cwevent.html
cwevent,standard,63,COUNT_TX,text of count as appears in event file,https://chadwick.readthedocs.io/en/latest/cwevent.html
