panel,n_pitchers,tercile,beta_2023,se_2023
Full,396,T2,1.058628922917759,0.09146385844602835
Full,396,T3,-0.8823606906334027,0.10157846834194757
BP_22_23,271,T2,1.076395985332119,0.09335158106325021
BP_22_23,271,T3,-0.8936127694899842,0.10322028600898152
BP_22_23_24,188,T2,1.2014667722029684,0.11490463598632161
BP_22_23_24,188,T3,-0.7878306469315357,0.11593227944315956
