tercile,spec,beta_2023,se_2023,p_2023
T2,WLS,1.058628922917759,0.09146385844602835,5.5632010208903675e-31
T2,OLS,1.0851151756704496,0.08215824535257106,7.928831371968316e-40
T3,WLS,-0.8823606906334027,0.10157846834194757,3.737987903194331e-18
T3,OLS,-0.9442003941414541,0.09055504997021167,1.8706122037628014e-25
