specification,sample,groups,n_pitchers,beta_slow_2023,beta_fast_2023,difference
Main (WLS),Full,T2 vs T3,396,-0.8823606906334027,1.058628922917759,-1.9409896135511617
OLS,Full,T2 vs T3,396,-0.9442003941414541,1.0851151756704496,-2.029315569811904
WLS,BP_22_23,T2 vs T3,271,-0.8936127694899842,1.076395985332119,-1.9700087548221032
WLS,BP_22_23_24,T2 vs T3,188,-0.7878306469315357,1.2014667722029684,-1.989297419134504
WLS,Full,Q1 vs Q4,298,-1.3944458409047842,1.7850323598346751,-3.1794782007394593
