season,tercile,n_pitchers,mean_violation_rate,median_violation_rate,weighted_violation_rate,total_violations,total_pitches
2023,T1,93,0.16483234764539328,0.1348314606741573,0.1253567332568746,188.0,149972
2023,T2,85,0.1789638428604486,0.10989010989010989,0.13620009604862265,173.0,127019
2023,T3,101,0.2423031709362611,0.1932367149758454,0.18222472622275432,207.0,113596
2024,T1,54,0.16476095779775968,0.09556030389363723,0.0912619564715124,79.0,86564
2024,T2,50,0.16673211413718494,0.1288313908023804,0.13854760286505988,106.0,76508
2024,T3,49,0.2382448867956381,0.17699115044247787,0.1928121037363859,111.0,57569
