pitcher_id,tempo_2022,tempo_2023,delta_tempo,violation_rate,violations,pitches,baseline_group
425794,16.797,15.474,-1.3230000000000004,0.22308979364194087,4.0,1793.0,T1
434378,20.144,16.978,-3.165999999999997,0.06942034015966678,2.0,2881.0,T3
445276,25.579,18.936,-6.643000000000001,0.41208791208791207,3.0,728.0,T3
445926,13.685,12.222,-1.463000000000001,0.1718213058419244,1.0,582.0,T1
448179,15.306,12.518,-2.7879999999999985,0.1971608832807571,5.0,2536.0,T1
450203,17.319,14.074,-3.244999999999999,0.20971688220901782,6.0,2861.0,T2
453268,21.406,16.297,-5.108999999999998,0.21141649048625794,2.0,946.0,T3
453286,16.612,15.984,-0.6279999999999983,0.07654037504783773,2.0,2613.0,T1
455119,22.917,16.832,-6.085000000000001,0.2717391304347826,2.0,736.0,T3
458681,19.336,15.326,-4.009999999999998,0.0,0.0,3222.0,T2
471911,17.695,15.021,-2.6739999999999995,0.1884422110552764,3.0,1592.0,T2
476595,19.796,14.757,-5.039,0.0,0.0,288.0,T3
477132,15.982,13.302,-2.6799999999999997,0.14534883720930233,3.0,2064.0,T1
489119,11.367,11.261,-0.10600000000000165,0.15991471215351813,3.0,1876.0,T1
493603,21.139,17.77,-3.3689999999999998,0.1932367149758454,2.0,1035.0,T3
500779,17.632,15.639,-1.993000000000002,0.16246953696181965,2.0,1231.0,T2
502043,19.888,17.8,-2.088000000000001,0.0325626831650928,1.0,3071.0,T3
502085,17.371,16.007,-1.3639999999999972,0.09017132551848513,1.0,1109.0,T2
502171,16.85,13.668,-3.182000000000002,0.07971303308090873,2.0,2509.0,T1
502624,14.407,12.958,-1.4489999999999998,0.13802622498274672,2.0,1449.0,T1
506433,20.938,17.568,-3.3699999999999974,0.04506534474988734,1.0,2219.0,T3
517008,23.552,17.593,-5.959,1.5873015873015872,1.0,63.0,T3
518489,19.98,16.612,-3.368000000000002,0.21367521367521367,2.0,936.0,T3
518617,23.533,17.266,-6.267000000000003,0.09803921568627451,1.0,1020.0,T3
518876,16.974,15.117,-1.8569999999999993,0.12630249447426586,4.0,3167.0,T1
518886,22.748,18.51,-4.2379999999999995,1.022816679779701,13.0,1271.0,T3
519043,19.883,16.338,-3.544999999999998,0.4662004662004662,4.0,858.0,T3
519151,23.67,17.255,-6.415000000000003,0.08960573476702509,1.0,1116.0,T3
519293,20.128,16.746,-3.3820000000000014,0.211864406779661,2.0,944.0,T3
523260,23.086,17.125,-5.9609999999999985,0.2680965147453083,2.0,746.0,T3
527048,18.191,13.752,-4.438999999999998,0.04319654427645788,1.0,2315.0,T2
542585,21.803,16.624,-5.179000000000002,0.20080321285140562,2.0,996.0,T3
542888,21.066,16.687,-4.378999999999998,0.24390243902439024,2.0,820.0,T3
542914,20.431,15.348,-5.083,0.2994011976047904,1.0,334.0,T3
543037,17.599,14.873,-2.726000000000001,0.12172854534388314,4.0,3286.0,T2
543101,15.954,13.52,-2.434000000000001,0.1931745009658725,3.0,1553.0,T1
543135,17.767,15.572,-2.1950000000000003,0.10721944245889921,3.0,2798.0,T2
543243,17.667,16.308,-1.3590000000000018,0.2671118530884808,8.0,2995.0,T2
543272,22.912,17.672,-5.239999999999998,0.1988071570576541,2.0,1006.0,T3
543294,16.989,16.079,-0.9100000000000001,0.1893939393939394,4.0,2112.0,T1
543475,15.517,13.339,-2.177999999999999,0.10634526763559021,3.0,2821.0,T1
543521,16.319,13.493,-2.8259999999999987,0.1953125,2.0,1024.0,T1
547179,16.377,14.728,-1.6489999999999991,0.0,0.0,2406.0,T1
547973,24.38,17.249,-7.131,0.34782608695652173,4.0,1150.0,T3
548389,17.136,14.294,-2.8419999999999987,0.20604395604395603,3.0,1456.0,T1
554340,20.446,15.79,-4.656000000000002,0.08873114463176575,1.0,1127.0,T3
554430,16.643,15.129,-1.5140000000000011,0.056179775280898875,2.0,3560.0,T1
570257,18.442,16.098,-2.344000000000001,0.46296296296296297,1.0,216.0,T2
570666,18.884,13.58,-5.304,0.21505376344086022,1.0,465.0,T2
571656,20.099,15.932,-4.167,0.08169934640522876,1.0,1224.0,T3
571670,19.697,15.747,-3.9499999999999993,0.10319917440660474,1.0,969.0,T3
571710,17.249,12.825,-4.4239999999999995,1.0638297872340425,1.0,94.0,T2
571760,15.303,13.639,-1.6640000000000015,0.03606202668589975,1.0,2773.0,T1
571882,14.426,13.409,-1.0169999999999995,0.2079002079002079,2.0,962.0,T1
571901,18.617,16.294,-2.3230000000000004,0.11695906432748537,1.0,855.0,T2
571927,14.39,12.345,-2.045,0.05356186395286556,1.0,1867.0,T1
571945,14.902,12.601,-2.3009999999999984,0.031269543464665414,1.0,3198.0,T1
572193,21.905,17.665,-4.240000000000002,0.4291845493562232,1.0,233.0,T3
572403,18.365,15.507,-2.8579999999999988,0.09505703422053231,1.0,1052.0,T2
573124,22.27,15.266,-7.004,0.2358490566037736,2.0,848.0,T3
573186,16.52,14.836,-1.6839999999999993,0.1358695652173913,3.0,2208.0,T1
573204,20.632,16.228,-4.404,0.18832391713747645,1.0,531.0,T3
592094,22.096,17.693,-4.402999999999999,0.22002200220022003,2.0,909.0,T3
592332,20.331,16.712,-3.6189999999999998,0.031806615776081425,1.0,3144.0,T3
592351,18.548,15.727,-2.820999999999998,0.36363636363636365,9.0,2475.0,T2
592767,15.477,15.228,-0.24900000000000055,0.08316008316008316,2.0,2405.0,T1
592826,20.185,15.785,-4.399999999999999,0.45941807044410415,3.0,653.0,T3
592836,15.073,12.675,-2.3979999999999997,0.035211267605633804,1.0,2840.0,T1
592866,17.173,13.227,-3.945999999999998,0.03806623524933384,1.0,2627.0,T2
593334,16.007,13.793,-2.214000000000002,0.12084592145015106,2.0,1655.0,T1
593576,19.348,15.94,-3.4079999999999995,0.24469820554649266,3.0,1226.0,T2
593619,20.573,15.837,-4.736000000000001,0.30959752321981426,1.0,323.0,T3
593958,15.436,13.245,-2.1910000000000007,0.12249897917517354,3.0,2449.0,T1
593974,16.651,14.194,-2.456999999999999,0.3401360544217687,3.0,882.0,T1
595345,18.405,16.456,-1.9490000000000016,0.09643201542912247,1.0,1037.0,T2
596001,14.61,12.245,-2.365,0.14336917562724014,2.0,1395.0,T1
596133,18.253,14.047,-4.2059999999999995,0.08849557522123894,2.0,2260.0,T2
596295,15.109,13.579,-1.5299999999999994,0.046146746654360866,1.0,2167.0,T1
600921,19.574,16.229,-3.3450000000000024,0.12755102040816327,1.0,784.0,T2
605130,20.846,16.576,-4.27,0.1654259718775848,2.0,1209.0,T3
605135,17.943,17.011,-0.9320000000000022,0.34810126582278483,11.0,3160.0,T2
605177,19.662,16.79,-2.872,0.10845986984815618,1.0,922.0,T3
605182,19.012,16.999,-2.0130000000000017,0.19002375296912113,4.0,2105.0,T2
605200,16.15,14.617,-1.5329999999999977,0.13324450366422386,2.0,1501.0,T1
605218,19.196,14.343,-4.8530000000000015,0.17421602787456447,1.0,574.0,T2
