pitcher_id,season,opportunities_2b,sb_2b,cs_2b,attempts_2b,attempt_rate,sb_pct,tempo22_w,pitches22,baseline_group,in_baseline_2022,appears_post_only,balanced_panel_18_24
475857,2018,61,4,0,4,0.06557377049180328,1.0,,,,0,0,0
476451,2018,291,0,0,0,0.0,,,,,0,0,0
476454,2018,239,8,2,10,0.04184100418410042,0.8,,,,0,0,0
476589,2018,227,4,1,5,0.022026431718061675,0.8,,,,0,0,0
476594,2018,143,0,3,3,0.02097902097902098,0.0,,,,0,0,0
477132,2018,426,2,1,3,0.007042253521126761,0.6666666666666666,15.982,219.0,T1,1,0,1
477569,2018,171,4,0,4,0.023391812865497075,1.0,,,,0,0,0
487675,2018,18,0,0,0,0.0,,,,,0,0,0
488671,2018,7,0,0,0,0.0,,,,,0,0,0
488748,2018,121,0,0,0,0.0,,,,,0,0,0
488768,2018,561,4,6,10,0.017825311942959002,0.4,,,,0,0,0
488786,2018,198,0,0,0,0.0,,,,,0,0,0
488818,2018,6,0,0,0,0.0,,,,,0,0,0
488846,2018,150,2,0,2,0.013333333333333334,1.0,,,,0,0,0
488984,2018,195,2,1,3,0.015384615384615385,0.6666666666666666,16.817,62.0,T1,1,0,0
489119,2018,279,1,1,2,0.007168458781362007,0.5,11.367,94.0,T1,1,0,1
489265,2018,229,1,0,1,0.004366812227074236,1.0,19.733,71.0,T3,1,0,0
489334,2018,188,5,0,5,0.026595744680851064,1.0,21.484,139.0,T3,1,0,0
489446,2018,263,4,1,5,0.019011406844106463,0.8,,,,0,0,0
489448,2018,19,0,0,0,0.0,,,,,0,0,0
491646,2018,91,2,0,2,0.02197802197802198,1.0,,,,0,0,0
491696,2018,1,0,0,0,0.0,,,,,0,0,0
493200,2018,219,0,0,0,0.0,,,,,0,0,0
493247,2018,88,1,0,1,0.011363636363636364,1.0,,,,0,0,0
493603,2018,245,15,3,18,0.07346938775510205,0.8333333333333334,21.139,199.0,T3,1,0,1
500724,2018,31,1,0,1,0.03225806451612903,1.0,,,,0,0,0
500779,2018,583,3,2,5,0.008576329331046312,0.6,17.632,432.0,T2,1,0,1
500872,2018,50,1,1,2,0.04,0.5,,,,0,0,0
501593,2018,207,1,0,1,0.004830917874396135,1.0,,,,0,0,0
501625,2018,225,3,1,4,0.017777777777777778,0.75,18.042,72.0,T2,1,0,0
501697,2018,29,0,1,1,0.034482758620689655,0.0,,,,0,0,0
501789,2018,205,2,2,4,0.01951219512195122,0.5,,,,0,0,0
501817,2018,76,1,0,1,0.013157894736842105,1.0,,,,0,0,0
501822,2018,176,0,1,1,0.005681818181818182,0.0,,,,0,0,0
501925,2018,115,3,1,4,0.034782608695652174,0.75,16.09,95.0,T1,1,0,0
501957,2018,116,0,1,1,0.008620689655172414,0.0,,,,0,0,0
501985,2018,428,3,1,4,0.009345794392523364,0.75,15.276,306.0,T1,1,0,0
502004,2018,95,4,0,4,0.042105263157894736,1.0,,,,0,0,0
