gamePk,game_date,team_id,team_name,side,sb,cs,attempts,sb_allowed,cs_allowed,attempts_allowed
666127,2022-06-04,556,Nashville Sounds,away,0,1,1,3,0,3
666127,2022-06-04,234,Durham Bulls,home,3,0,3,0,1,1
665371,2022-06-04,564,Jacksonville Jumbo Shrimp,away,1,0,1,2,1,3
665371,2022-06-04,568,Norfolk Tides,home,2,1,3,1,0,1
666236,2022-06-04,235,Memphis Redbirds,away,0,1,1,2,0,2
666236,2022-06-04,494,Charlotte Knights,home,2,0,2,0,1,1
665258,2022-06-04,238,Oklahoma City Dodgers,away,0,0,0,1,0,1
665258,2022-06-04,102,Round Rock Express,home,1,0,1,0,0,0
664285,2022-06-04,512,Toledo Mud Hens,away,3,0,3,0,0,0
664285,2022-06-04,445,Columbus Clippers,home,0,0,0,3,0,3
664674,2022-06-04,342,Albuquerque Isotopes,away,0,0,0,0,0,0
664674,2022-06-04,5434,Sugar Land Space Cowboys,home,0,0,0,0,0,0
665885,2022-06-04,1960,St. Paul Saints,away,0,0,0,0,0,0
665885,2022-06-04,451,Iowa Cubs,home,0,0,0,0,0,0
665428,2022-06-04,484,Indianapolis Indians,away,0,0,0,0,0,0
665428,2022-06-04,541,Omaha Storm Chasers,home,0,0,0,0,0,0
664895,2022-06-04,4904,El Paso Chihuahuas,away,3,0,3,1,1,2
664895,2022-06-04,561,Salt Lake Bees,home,1,1,2,3,0,3
665138,2022-06-04,529,Tacoma Rainiers,away,0,0,0,1,2,3
665138,2022-06-04,2310,Reno Aces,home,1,2,3,0,0,0
665722,2022-06-04,105,Sacramento River Cats,away,0,0,0,0,0,0
665722,2022-06-04,400,Las Vegas Aviators,home,0,0,0,0,0,0
665986,2022-06-05,416,Louisville Bats,away,0,0,0,0,0,0
665986,2022-06-05,431,Gwinnett Stripers,home,0,0,0,0,0,0
666276,2022-06-05,235,Memphis Redbirds,away,0,0,0,2,0,2
666276,2022-06-05,494,Charlotte Knights,home,2,0,2,0,0,0
664284,2022-06-05,512,Toledo Mud Hens,away,0,0,0,0,0,0
664284,2022-06-05,445,Columbus Clippers,home,0,0,0,0,0,0
665068,2022-06-05,422,Buffalo Bisons,away,0,0,0,1,0,1
665068,2022-06-05,534,Rochester Red Wings,home,1,0,1,0,0,0
664393,2022-06-05,552,Syracuse Mets,away,1,0,1,1,1,2
664393,2022-06-05,533,Worcester Red Sox,home,1,1,2,1,0,1
665366,2022-06-05,564,Jacksonville Jumbo Shrimp,away,0,0,0,1,0,1
665366,2022-06-05,568,Norfolk Tides,home,1,0,1,0,0,0
664814,2022-06-05,1410,Lehigh Valley IronPigs,away,2,0,2,2,1,3
664814,2022-06-05,531,Scranton/Wilkes-Barre RailRiders,home,2,1,3,2,0,2
665003,2022-06-05,238,Oklahoma City Dodgers,away,0,1,1,0,1,1
665003,2022-06-05,102,Round Rock Express,home,0,1,1,0,1,1
665906,2022-06-05,1960,St. Paul Saints,away,2,1,3,2,0,2
665906,2022-06-05,451,Iowa Cubs,home,2,0,2,2,1,3
665692,2022-06-05,105,Sacramento River Cats,away,0,0,0,1,0,1
665692,2022-06-05,400,Las Vegas Aviators,home,1,0,1,0,0,0
664928,2022-06-05,4904,El Paso Chihuahuas,away,0,0,0,4,0,4
664928,2022-06-05,561,Salt Lake Bees,home,4,0,4,0,0,0
665137,2022-06-05,529,Tacoma Rainiers,away,0,0,0,1,1,2
665137,2022-06-05,2310,Reno Aces,home,1,1,2,0,0,0
666122,2022-06-05,556,Nashville Sounds,away,2,0,2,2,1,3
666122,2022-06-05,234,Durham Bulls,home,2,1,3,2,0,2
664673,2022-06-05,342,Albuquerque Isotopes,away,0,0,0,0,1,1
664673,2022-06-05,5434,Sugar Land Space Cowboys,home,0,1,1,0,0,0
665425,2022-06-05,484,Indianapolis Indians,away,1,0,1,2,0,2
665425,2022-06-05,541,Omaha Storm Chasers,home,2,0,2,1,0,1
665923,2022-06-07,445,Columbus Clippers,away,0,0,0,1,0,1
665923,2022-06-07,484,Indianapolis Indians,home,1,0,1,0,0,0
665603,2022-06-07,494,Charlotte Knights,away,1,1,2,0,0,0
665603,2022-06-07,416,Louisville Bats,home,0,0,0,1,1,2
664458,2022-06-07,451,Iowa Cubs,away,0,0,0,2,0,2
664458,2022-06-07,512,Toledo Mud Hens,home,2,0,2,0,0,0
665785,2022-06-07,431,Gwinnett Stripers,away,0,0,0,1,0,1
665785,2022-06-07,564,Jacksonville Jumbo Shrimp,home,1,0,1,0,0,0
665531,2022-06-07,234,Durham Bulls,away,2,0,2,1,1,2
665531,2022-06-07,235,Memphis Redbirds,home,1,1,2,2,0,2
665215,2022-06-07,1410,Lehigh Valley IronPigs,away,3,0,3,0,0,0
665215,2022-06-07,541,Omaha Storm Chasers,home,0,0,0,3,0,3
665336,2022-06-07,5434,Sugar Land Space Cowboys,away,0,0,0,3,1,4
665336,2022-06-07,238,Oklahoma City Dodgers,home,3,1,4,0,0,0
664862,2022-06-07,534,Rochester Red Wings,away,1,0,1,1,0,1
664862,2022-06-07,1960,St. Paul Saints,home,1,0,1,1,0,1
