pitcher_id,pitcher_name,season,level_name,opp_1b_2b,opp_2b_3b,games,total_opps,sb,cs,attempts,attempt_rate,success_rate,sb_rate
445060,Ricky Nolasco,2019,AA,8,5,2,13,4,0,4,0.3076923076923077,1.0,0.3076923076923077
446185,Logan Ondrusek,2019,AA,3,0,2,3,0,0,0,0.0,,0.0
446372,Corey Kluber,2019,AA,1,0,1,1,0,0,0,0.0,,0.0
450172,Edinson Volquez,2019,AA,1,1,1,2,0,0,0,0.0,,0.0
450306,Jason Vargas,2019,AA,2,0,1,2,0,0,0,0.0,,0.0
455605,J.D. Martin,2019,AA,56,37,14,93,19,2,21,0.22580645161290322,0.9047619047619048,0.20430107526881722
456387,Ryan Feierabend,2019,AA,8,8,1,16,2,0,2,0.125,1.0,0.125
456713,Matt Bush,2019,AA,2,0,2,2,0,0,0,0.0,,0.0
458220,Esmerling Vasquez,2019,AA,13,4,5,17,4,1,5,0.29411764705882354,0.8,0.23529411764705882
458584,Xavier Cedeño,2019,AA,6,2,6,8,1,0,1,0.125,1.0,0.125
458924,Jonny Venters,2019,AA,11,2,8,13,0,0,0,0.0,,0.0
471174,Luis Vasquez,2019,AA,15,7,9,22,5,0,5,0.22727272727272727,1.0,0.22727272727272727
471911,Carlos Carrasco,2019,AA,2,0,2,2,0,1,1,0.5,0.0,0.0
472551,Fernando Abad,2019,AA,2,0,1,2,0,0,0,0.0,,0.0
476595,Lucas Luetge,2019,AA,13,6,10,19,2,2,4,0.21052631578947367,0.5,0.10526315789473684
476601,Michael Bowden,2019,AA,9,9,4,18,4,2,6,0.3333333333333333,0.6666666666666666,0.2222222222222222
476633,Chris Parmelee,2019,AA,2,0,1,2,0,0,0,0.0,,0.0
477132,Clayton Kershaw,2019,AA,3,1,1,4,0,0,0,0.0,,0.0
487675,Edward Paredes,2019,AA,3,4,4,7,2,1,3,0.42857142857142855,0.6666666666666666,0.2857142857142857
488984,Tommy Hunter,2019,AA,1,0,1,1,0,0,0,0.0,,0.0
501925,Joe Smith,2019,AA,2,0,1,2,0,0,0,0.0,,0.0
501992,Nate Karns,2019,AA,3,3,2,6,2,0,2,0.3333333333333333,1.0,0.3333333333333333
502202,Brad Boxberger,2019,AA,6,3,6,9,3,0,3,0.3333333333333333,1.0,0.3333333333333333
502381,Luke Gregerson,2019,AA,1,1,1,2,0,0,0,0.0,,0.0
502522,Justin Miller,2019,AA,2,1,2,3,1,0,1,0.3333333333333333,1.0,0.3333333333333333
502578,Aaron Barrett,2019,AA,32,16,27,48,4,1,5,0.10416666666666667,0.8,0.08333333333333333
516769,Jenrry Mejia,2019,AA,1,0,1,1,0,0,0,0.0,,0.0
517593,Danny Salazar,2019,AA,5,4,4,9,1,0,1,0.1111111111111111,1.0,0.1111111111111111
518603,Justin De Fratus,2019,AA,49,23,15,72,8,3,11,0.1527777777777778,0.7272727272727273,0.1111111111111111
518633,Danny Duffy,2019,AA,4,2,2,6,0,0,0,0.0,,0.0
518813,Greg Holland,2019,AA,3,0,3,3,1,0,1,0.3333333333333333,1.0,0.3333333333333333
519096,Dan Otero,2019,AA,2,0,2,2,1,0,1,0.5,1.0,0.5
519151,Ryan Pressly,2019,AA,1,0,1,1,0,1,1,1.0,0.0,0.0
519246,Andres Santiago,2019,AA,14,10,6,24,3,0,3,0.125,1.0,0.125
519322,Drew Storen,2019,AA,9,9,7,18,0,1,1,0.05555555555555555,0.0,0.0
532936,Mario Sanchez,2019,AA,47,30,20,77,1,1,2,0.025974025974025976,0.5,0.012987012987012988
534947,Tim Adleman,2019,AA,3,2,2,5,0,0,0,0.0,,0.0
542587,Elvis Araujo,2019,AA,15,13,14,28,2,1,3,0.10714285714285714,0.6666666666666666,0.07142857142857142
542947,Richard Bleier,2019,AA,3,0,2,3,0,0,0,0.0,,0.0
543234,Rayan González,2019,AA,40,15,30,55,5,1,6,0.10909090909090909,0.8333333333333334,0.09090909090909091
543238,Anthony Gose,2019,AA,15,13,13,28,0,0,0,0.0,,0.0
543359,Dan Jennings,2019,AA,2,1,2,3,0,0,0,0.0,,0.0
543408,Tom Koehler,2019,AA,1,0,1,1,0,0,0,0.0,,0.0
543409,Michael Kohn,2019,AA,9,1,8,10,0,0,0,0.0,,0.0
543521,Collin McHugh,2019,AA,2,1,1,3,1,0,1,0.3333333333333333,1.0,0.3333333333333333
543557,Mike Montgomery,2019,AA,2,1,1,3,0,0,0,0.0,,0.0
543594,Sean Nolin,2019,AA,7,10,4,17,1,2,3,0.17647058823529413,0.3333333333333333,0.058823529411764705
543734,Chris Rusin,2019,AA,1,3,2,4,0,0,0,0.0,,0.0
543903,Allen Webster,2019,AA,3,4,3,7,1,0,1,0.14285714285714285,1.0,0.14285714285714285
543942,Rob Wooten,2019,AA,16,8,5,24,3,1,4,0.16666666666666666,0.75,0.125
545343,Louis Head,2019,AA,5,3,5,8,0,0,0,0.0,,0.0
545346,Zach Lee,2019,AA,23,4,8,27,1,0,1,0.037037037037037035,1.0,0.037037037037037035
545404,Brandon Beachy,2019,AA,36,24,11,60,12,2,14,0.23333333333333334,0.8571428571428571,0.2
547001,Cody Poteet,2019,AA,38,18,13,56,7,1,8,0.14285714285714285,0.875,0.125
547177,Phil Pfeifer,2019,AA,17,12,8,29,2,0,2,0.06896551724137931,1.0,0.06896551724137931
548337,Logan Verrett,2019,AA,17,8,7,25,2,1,3,0.12,0.6666666666666666,0.08
553883,Jose Campos,2019,AA,18,10,14,28,3,0,3,0.10714285714285714,1.0,0.10714285714285714
554234,Williams Pérez,2019,AA,44,18,13,62,10,3,13,0.20967741935483872,0.7692307692307693,0.16129032258064516
554431,Tyler Matzek,2019,AA,3,2,3,5,1,0,1,0.2,1.0,0.2
571440,Jeff Ames,2019,AA,31,15,21,46,13,2,15,0.32608695652173914,0.8666666666666667,0.2826086956521739
571479,Andrew Bellatti,2019,AA,19,9,12,28,8,0,8,0.2857142857142857,1.0,0.2857142857142857
571687,Ian Gardeck,2019,AA,12,7,9,19,1,1,2,0.10526315789473684,0.5,0.05263157894736842
571727,Scott Griggs,2019,AA,21,13,20,34,7,0,7,0.20588235294117646,1.0,0.20588235294117646
571751,Jordan Harrison,2019,AA,33,17,24,50,4,1,5,0.1,0.8,0.08
571772,Hector Hernandez,2019,AA,1,1,2,2,0,0,0,0.0,,0.0
571825,James Jones,2019,AA,38,15,25,53,0,0,0,0.0,,0.0
571858,Branden Kline,2019,AA,2,0,1,2,0,1,1,0.5,0.0,0.0
571911,Damien Magnifico,2019,AA,33,18,28,51,1,2,3,0.058823529411764705,0.3333333333333333,0.0196078431372549
571917,Parker Markel,2019,AA,0,2,2,2,0,0,0,0.0,,0.0
571939,Trey McNutt,2019,AA,14,6,9,20,2,0,2,0.1,1.0,0.1
571993,Chris Nunn,2019,AA,11,5,9,16,0,0,0,0.0,,0.0
572089,Paco Rodríguez,2019,AA,8,3,5,11,0,1,1,0.09090909090909091,0.0,0.0
572096,Trevor Rosenthal,2019,AA,4,3,6,7,1,0,1,0.14285714285714285,1.0,0.14285714285714285
572102,Keyvius Sampson,2019,AA,5,3,2,8,2,0,2,0.25,1.0,0.25
572125,Sam Selman,2019,AA,3,1,1,4,1,0,1,0.25,1.0,0.25
572371,Tyler Higgins,2019,AA,3,0,2,3,1,0,1,0.3333333333333333,1.0,0.3333333333333333
572406,Sam Wolff,2019,AA,19,8,17,27,5,1,6,0.2222222222222222,0.8333333333333334,0.18518518518518517
572958,Zack Jones,2019,AA,6,2,4,8,0,1,1,0.125,0.0,0.0
572971,Dallas Keuchel,2019,AA,7,4,1,11,0,0,0,0.0,,0.0
573009,Joe Mantiply,2019,AA,2,2,1,4,0,0,0,0.0,,0.0
591611,Johan Belisario,2019,AA,43,22,18,65,1,2,3,0.046153846153846156,0.3333333333333333,0.015384615384615385
592105,Stetson Allie,2019,AA,3,6,4,9,2,0,2,0.2222222222222222,1.0,0.2222222222222222
592189,Yordy Cabrera,2019,AA,37,25,28,62,7,0,7,0.11290322580645161,1.0,0.11290322580645161
592230,Kaleb Cowart,2019,AA,4,2,3,6,2,0,2,0.3333333333333333,1.0,0.3333333333333333
592296,John Fasola,2019,AA,3,1,3,4,1,1,2,0.5,0.5,0.25
592329,Jason García,2019,AA,41,18,10,59,3,0,3,0.05084745762711865,1.0,0.05084745762711865
592332,Kevin Gausman,2019,AA,2,0,1,2,1,0,1,0.5,1.0,0.5
592336,Daniel Gibson,2019,AA,5,4,4,9,0,0,0,0.0,,0.0
592411,Ben Holmes,2019,AA,17,6,5,23,2,0,2,0.08695652173913043,1.0,0.08695652173913043
592422,Jason Hursh,2019,AA,25,21,20,46,4,0,4,0.08695652173913043,1.0,0.08695652173913043
592438,Chase Johnson,2019,AA,43,22,24,65,2,3,5,0.07692307692307693,0.4,0.03076923076923077
592455,Jake Kalish,2019,AA,3,1,2,4,0,0,0,0.0,,0.0
592600,Chace Numata,2019,AA,1,1,1,2,0,0,0,0.0,,0.0
592630,Ronald Peña,2019,AA,23,12,17,35,4,1,5,0.14285714285714285,0.8,0.11428571428571428
592761,Caleb Smith,2019,AA,2,2,2,4,1,0,1,0.25,1.0,0.25
592815,Sam Tuivailala,2019,AA,1,0,1,1,0,1,1,1.0,0.0,0.0
592831,Konner Wade,2019,AA,58,29,16,87,5,1,6,0.06896551724137931,0.8333333333333334,0.05747126436781609
592848,Zack Weiss,2019,AA,15,10,9,25,4,1,5,0.2,0.8,0.16
593163,Carlos Navas,2019,AA,15,13,15,28,3,0,3,0.10714285714285714,1.0,0.10714285714285714
593372,Carlos Martinez,2019,AA,2,1,1,3,0,0,0,0.0,,0.0
593468,Claudio Custodio,2019,AA,49,25,25,74,2,1,3,0.04054054054054054,0.6666666666666666,0.02702702702702703
593574,Luis González,2019,AA,8,6,8,14,1,0,1,0.07142857142857142,1.0,0.07142857142857142
593580,Dario Beltre,2019,AA,49,26,25,75,7,2,9,0.12,0.7777777777777778,0.09333333333333334
593633,Victor Payano,2019,AA,12,7,11,19,3,1,4,0.21052631578947367,0.75,0.15789473684210525
593977,Johendí Jiminian,2019,AA,74,39,26,113,12,1,13,0.11504424778761062,0.9230769230769231,0.10619469026548672
594580,Sam Moll,2019,AA,34,19,25,53,2,1,3,0.05660377358490566,0.6666666666666666,0.03773584905660377
594747,Logan Bawcom,2019,AA,8,8,5,16,2,0,2,0.125,1.0,0.125
594891,Aaron Kurcz,2019,AA,8,4,10,12,2,0,2,0.16666666666666666,1.0,0.16666666666666666
594985,Ben Rowen,2019,AA,11,8,6,19,3,0,3,0.15789473684210525,1.0,0.15789473684210525
595191,Jerad Eickhoff,2019,AA,4,2,2,6,3,0,3,0.5,1.0,0.5
595237,Ryan Halstead,2019,AA,29,21,18,50,8,2,10,0.2,0.8,0.16
595255,Mitch Horacek,2019,AA,28,15,21,43,4,2,6,0.13953488372093023,0.6666666666666666,0.09302325581395349
595263,Mickey Jannis,2019,AA,90,58,20,148,11,2,13,0.08783783783783784,0.8461538461538461,0.07432432432432433
595296,Chris Lee,2019,AA,2,0,1,2,0,0,0,0.0,,0.0
595389,David Roseboom,2019,AA,17,7,7,24,2,1,3,0.125,0.6666666666666666,0.08333333333333333
595893,Bryan Brickhouse,2019,AA,5,3,5,8,0,0,0,0.0,,0.0
595926,Jason Creasy,2019,AA,20,13,11,33,4,0,4,0.12121212121212122,1.0,0.12121212121212122
595966,John Gorman,2019,AA,42,20,32,62,4,2,6,0.0967741935483871,0.6666666666666666,0.06451612903225806
595988,Heath Holder,2019,AA,47,18,24,65,0,1,1,0.015384615384615385,0.0,0.0
595995,Andrew Istler,2019,AA,7,5,5,12,1,0,1,0.08333333333333333,1.0,0.08333333333333333
596035,Reggie McClain,2019,AA,14,6,3,20,0,0,0,0.0,,0.0
596052,Benton Moss,2019,AA,5,1,3,6,0,1,1,0.16666666666666666,0.0,0.0
596111,Jordan Stephens,2019,AA,12,6,7,18,2,0,2,0.1111111111111111,1.0,0.1111111111111111
596295,Austin Gomber,2019,AA,0,1,1,1,1,0,1,1.0,1.0,1.0
598271,Brian Johnson,2019,AA,7,1,3,8,2,0,2,0.25,1.0,0.25
598286,Nick Ramirez,2019,AA,3,2,2,5,0,0,0,0.0,,0.0
599644,Josh Tols,2019,AA,1,1,1,2,1,0,1,0.5,1.0,0.5
600011,Daniel McGrath,2019,AA,68,28,22,96,5,5,10,0.10416666666666667,0.5,0.052083333333333336
600355,Tyler Herb,2019,AA,31,13,10,44,9,0,9,0.20454545454545456,1.0,0.20454545454545456
602929,Markus Solbach,2019,AA,25,9,7,34,2,0,2,0.058823529411764705,1.0,0.058823529411764705
605182,Mike Clevinger,2019,AA,3,1,1,4,2,1,3,0.75,0.6666666666666666,0.5
605184,Trey Cochran-Gill,2019,AA,44,22,29,66,2,1,3,0.045454545454545456,0.6666666666666666,0.030303030303030304
605232,Brandon Finnegan,2019,AA,10,3,7,13,4,1,5,0.38461538461538464,0.8,0.3076923076923077
605255,Brett Graves,2019,AA,18,15,21,33,3,0,3,0.09090909090909091,1.0,0.09090909090909091
605280,Clay Holmes,2019,AA,4,2,1,6,1,0,1,0.16666666666666666,1.0,0.16666666666666666
605356,Tyler Mapes,2019,AA,87,52,25,139,15,3,18,0.12949640287769784,0.8333333333333334,0.1079136690647482
605368,Mason McCullough,2019,AA,6,4,4,10,0,0,0,0.0,,0.0
605448,Bradley Roney,2019,AA,11,7,11,18,1,0,1,0.05555555555555555,1.0,0.05555555555555555
605495,Wyatt Strahan,2019,AA,45,32,28,77,8,1,9,0.11688311688311688,0.8888888888888888,0.1038961038961039
605507,Zach Thompson,2019,AA,1,1,2,2,0,1,1,0.5,0.0,0.0
605521,Art Warren,2019,AA,17,10,14,27,6,0,6,0.2222222222222222,1.0,0.2222222222222222
606127,Jose Rafael De Paula,2019,AA,1,0,1,1,0,0,0,0.0,,0.0
606160,Rafael Montero,2019,AA,8,5,5,13,1,0,1,0.07692307692307693,1.0,0.07692307692307693
606167,Adalberto Mejía,2019,AA,1,0,1,1,0,0,0,0.0,,0.0
606190,Jorgan Cavanerio,2019,AA,13,7,6,20,0,0,0,0.0,,0.0
606198,Anderson Polanco,2019,AA,4,1,3,5,1,1,2,0.4,0.5,0.2
606208,Luis Lugo,2019,AA,38,20,12,58,6,3,9,0.15517241379310345,0.6666666666666666,0.10344827586206896
606216,Yonathan Mendoza,2019,AA,1,1,1,2,0,0,0,0.0,,0.0
606227,Yoel Espinal,2019,AA,27,23,23,50,6,0,6,0.12,1.0,0.12
606291,Mauricio Cabrera,2019,AA,46,28,34,74,8,2,10,0.13513513513513514,0.8,0.10810810810810811
606303,Joel Payamps,2019,AA,15,10,7,25,6,0,6,0.24,1.0,0.24
606467,Richelson Peña,2019,AA,16,5,8,21,0,0,0,0.0,,0.0
606478,Pedro Araújo,2019,AA,22,10,18,32,1,2,3,0.09375,0.3333333333333333,0.03125
606939,Aaron Brown,2019,AA,44,20,31,64,5,0,5,0.078125,1.0,0.078125
606981,Darin Gillies,2019,AA,18,8,10,26,3,0,3,0.11538461538461539,1.0,0.11538461538461539
606996,Kyle Hart,2019,AA,30,12,9,42,5,1,6,0.14285714285714285,0.8333333333333334,0.11904761904761904
607030,Adam McCreery,2019,AA,11,3,8,14,1,0,1,0.07142857142857142,1.0,0.07142857142857142
607080,Joel Seddon,2019,AA,11,6,4,17,0,0,0,0.0,,0.0
607088,Jerrick Suiter,2019,AA,0,1,1,1,0,0,0,0.0,,0.0
607114,Matt Wivinis,2019,AA,6,2,3,8,0,0,0,0.0,,0.0
607170,Brady Dragmire,2019,AA,14,7,5,21,2,1,3,0.14285714285714285,0.6666666666666666,0.09523809523809523
607179,Jordan Weems,2019,AA,36,18,22,54,4,2,6,0.1111111111111111,0.6666666666666666,0.07407407407407407
607200,Erick Fedde,2019,AA,17,7,5,24,4,0,4,0.16666666666666666,1.0,0.16666666666666666
607215,Eric Skoglund,2019,AA,8,8,2,16,2,0,2,0.125,1.0,0.125
607222,Tanner Chleborad,2019,AA,12,9,9,21,0,0,0,0.0,,0.0
607225,Jordan Foley,2019,AA,43,31,32,74,9,2,11,0.14864864864864866,0.8181818181818182,0.12162162162162163
607249,Jason Krizan,2019,AA,2,2,2,4,0,0,0,0.0,,0.0
607391,Chris Mazza,2019,AA,16,6,4,22,3,0,3,0.13636363636363635,1.0,0.13636363636363635
607457,Kyle Barraclough,2019,AA,3,2,4,5,2,0,2,0.4,1.0,0.4
607555,Taylor Guilbeau,2019,AA,24,9,18,33,1,1,2,0.06060606060606061,0.5,0.030303030303030304
607588,Jordan Johnson,2019,AA,27,21,9,48,6,0,6,0.125,1.0,0.125
607692,Travis Radke,2019,AA,18,8,15,26,0,1,1,0.038461538461538464,0.0,0.0
607729,David Sosebee,2019,AA,2,1,2,3,0,0,0,0.0,,0.0
607751,Matt Tomshaw,2019,AA,28,20,12,48,1,0,1,0.020833333333333332,1.0,0.020833333333333332
607755,Andrew Vasquez,2019,AA,16,8,13,24,1,0,1,0.041666666666666664,1.0,0.041666666666666664
607895,Fernando Perez,2019,AA,8,5,3,13,1,0,1,0.07692307692307693,1.0,0.07692307692307693
608167,Jonathan Aro,2019,AA,29,18,16,47,3,1,4,0.0851063829787234,0.75,0.06382978723404255
608323,Sean Brady,2019,AA,110,56,25,166,10,1,11,0.06626506024096386,0.9090909090909091,0.060240963855421686
608335,Kyle Funkhouser,2019,AA,14,2,4,16,2,0,2,0.125,1.0,0.125
608381,Walker Weickel,2019,AA,36,29,30,65,3,1,4,0.06153846153846154,0.75,0.046153846153846156
608422,José Godoy,2019,AA,3,0,2,3,0,0,0,0.0,,0.0
608652,Luke Farrell,2019,AA,5,1,4,6,0,0,0,0.0,,0.0
608723,Austin Voth,2019,AA,6,3,3,9,3,1,4,0.4444444444444444,0.75,0.3333333333333333
612792,Jesús Castillo,2019,AA,67,28,29,95,2,2,4,0.042105263157894736,0.5,0.021052631578947368
612797,Erick Leal,2019,AA,27,27,11,54,3,0,3,0.05555555555555555,1.0,0.05555555555555555
613534,Austin Adams,2019,AA,1,0,1,1,1,0,1,1.0,1.0,1.0
620396,Miguel Aguilar,2019,AA,12,8,14,20,0,1,1,0.05,0.0,0.0
620440,Jairo Beras,2019,AA,22,11,14,33,5,0,5,0.15151515151515152,1.0,0.15151515151515152
620978,Liarvis Breto,2019,AA,8,5,7,13,2,0,2,0.15384615384615385,1.0,0.15384615384615385
620982,Ricardo Pinto,2019,AA,14,6,4,20,2,0,2,0.1,1.0,0.1
620986,Jefferson Medina,2019,AA,16,10,9,26,4,0,4,0.15384615384615385,1.0,0.15384615384615385
621048,Nolan Long,2019,AA,36,21,27,57,4,1,5,0.08771929824561403,0.8,0.07017543859649122
621050,Josh Graham,2019,AA,27,16,24,43,9,0,9,0.20930232558139536,1.0,0.20930232558139536
621058,Andrew Moore,2019,AA,10,5,6,15,5,1,6,0.4,0.8333333333333334,0.3333333333333333
621068,Riley Ferrell,2019,AA,5,2,5,7,2,0,2,0.2857142857142857,1.0,0.2857142857142857
621074,Michael Rucker,2019,AA,51,31,29,82,1,2,3,0.036585365853658534,0.3333333333333333,0.012195121951219513
621076,James Kaprielian,2019,AA,10,6,6,16,2,0,2,0.125,1.0,0.125
621078,Brady Lail,2019,AA,10,4,9,14,2,2,4,0.2857142857142857,0.5,0.14285714285714285
621079,Collin Wiles,2019,AA,15,8,7,23,5,0,5,0.21739130434782608,1.0,0.21739130434782608
621082,Jacob Lemoine,2019,AA,18,6,13,24,2,1,3,0.125,0.6666666666666666,0.08333333333333333
621086,James Marvel,2019,AA,53,26,16,79,3,1,4,0.05063291139240506,0.75,0.0379746835443038
621088,Bryan Bonnell,2019,AA,26,20,25,46,2,1,3,0.06521739130434782,0.6666666666666666,0.043478260869565216
621089,José Mesa Jr.,2019,AA,9,8,6,17,1,1,2,0.11764705882352941,0.5,0.058823529411764705
621094,Jamie Callahan,2019,AA,4,1,3,5,0,0,0,0.0,,0.0
621098,Eric Hanhold,2019,AA,7,5,6,12,0,1,1,0.08333333333333333,0.0,0.0
621127,Andrew Sopko,2019,AA,14,4,6,18,1,1,2,0.1111111111111111,0.5,0.05555555555555555
621132,Kieran Lovegrove,2019,AA,10,7,9,17,1,0,1,0.058823529411764705,1.0,0.058823529411764705
621139,Brooks Kriske,2019,AA,28,16,22,44,7,0,7,0.1590909090909091,1.0,0.1590909090909091
621143,Jackson McClelland,2019,AA,26,15,20,41,3,2,5,0.12195121951219512,0.6,0.07317073170731707
621153,Kevin McCanna,2019,AA,44,21,19,65,5,0,5,0.07692307692307693,1.0,0.07692307692307693
621154,Luc Rennie,2019,AA,8,7,3,15,1,0,1,0.06666666666666667,1.0,0.06666666666666667
621200,Dillon McNamara,2019,AA,5,2,3,7,1,0,1,0.14285714285714285,1.0,0.14285714285714285
621256,Joe Shaw,2019,AA,37,21,19,58,5,0,5,0.08620689655172414,1.0,0.08620689655172414
621259,Brody Koerner,2019,AA,22,10,6,32,2,1,3,0.09375,0.6666666666666666,0.0625
621324,Preston Beck,2019,AA,1,2,1,3,0,0,0,0.0,,0.0
