team_id,team_name,season,level_id,level_name,games,sb,cs,attempts,sb_allowed,cs_allowed,attempts_allowed,success_rate,success_rate_allowed,sb_per_game,attempts_per_game
102,Round Rock Express,2022,11,AAA,52,55,17,72,66,13,79,0.7638888888888888,0.8354430379746836,1.0576923076923077,1.3846153846153846
103,Lake Elsinore Storm,2021,14,A,115,165,50,215,135,57,192,0.7674418604651163,0.703125,1.434782608695652,1.8695652173913044
105,Sacramento River Cats,2022,11,AAA,52,44,12,56,43,13,56,0.7857142857142857,0.7678571428571429,0.8461538461538461,1.0769230769230769
106,Erie SeaWolves,2021,12,AA,42,20,7,27,19,9,28,0.7407407407407407,0.6785714285714286,0.47619047619047616,0.6428571428571429
233,Charleston RiverDogs,2021,14,A,131,169,42,211,122,49,171,0.8009478672985783,0.7134502923976608,1.2900763358778626,1.6106870229007633
234,Durham Bulls,2022,11,AAA,58,50,24,74,62,14,76,0.6756756756756757,0.8157894736842105,0.8620689655172413,1.2758620689655173
235,Memphis Redbirds,2022,11,AAA,58,67,13,80,59,15,74,0.8375,0.7972972972972973,1.1551724137931034,1.3793103448275863
237,Midland RockHounds,2021,12,AA,43,13,10,23,25,16,41,0.5652173913043478,0.6097560975609756,0.3023255813953488,0.5348837209302325
238,Oklahoma City Dodgers,2022,11,AAA,58,36,13,49,51,19,70,0.7346938775510204,0.7285714285714285,0.6206896551724138,0.8448275862068966
247,Birmingham Barons,2021,12,AA,65,46,7,53,44,21,65,0.8679245283018868,0.676923076923077,0.7076923076923077,0.8153846153846154
249,Carolina Mudcats,2021,14,A,144,228,41,269,337,62,399,0.8475836431226765,0.8446115288220551,1.5833333333333333,1.8680555555555556
259,Fresno Grizzlies,2021,14,A,118,211,78,289,72,44,116,0.7301038062283737,0.6206896551724138,1.7881355932203389,2.4491525423728815
260,Tulsa Drillers,2021,12,AA,40,13,7,20,40,6,46,0.65,0.8695652173913043,0.325,0.5
279,Palm Beach Cardinals,2021,14,A,183,66,50,116,186,99,285,0.5689655172413793,0.6526315789473685,0.36065573770491804,0.6338797814207651
342,Albuquerque Isotopes,2022,11,AAA,55,46,9,55,47,20,67,0.8363636363636363,0.7014925373134329,0.8363636363636363,1.0
400,Las Vegas Aviators,2022,11,AAA,56,39,9,48,47,19,66,0.8125,0.7121212121212122,0.6964285714285714,0.8571428571428571
401,Inland Empire 66ers,2021,14,A,115,150,45,195,118,42,160,0.7692307692307693,0.7375,1.3043478260869565,1.6956521739130435
