team_id,team_name,season,level_id,level_name,games,sb,cs,attempts,sb_allowed,cs_allowed,attempts_allowed,success_rate,success_rate_allowed,sb_per_game,attempts_per_game
102,Round Rock Express,2021,11,AAA,142,102,47,149,112,39,151,0.6845637583892618,0.7417218543046358,0.7183098591549296,1.0492957746478873
105,Sacramento River Cats,2021,11,AAA,136,89,25,114,71,28,99,0.7807017543859649,0.7171717171717171,0.6544117647058824,0.8382352941176471
106,Erie SeaWolves,2021,12,AA,102,68,26,94,41,28,69,0.723404255319149,0.5942028985507246,0.6666666666666666,0.9215686274509803
233,Charleston RiverDogs,2019,14,A,128,129,64,193,118,46,164,0.6683937823834197,0.7195121951219512,1.0078125,1.5078125
234,Durham Bulls,2021,11,AAA,145,148,45,193,91,40,131,0.7668393782383419,0.6946564885496184,1.0206896551724138,1.3310344827586207
235,Memphis Redbirds,2021,11,AAA,157,69,40,109,109,39,148,0.6330275229357798,0.7364864864864865,0.4394904458598726,0.6942675159235668
237,Midland RockHounds,2021,12,AA,86,55,18,73,69,39,108,0.7534246575342466,0.6388888888888888,0.6395348837209303,0.8488372093023255
238,Oklahoma City Dodgers,2021,11,AAA,136,62,22,84,87,27,114,0.7380952380952381,0.7631578947368421,0.45588235294117646,0.6176470588235294
247,Birmingham Barons,2021,12,AA,101,124,26,150,51,45,96,0.8266666666666667,0.53125,1.2277227722772277,1.4851485148514851
260,Tulsa Drillers,2021,12,AA,86,55,20,75,80,28,108,0.7333333333333333,0.7407407407407407,0.6395348837209303,0.872093023255814
342,Albuquerque Isotopes,2021,11,AAA,142,74,23,97,108,50,158,0.7628865979381443,0.6835443037974683,0.5211267605633803,0.6830985915492958
400,Las Vegas Aviators,2021,11,AAA,133,53,11,64,65,25,90,0.828125,0.7222222222222222,0.39849624060150374,0.48120300751879697
402,Akron RubberDucks,2021,12,AA,106,91,41,132,50,30,80,0.6893939393939394,0.625,0.8584905660377359,1.2452830188679245
404,AZL Angels,2019,16,Rookie,52,41,24,65,110,40,150,0.6307692307692307,0.7333333333333333,0.7884615384615384,1.25
405,AZL Athletics Green,2019,16,Rookie,55,56,31,87,89,36,125,0.6436781609195402,0.712,1.018181818181818,1.5818181818181818
406,AZL Brewers Gold,2019,16,Rookie,53,69,27,96,64,33,97,0.71875,0.6597938144329897,1.3018867924528301,1.8113207547169812
407,AZL Cubs 1,2019,16,Rookie,52,86,38,124,85,23,108,0.6935483870967742,0.7870370370370371,1.6538461538461537,2.3846153846153846
408,AZL Giants Black,2019,16,Rookie,56,63,39,102,107,20,127,0.6176470588235294,0.84251968503937,1.125,1.8214285714285714
409,AZL Mariners,2019,16,Rookie,53,54,19,73,71,20,91,0.7397260273972602,0.7802197802197802,1.0188679245283019,1.3773584905660377
410,AZL Padres 1,2019,16,Rookie,53,66,21,87,56,34,90,0.7586206896551724,0.6222222222222222,1.2452830188679245,1.6415094339622642
411,AZL Rangers,2019,16,Rookie,53,80,25,105,74,16,90,0.7619047619047619,0.8222222222222222,1.509433962264151,1.9811320754716981
412,AZL Royals,2019,16,Rookie,59,86,28,114,78,23,101,0.7543859649122807,0.7722772277227723,1.4576271186440677,1.9322033898305084
416,Louisville Bats,2021,11,AAA,153,71,32,103,68,29,97,0.6893203883495146,0.7010309278350515,0.46405228758169936,0.673202614379085
418,Bowie Baysox,2021,12,AA,100,50,31,81,53,25,78,0.6172839506172839,0.6794871794871795,0.5,0.81
420,Burlington Bees,2019,14,A,147,104,43,147,175,57,232,0.7074829931972789,0.7543103448275862,0.7074829931972789,1.0
421,Montgomery Biscuits,2021,12,AA,107,92,53,145,74,26,100,0.6344827586206897,0.74,0.8598130841121495,1.355140186915888
422,Buffalo Bisons,2021,11,AAA,176,135,49,184,109,26,135,0.7336956521739131,0.8074074074074075,0.7670454545454546,1.0454545454545454
