pitcher_id,pitcher_name,season,level_name,opp_1b_2b,opp_2b_3b,games,total_opps,sb,cs,attempts,attempt_rate,success_rate,sb_rate
425844,Zack Greinke,2022,AAA,4,3,1,7,0,1,1,0.14285714285714285,0.0,0.0
433589,Yusmeiro Petit,2022,AAA,8,3,6,11,1,0,1,0.09090909090909091,1.0,0.09090909090909091
434671,Aníbal Sánchez,2022,AAA,12,4,3,16,3,0,3,0.1875,1.0,0.1875
445213,Brandon Kintzler,2022,AAA,6,3,5,9,1,0,1,0.1111111111111111,1.0,0.1111111111111111
446321,Ross Detwiler,2022,AAA,6,5,6,11,2,1,3,0.2727272727272727,0.6666666666666666,0.18181818181818182
453284,Blake Parker,2022,AAA,17,11,13,28,5,0,5,0.17857142857142858,1.0,0.17857142857142858
453286,Max Scherzer,2022,AAA,1,0,1,1,0,0,0,0.0,,0.0
456501,Johnny Cueto,2022,AAA,7,3,4,10,0,0,0,0.0,,0.0
458676,Josh Lindblom,2022,AAA,60,23,26,83,7,1,8,0.0963855421686747,0.875,0.08433734939759036
458681,Lance Lynn,2022,AAA,4,5,2,9,0,0,0,0.0,,0.0
459429,Jake McGee,2022,AAA,1,0,1,1,0,0,0,0.0,,0.0
461325,Tyler Clippard,2022,AAA,20,12,16,32,13,0,13,0.40625,1.0,0.40625
472551,Fernando Abad,2022,AAA,22,13,16,35,3,0,3,0.08571428571428572,1.0,0.08571428571428572
476454,Dellin Betances,2022,AAA,14,4,12,18,5,0,5,0.2777777777777778,1.0,0.2777777777777778
488984,Tommy Hunter,2022,AAA,6,2,6,8,3,0,3,0.375,1.0,0.375
489119,Wade Miley,2022,AAA,12,5,4,17,1,0,1,0.058823529411764705,1.0,0.058823529411764705
489334,Craig Stammen,2022,AAA,3,2,2,5,0,0,0,0.0,,0.0
489446,Kirby Yates,2022,AAA,3,2,2,5,1,0,1,0.2,1.0,0.2
491624,César Valdez,2022,AAA,73,45,23,118,7,1,8,0.06779661016949153,0.875,0.059322033898305086
500724,JC Ramírez,2022,AAA,25,18,15,43,10,0,10,0.23255813953488372,1.0,0.23255813953488372
501381,Michael Pineda,2022,AAA,14,7,7,21,3,1,4,0.19047619047619047,0.75,0.14285714285714285
501593,Luis Avilán,2022,AAA,18,6,13,24,4,0,4,0.16666666666666666,1.0,0.16666666666666666
501625,Jose Alvarez,2022,AAA,3,1,2,4,0,0,0,0.0,,0.0
501697,Jhan Mariñez,2022,AAA,17,14,11,31,1,2,3,0.0967741935483871,0.3333333333333333,0.03225806451612903
501789,Will Harris,2022,AAA,2,2,3,4,1,0,1,0.25,1.0,0.25
501985,Mike Minor,2022,AAA,9,5,3,14,2,0,2,0.14285714285714285,1.0,0.14285714285714285
502083,Zach McAllister,2022,AAA,43,20,34,63,11,1,12,0.19047619047619047,0.9166666666666666,0.1746031746031746
502154,Zack Britton,2022,AAA,2,1,2,3,0,0,0,0.0,,0.0
502239,Trevor Cahill,2022,AAA,23,11,8,34,5,1,6,0.17647058823529413,0.8333333333333334,0.14705882352941177
502578,Aaron Barrett,2022,AAA,13,9,10,22,2,0,2,0.09090909090909091,1.0,0.09090909090909091
502593,Jake Petricka,2022,AAA,14,8,14,22,2,0,2,0.09090909090909091,1.0,0.09090909090909091
502624,Chase Anderson,2022,AAA,44,20,19,64,11,1,12,0.1875,0.9166666666666666,0.171875
502706,Derek Holland,2022,AAA,29,16,23,45,5,2,7,0.15555555555555556,0.7142857142857143,0.1111111111111111
502748,Brad Peacock,2022,AAA,37,18,30,55,5,0,5,0.09090909090909091,1.0,0.09090909090909091
503285,Darren O'Day,2022,AAA,5,1,3,6,5,0,5,0.8333333333333334,1.0,0.8333333333333334
503449,Wily Peralta,2022,AAA,3,2,4,5,0,0,0,0.0,,0.0
503569,Rafael Dolis,2022,AAA,16,14,14,30,6,0,6,0.2,1.0,0.2
517593,Danny Salazar,2022,AAA,1,0,1,1,0,0,0,0.0,,0.0
518397,Scott Alexander,2022,AAA,3,0,3,3,0,1,1,0.3333333333333333,0.0,0.0
518464,Seth Blair,2022,AAA,19,14,15,33,6,0,6,0.18181818181818182,1.0,0.18181818181818182
518566,Taylor Cole,2022,AAA,20,9,14,29,2,0,2,0.06896551724137931,1.0,0.06896551724137931
518585,Fernando Cruz,2022,AAA,31,15,31,46,5,0,5,0.10869565217391304,1.0,0.10869565217391304
518633,Danny Duffy,2022,AAA,2,3,3,5,0,0,0,0.0,,0.0
518693,Sam Freeman,2022,AAA,18,13,21,31,1,1,2,0.06451612903225806,0.5,0.03225806451612903
518774,Matt Harvey,2022,AAA,31,10,10,41,4,3,7,0.17073170731707318,0.5714285714285714,0.0975609756097561
519008,T.J. McFarland,2022,AAA,13,6,10,19,3,2,5,0.2631578947368421,0.6,0.15789473684210525
519043,Matt Moore,2022,AAA,1,1,2,2,0,0,0,0.0,,0.0
519141,Drew Pomeranz,2022,AAA,1,1,1,2,0,0,0,0.0,,0.0
519242,Chris Sale,2022,AAA,3,2,1,5,0,0,0,0.0,,0.0
519393,Marcus Walden,2022,AAA,41,21,14,62,8,0,8,0.12903225806451613,1.0,0.12903225806451613
520980,Pedro Báez,2022,AAA,3,9,5,12,3,0,3,0.25,1.0,0.25
527055,Arodys Vizcaíno,2022,AAA,7,5,6,12,0,0,0,0.0,,0.0
532936,Mario Sanchez,2022,AAA,50,17,23,67,5,3,8,0.11940298507462686,0.625,0.07462686567164178
534947,Tim Adleman,2022,AAA,29,8,16,37,4,2,6,0.16216216216216217,0.6666666666666666,0.10810810810810811
541640,Erasmo Ramírez,2022,AAA,1,0,1,1,0,0,0,0.0,,0.0
542419,Ali Castillo,2022,AAA,2,0,2,2,0,0,0,0.0,,0.0
542585,José Cisnero,2022,AAA,1,2,2,3,0,0,0,0.0,,0.0
542888,Shawn Armstrong,2022,AAA,2,2,2,4,0,0,0,0.0,,0.0
542947,Richard Bleier,2022,AAA,1,0,1,1,0,0,0,0.0,,0.0
542960,Brad Brach,2022,AAA,17,6,13,23,1,0,1,0.043478260869565216,1.0,0.043478260869565216
543101,Anthony DeSclafani,2022,AAA,5,2,2,7,1,0,1,0.14285714285714285,1.0,0.14285714285714285
543135,Nathan Eovaldi,2022,AAA,3,1,2,4,0,0,0,0.0,,0.0
543208,Sam Gaviglio,2022,AAA,48,22,17,70,12,0,12,0.17142857142857143,1.0,0.17142857142857143
543351,Jay Jackson,2022,AAA,11,5,10,16,4,0,4,0.25,1.0,0.25
