gamePk,season,level_id,level_name,game_date,home_team_id,home_team_name,away_team_id,away_team_name,game_type
575295,2019,11,AAA,2019-04-04,422,Buffalo Bisons,531,Scranton/Wilkes-Barre RailRiders,R
575931,2019,11,AAA,2019-04-04,552,Syracuse Mets,533,Pawtucket Red Sox,R
575645,2019,11,AAA,2019-04-04,512,Toledo Mud Hens,416,Louisville Bats,R
575435,2019,11,AAA,2019-04-04,445,Columbus Clippers,484,Indianapolis Indians,R
575575,2019,11,AAA,2019-04-04,494,Charlotte Knights,234,Durham Bulls,R
575365,2019,11,AAA,2019-04-04,431,Gwinnett Stripers,568,Norfolk Tides,R
576071,2019,11,AAA,2019-04-04,1410,Lehigh Valley IronPigs,534,Rochester Red Wings,R
579767,2019,11,AAA,2019-04-04,556,Nashville Sounds,451,Iowa Cubs,R
579907,2019,11,AAA,2019-04-04,238,Oklahoma City Dodgers,510,San Antonio Missions,R
579697,2019,11,AAA,2019-04-04,235,Memphis Redbirds,541,Omaha Storm Chasers,R
579332,2019,11,AAA,2019-04-04,342,Albuquerque Isotopes,561,Salt Lake Bees,R
579417,2019,11,AAA,2019-04-04,4904,El Paso Chihuahuas,400,Las Vegas Aviators,R
587933,2019,11,AAA,2019-04-04,562,Sultanes de Monterrey,496,Leones de Yucatan,R
580188,2019,11,AAA,2019-04-04,105,Sacramento River Cats,529,Tacoma Rainiers,R
579487,2019,11,AAA,2019-04-04,259,Fresno Grizzlies,2310,Reno Aces,R
579837,2019,11,AAA,2019-04-04,588,New Orleans Baby Cakes,102,Round Rock Express,R
588113,2019,11,AAA,2019-04-05,5010,Toros de Tijuana,4444,Generales de Durango,R
575436,2019,11,AAA,2019-04-05,445,Columbus Clippers,484,Indianapolis Indians,R
575296,2019,11,AAA,2019-04-05,422,Buffalo Bisons,531,Scranton/Wilkes-Barre RailRiders,R
575576,2019,11,AAA,2019-04-05,494,Charlotte Knights,234,Durham Bulls,R
575646,2019,11,AAA,2019-04-05,512,Toledo Mud Hens,416,Louisville Bats,R
575366,2019,11,AAA,2019-04-05,431,Gwinnett Stripers,568,Norfolk Tides,R
579768,2019,11,AAA,2019-04-05,556,Nashville Sounds,451,Iowa Cubs,R
579838,2019,11,AAA,2019-04-05,588,New Orleans Baby Cakes,102,Round Rock Express,R
579908,2019,11,AAA,2019-04-05,238,Oklahoma City Dodgers,510,San Antonio Missions,R
579698,2019,11,AAA,2019-04-05,235,Memphis Redbirds,541,Omaha Storm Chasers,R
579333,2019,11,AAA,2019-04-05,342,Albuquerque Isotopes,561,Salt Lake Bees,R
587392,2019,11,AAA,2019-04-05,532,Diablos Rojos del Mexico,569,Tigres de Quintana Roo,R
579418,2019,11,AAA,2019-04-05,4904,El Paso Chihuahuas,400,Las Vegas Aviators,R
587934,2019,11,AAA,2019-04-05,562,Sultanes de Monterrey,496,Leones de Yucatan,R
587332,2019,11,AAA,2019-04-05,434,Bravos de Leon,528,Rieleros de Aguascalientes,R
587693,2019,11,AAA,2019-04-05,520,Pericos de Puebla,523,Piratas de Campeche,R
587993,2019,11,AAA,2019-04-05,536,Tecos de los Dos Laredos,447,Algodoneros Union Laguna,R
587212,2019,11,AAA,2019-04-05,560,Acereros del Norte,502,Saraperos de Saltillo,R
587512,2019,11,AAA,2019-04-05,579,Guerreros de Oaxaca,442,Olmecas de Tabasco,R
