team_id,team_name,season,level_id,level_name,games,sb,cs,attempts,sb_allowed,cs_allowed,attempts_allowed,success_rate,success_rate_allowed,sb_per_game,attempts_per_game
102,Round Rock Express,2022,11,AAA,98,80,20,100,84,25,109,0.8,0.7706422018348624,0.8163265306122449,1.0204081632653061
103,Lake Elsinore Storm,2022,14,A,141,274,71,345,192,45,237,0.7942028985507247,0.810126582278481,1.9432624113475176,2.4468085106382977
105,Sacramento River Cats,2022,11,AAA,101,55,17,72,95,28,123,0.7638888888888888,0.7723577235772358,0.5445544554455446,0.7128712871287128
106,Erie SeaWolves,2022,12,AA,144,141,30,171,76,43,119,0.8245614035087719,0.6386554621848739,0.9791666666666666,1.1875
233,Charleston RiverDogs,2022,14,A,144,257,49,306,190,43,233,0.8398692810457516,0.8154506437768241,1.7847222222222223,2.125
234,Durham Bulls,2022,11,AAA,101,108,25,133,96,23,119,0.8120300751879699,0.8067226890756303,1.0693069306930694,1.316831683168317
235,Memphis Redbirds,2022,11,AAA,115,106,45,151,111,30,141,0.7019867549668874,0.7872340425531915,0.9217391304347826,1.3130434782608695
237,Midland RockHounds,2022,12,AA,139,78,29,107,133,34,167,0.7289719626168224,0.7964071856287425,0.5611510791366906,0.7697841726618705
238,Oklahoma City Dodgers,2022,11,AAA,107,85,29,114,117,16,133,0.7456140350877193,0.8796992481203008,0.794392523364486,1.0654205607476634
247,Birmingham Barons,2022,12,AA,136,195,60,255,182,48,230,0.7647058823529411,0.7913043478260869,1.4338235294117647,1.875
249,Carolina Mudcats,2022,14,A,150,157,61,218,188,99,287,0.7201834862385321,0.6550522648083623,1.0466666666666666,1.4533333333333334
259,Fresno Grizzlies,2022,14,A,135,189,53,242,92,51,143,0.78099173553719,0.6433566433566433,1.4,1.7925925925925925
260,Tulsa Drillers,2022,12,AA,158,125,27,152,289,36,325,0.8223684210526315,0.8892307692307693,0.7911392405063291,0.9620253164556962
279,Palm Beach Cardinals,2022,14,A,174,92,53,145,211,46,257,0.6344827586206897,0.8210116731517509,0.5287356321839081,0.8333333333333334
342,Albuquerque Isotopes,2022,11,AAA,110,66,27,93,110,32,142,0.7096774193548387,0.7746478873239436,0.6,0.8454545454545455
400,Las Vegas Aviators,2022,11,AAA,103,45,15,60,101,26,127,0.75,0.7952755905511811,0.4368932038834951,0.5825242718446602
401,Inland Empire 66ers,2022,14,A,138,229,58,287,159,57,216,0.7979094076655052,0.7361111111111112,1.6594202898550725,2.079710144927536
402,Akron RubberDucks,2022,12,AA,151,140,47,187,113,37,150,0.7486631016042781,0.7533333333333333,0.9271523178807947,1.2384105960264902
403,Everett AquaSox,2022,13,High-A,141,117,34,151,225,54,279,0.7748344370860927,0.8064516129032258,0.8297872340425532,1.070921985815603
404,ACL Angels,2022,16,Rookie,58,40,17,57,37,9,46,0.7017543859649122,0.8043478260869565,0.6896551724137931,0.9827586206896551
406,ACL Brewers Gold,2022,16,Rookie,61,93,14,107,68,33,101,0.8691588785046729,0.6732673267326733,1.5245901639344261,1.7540983606557377
407,ACL Cubs,2022,16,Rookie,61,81,32,113,111,26,137,0.7168141592920354,0.8102189781021898,1.3278688524590163,1.8524590163934427
408,ACL Giants Black,2022,16,Rookie,61,31,14,45,31,24,55,0.6888888888888889,0.5636363636363636,0.5081967213114754,0.7377049180327869
409,ACL Mariners,2022,16,Rookie,55,84,29,113,46,28,74,0.7433628318584071,0.6216216216216216,1.5272727272727273,2.0545454545454547
410,ACL Padres,2022,16,Rookie,55,56,27,83,76,20,96,0.6746987951807228,0.7916666666666666,1.018181818181818,1.509090909090909
411,ACL Rangers,2022,16,Rookie,55,96,33,129,69,14,83,0.7441860465116279,0.8313253012048193,1.7454545454545454,2.3454545454545452
412,ACL Royals,2022,16,Rookie,61,84,24,108,59,21,80,0.7777777777777778,0.7375,1.3770491803278688,1.7704918032786885
414,Salem Red Sox,2022,14,A,159,218,44,262,194,46,240,0.8320610687022901,0.8083333333333333,1.371069182389937,1.6477987421383649
416,Louisville Bats,2022,11,AAA,99,64,15,79,122,24,146,0.810126582278481,0.8356164383561644,0.6464646464646465,0.797979797979798
418,Bowie Baysox,2022,12,AA,152,81,23,104,94,38,132,0.7788461538461539,0.7121212121212122,0.5328947368421053,0.6842105263157895
