gamePk,season,level,error
649018,2021,A,Failed to fetch
648533,2021,A,Failed to fetch
649220,2021,A,Failed to fetch
649079,2021,A,Failed to fetch
648795,2021,A,Failed to fetch
648896,2021,A,Failed to fetch
649557,2021,A,Failed to fetch
649489,2021,A,Failed to fetch
648852,2021,A,Failed to fetch
647839,2021,A,Failed to fetch
648276,2021,A,Failed to fetch
648069,2021,A,Failed to fetch
647896,2021,A,Failed to fetch
649219,2021,A,Failed to fetch
649018,2021,A,Failed to fetch
649595,2021,A,Failed to fetch
649558,2021,A,Failed to fetch
648408,2021,A,Failed to fetch
648675,2021,A,Failed to fetch
648517,2021,A,Failed to fetch
649078,2021,A,Failed to fetch
648794,2021,A,Failed to fetch
648895,2021,A,Failed to fetch
649485,2021,A,Failed to fetch
647837,2021,A,Failed to fetch
648059,2021,A,Failed to fetch
647903,2021,A,Failed to fetch
648160,2021,A,Failed to fetch
649017,2021,A,Failed to fetch
649219,2021,A,Failed to fetch
648889,2021,A,Failed to fetch
648407,2021,A,Failed to fetch
648674,2021,A,Failed to fetch
648506,2021,A,Failed to fetch
648807,2021,A,Failed to fetch
649077,2021,A,Failed to fetch
649597,2021,A,Failed to fetch
649482,2021,A,Failed to fetch
649218,2021,A,Failed to fetch
647838,2021,A,Failed to fetch
648057,2021,A,Failed to fetch
647901,2021,A,Failed to fetch
648278,2021,A,Failed to fetch
649016,2021,A,Failed to fetch
649017,2021,A,Failed to fetch
648894,2021,A,Failed to fetch
649015,2021,A,Failed to fetch
649016,2021,A,Failed to fetch
649217,2021,A,Failed to fetch
648930,2021,A,Failed to fetch
648894,2021,A,Failed to fetch
648516,2021,A,Failed to fetch
649602,2021,A,Failed to fetch
648870,2021,A,Failed to fetch
649481,2021,A,Failed to fetch
648388,2021,A,Failed to fetch
648563,2021,A,Failed to fetch
648776,2021,A,Failed to fetch
649076,2021,A,Failed to fetch
647836,2021,A,Failed to fetch
648058,2021,A,Failed to fetch
648277,2021,A,Failed to fetch
647902,2021,A,Failed to fetch
648562,2021,A,Failed to fetch
648775,2021,A,Failed to fetch
648406,2021,A,Failed to fetch
649075,2021,A,Failed to fetch
648888,2021,A,Failed to fetch
649215,2021,A,Failed to fetch
649601,2021,A,Failed to fetch
649113,2021,A,Failed to fetch
647835,2021,A,Failed to fetch
648893,2021,A,Failed to fetch
648056,2021,A,Failed to fetch
647900,2021,A,Failed to fetch
648182,2021,A,Failed to fetch
648513,2021,A,Failed to fetch
649509,2021,A,Failed to fetch
648656,2021,A,Failed to fetch
648670,2021,A,Failed to fetch
648314,2021,A,Failed to fetch
649424,2021,A,Failed to fetch
648616,2021,A,Failed to fetch
649544,2021,A,Failed to fetch
648735,2021,A,Failed to fetch
649211,2021,A,Failed to fetch
648958,2021,A,Failed to fetch
649293,2021,A,Failed to fetch
649412,2021,A,Failed to fetch
648103,2021,A,Failed to fetch
648239,2021,A,Failed to fetch
648236,2021,A,Failed to fetch
648066,2021,A,Failed to fetch
648557,2021,A,Failed to fetch
648735,2021,A,Failed to fetch
648671,2021,A,Failed to fetch
648313,2021,A,Failed to fetch
649426,2021,A,Failed to fetch
649547,2021,A,Failed to fetch
649212,2021,A,Failed to fetch
648957,2021,A,Failed to fetch
649294,2021,A,Failed to fetch
649411,2021,A,Failed to fetch
648729,2021,A,Failed to fetch
648063,2021,A,Failed to fetch
648256,2021,A,Failed to fetch
648191,2021,A,Failed to fetch
648055,2021,A,Failed to fetch
648742,2021,A,Failed to fetch
648618,2021,A,Failed to fetch
648742,2021,A,Failed to fetch
648655,2021,A,Failed to fetch
649419,2021,A,Failed to fetch
649543,2021,A,Failed to fetch
648730,2021,A,Failed to fetch
649162,2021,A,Failed to fetch
648956,2021,A,Failed to fetch
649296,2021,A,Failed to fetch
649396,2021,A,Failed to fetch
648023,2021,A,Failed to fetch
648222,2021,A,Failed to fetch
648216,2021,A,Failed to fetch
648054,2021,A,Failed to fetch
648731,2021,A,Failed to fetch
648315,2021,A,Failed to fetch
648312,2021,A,Failed to fetch
648315,2021,A,Failed to fetch
648669,2021,A,Failed to fetch
648731,2021,A,Failed to fetch
648801,2021,A,Failed to fetch
649425,2021,A,Failed to fetch
648603,2021,A,Failed to fetch
