gamePk,game_date,team_id,team_name,side,sb,cs,attempts,sb_allowed,cs_allowed,attempts_allowed
576975,2019-04-26,443,Peoria Chiefs,away,2,0,2,0,1,1
576975,2019-04-26,554,Beloit Snappers,home,0,1,1,2,0,2
573795,2019-04-26,477,Greensboro Grasshoppers,away,1,0,1,2,0,2
573795,2019-04-26,563,Hagerstown Suns,home,2,0,2,1,0,1
578026,2019-04-26,420,Burlington Bees,away,0,0,0,0,1,1
578026,2019-04-26,572,Wisconsin Timber Rattlers,home,0,1,1,0,0,0
578025,2019-04-26,420,Burlington Bees,away,0,0,0,0,0,0
578025,2019-04-26,572,Wisconsin Timber Rattlers,home,0,0,0,0,0,0
577956,2019-04-26,437,Lake County Captains,away,1,0,1,0,2,2
577956,2019-04-26,582,West Michigan Whitecaps,home,0,2,2,1,0,1
573865,2019-04-26,427,Lakewood BlueClaws,away,0,0,0,1,1,2
573865,2019-04-26,448,Hickory Crawdads,home,1,1,2,0,0,0
577326,2019-04-26,456,Great Lakes Loons,away,0,1,1,3,0,3
577326,2019-04-26,459,Dayton Dragons,home,3,0,3,0,1,1
574150,2019-04-26,487,Kannapolis Intimidators,away,2,1,3,1,1,2
574150,2019-04-26,432,Rome Braves,home,1,1,2,2,1,3
574084,2019-04-26,428,Greenville Drive,away,1,0,1,0,1,1
574084,2019-04-26,495,Lexington Legends,home,0,1,1,1,0,1
574220,2019-04-26,573,Asheville Tourists,away,3,0,3,2,0,2
574220,2019-04-26,525,West Virginia Power,home,2,0,2,3,0,3
573445,2019-04-26,3705,Columbia Fireflies,away,1,0,1,0,1,1
573445,2019-04-26,233,Charleston RiverDogs,home,0,1,1,1,0,1
577536,2019-04-26,492,Cedar Rapids Kernels,away,3,0,3,0,0,0
577536,2019-04-26,446,Kane County Cougars,home,0,0,0,3,0,3
577816,2019-04-26,500,Clinton LumberKings,away,4,0,4,2,0,2
577816,2019-04-26,565,Quad Cities River Bandits,home,2,0,2,4,0,4
577886,2019-04-26,584,Fort Wayne TinCaps,away,2,1,3,3,0,3
577886,2019-04-26,550,South Bend Cubs,home,3,0,3,2,1,3
577046,2019-04-26,499,Lansing Lugnuts,away,3,0,3,0,1,1
577046,2019-04-26,2498,Bowling Green Hot Rods,home,0,1,1,3,0,3
573585,2019-04-26,478,Augusta GreenJackets,away,0,1,1,1,0,1
573585,2019-04-26,548,Delmarva Shorebirds,home,1,0,1,0,1,1
578027,2019-04-27,420,Burlington Bees,away,0,0,0,2,0,2
578027,2019-04-27,572,Wisconsin Timber Rattlers,home,2,0,2,0,0,0
574221,2019-04-27,573,Asheville Tourists,away,0,1,1,1,1,2
574221,2019-04-27,525,West Virginia Power,home,1,1,2,0,1,1
577957,2019-04-27,437,Lake County Captains,away,1,1,2,0,0,0
577957,2019-04-27,582,West Michigan Whitecaps,home,0,0,0,1,1,2
573796,2019-04-27,477,Greensboro Grasshoppers,away,0,1,1,0,0,0
573796,2019-04-27,563,Hagerstown Suns,home,0,0,0,0,1,1
573586,2019-04-27,478,Augusta GreenJackets,away,0,0,0,5,1,6
573586,2019-04-27,548,Delmarva Shorebirds,home,5,1,6,0,0,0
573585,2019-04-27,478,Augusta GreenJackets,away,0,1,1,1,0,1
573585,2019-04-27,548,Delmarva Shorebirds,home,1,0,1,0,1,1
573866,2019-04-27,427,Lakewood BlueClaws,away,0,2,2,3,1,4
573866,2019-04-27,448,Hickory Crawdads,home,3,1,4,0,2,2
574151,2019-04-27,487,Kannapolis Intimidators,away,1,1,2,1,0,1
574151,2019-04-27,432,Rome Braves,home,1,0,1,1,1,2
573446,2019-04-27,3705,Columbia Fireflies,away,1,0,1,1,0,1
573446,2019-04-27,233,Charleston RiverDogs,home,1,0,1,1,0,1
574085,2019-04-27,428,Greenville Drive,away,1,0,1,0,0,0
574085,2019-04-27,495,Lexington Legends,home,0,0,0,1,0,1
577327,2019-04-27,456,Great Lakes Loons,away,2,0,2,0,0,0
577327,2019-04-27,459,Dayton Dragons,home,0,0,0,2,0,2
577047,2019-04-27,499,Lansing Lugnuts,away,1,1,2,2,1,3
577047,2019-04-27,2498,Bowling Green Hot Rods,home,2,1,3,1,1,2
577252,2019-04-27,500,Clinton LumberKings,away,0,0,0,3,0,3
577252,2019-04-27,565,Quad Cities River Bandits,home,3,0,3,0,0,0
577817,2019-04-27,500,Clinton LumberKings,away,0,0,0,0,0,0
577817,2019-04-27,565,Quad Cities River Bandits,home,0,0,0,0,0,0
577537,2019-04-27,492,Cedar Rapids Kernels,away,1,0,1,0,0,0
577537,2019-04-27,446,Kane County Cougars,home,0,0,0,1,0,1
577887,2019-04-27,584,Fort Wayne TinCaps,away,0,0,0,1,0,1
577887,2019-04-27,550,South Bend Cubs,home,1,0,1,0,0,0
576977,2019-04-27,554,Beloit Snappers,away,0,0,0,0,0,0
576977,2019-04-27,443,Peoria Chiefs,home,0,0,0,0,0,0
577328,2019-04-28,456,Great Lakes Loons,away,0,0,0,1,1,2
577328,2019-04-28,459,Dayton Dragons,home,1,1,2,0,0,0
574152,2019-04-28,487,Kannapolis Intimidators,away,0,1,1,1,0,1
574152,2019-04-28,432,Rome Braves,home,1,0,1,0,1,1
577538,2019-04-28,492,Cedar Rapids Kernels,away,1,0,1,4,0,4
577538,2019-04-28,446,Kane County Cougars,home,4,0,4,1,0,1
577537,2019-04-28,492,Cedar Rapids Kernels,away,1,0,1,0,0,0
577537,2019-04-28,446,Kane County Cougars,home,0,0,0,1,0,1
577958,2019-04-28,437,Lake County Captains,away,0,0,0,2,0,2
577958,2019-04-28,582,West Michigan Whitecaps,home,2,0,2,0,0,0
574086,2019-04-28,428,Greenville Drive,away,0,1,1,2,0,2
574086,2019-04-28,495,Lexington Legends,home,2,0,2,0,1,1
573587,2019-04-28,478,Augusta GreenJackets,away,0,0,0,2,0,2
573587,2019-04-28,548,Delmarva Shorebirds,home,2,0,2,0,0,0
573797,2019-04-28,477,Greensboro Grasshoppers,away,0,0,0,0,0,0
573797,2019-04-28,563,Hagerstown Suns,home,0,0,0,0,0,0
578028,2019-04-28,420,Burlington Bees,away,1,0,1,2,1,3
578028,2019-04-28,572,Wisconsin Timber Rattlers,home,2,1,3,1,0,1
574222,2019-04-28,573,Asheville Tourists,away,3,1,4,1,0,1
574222,2019-04-28,525,West Virginia Power,home,1,0,1,3,1,4
577888,2019-04-28,584,Fort Wayne TinCaps,away,2,3,5,1,1,2
577888,2019-04-28,550,South Bend Cubs,home,1,1,2,2,3,5
577887,2019-04-28,584,Fort Wayne TinCaps,away,0,0,0,1,0,1
577887,2019-04-28,550,South Bend Cubs,home,1,0,1,0,0,0
577818,2019-04-28,500,Clinton LumberKings,away,2,0,2,1,1,2
577818,2019-04-28,565,Quad Cities River Bandits,home,1,1,2,2,0,2
577252,2019-04-28,500,Clinton LumberKings,away,0,0,0,3,0,3
577252,2019-04-28,565,Quad Cities River Bandits,home,3,0,3,0,0,0
573867,2019-04-28,427,Lakewood BlueClaws,away,0,1,1,2,0,2
573867,2019-04-28,448,Hickory Crawdads,home,2,0,2,0,1,1
577048,2019-04-28,499,Lansing Lugnuts,away,0,1,1,0,0,0
577048,2019-04-28,2498,Bowling Green Hot Rods,home,0,0,0,0,1,1
573447,2019-04-28,3705,Columbia Fireflies,away,0,0,0,0,1,1
573447,2019-04-28,233,Charleston RiverDogs,home,0,1,1,0,0,0
576978,2019-04-28,554,Beloit Snappers,away,0,0,0,0,1,1
576978,2019-04-28,443,Peoria Chiefs,home,0,1,1,0,0,0
576977,2019-04-28,554,Beloit Snappers,away,0,0,0,0,0,0
576977,2019-04-28,443,Peoria Chiefs,home,0,0,0,0,0,0
573370,2019-04-30,495,Lexington Legends,away,1,0,1,0,0,0
573370,2019-04-30,478,Augusta GreenJackets,home,0,0,0,1,0,1
573724,2019-04-30,448,Hickory Crawdads,away,1,0,1,0,1,1
573724,2019-04-30,428,Greenville Drive,home,0,1,1,1,0,1
577679,2019-04-30,572,Wisconsin Timber Rattlers,away,2,0,2,0,1,1
577679,2019-04-30,499,Lansing Lugnuts,home,0,1,1,2,0,2
577609,2019-04-30,565,Quad Cities River Bandits,away,1,0,1,1,0,1
577609,2019-04-30,437,Lake County Captains,home,1,0,1,1,0,1
574004,2019-04-30,525,West Virginia Power,away,0,1,1,1,1,2
574004,2019-04-30,427,Lakewood BlueClaws,home,1,1,2,0,1,1
573654,2019-04-30,432,Rome Braves,away,0,0,0,3,1,4
573654,2019-04-30,477,Greensboro Grasshoppers,home,3,1,4,0,0,0
573934,2019-04-30,233,Charleston RiverDogs,away,2,1,3,2,0,2
573934,2019-04-30,487,Kannapolis Intimidators,home,2,0,2,2,1,3
573304,2019-04-30,563,Hagerstown Suns,away,1,0,1,1,0,1
573304,2019-04-30,573,Asheville Tourists,home,1,0,1,1,0,1
577399,2019-04-30,446,Kane County Cougars,away,2,0,2,0,0,0
577399,2019-04-30,584,Fort Wayne TinCaps,home,0,0,0,2,0,2
573514,2019-04-30,548,Delmarva Shorebirds,away,0,1,1,0,0,0
573514,2019-04-30,3705,Columbia Fireflies,home,0,0,0,0,1,1
577469,2019-04-30,554,Beloit Snappers,away,0,0,0,2,1,3
577469,2019-04-30,456,Great Lakes Loons,home,2,1,3,0,0,0
577119,2019-04-30,550,South Bend Cubs,away,1,0,1,0,1,1
577119,2019-04-30,420,Burlington Bees,home,0,1,1,1,0,1
577259,2019-04-30,582,West Michigan Whitecaps,away,2,0,2,2,0,2
577259,2019-04-30,500,Clinton LumberKings,home,2,0,2,2,0,2
577749,2019-04-30,459,Dayton Dragons,away,0,0,0,0,0,0
577749,2019-04-30,443,Peoria Chiefs,home,0,0,0,0,0,0
577189,2019-04-30,2498,Bowling Green Hot Rods,away,0,0,0,2,0,2
577189,2019-04-30,492,Cedar Rapids Kernels,home,2,0,2,0,0,0
573935,2019-05-01,233,Charleston RiverDogs,away,3,0,3,0,0,0
573935,2019-05-01,487,Kannapolis Intimidators,home,0,0,0,3,0,3
577400,2019-05-01,446,Kane County Cougars,away,2,0,2,1,2,3
577400,2019-05-01,584,Fort Wayne TinCaps,home,1,2,3,2,0,2
573515,2019-05-01,548,Delmarva Shorebirds,away,1,0,1,0,1,1
573515,2019-05-01,3705,Columbia Fireflies,home,0,1,1,1,0,1
577260,2019-05-01,582,West Michigan Whitecaps,away,0,0,0,0,0,0
577260,2019-05-01,500,Clinton LumberKings,home,0,0,0,0,0,0
577259,2019-05-01,582,West Michigan Whitecaps,away,2,0,2,2,0,2
577259,2019-05-01,500,Clinton LumberKings,home,2,0,2,2,0,2
577470,2019-05-01,554,Beloit Snappers,away,2,0,2,0,1,1
577470,2019-05-01,456,Great Lakes Loons,home,0,1,1,2,0,2
577469,2019-05-01,554,Beloit Snappers,away,0,0,0,2,1,3
