gamePk,season,level,error
576670,2019,High-A,Failed to fetch
572750,2019,High-A,Failed to fetch
572890,2019,High-A,Failed to fetch
573103,2019,High-A,Failed to fetch
573178,2019,High-A,Failed to fetch
572403,2019,High-A,Failed to fetch
582274,2019,High-A,Failed to fetch
581717,2019,High-A,Failed to fetch
572821,2019,High-A,Failed to fetch
582352,2019,High-A,Failed to fetch
582137,2019,High-A,Failed to fetch
582068,2019,High-A,Failed to fetch
576598,2019,High-A,Failed to fetch
576811,2019,High-A,Failed to fetch
576461,2019,High-A,Failed to fetch
576881,2019,High-A,Failed to fetch
581718,2019,High-A,Failed to fetch
572891,2019,High-A,Failed to fetch
573104,2019,High-A,Failed to fetch
582275,2019,High-A,Failed to fetch
582069,2019,High-A,Failed to fetch
576599,2019,High-A,Failed to fetch
576812,2019,High-A,Failed to fetch
576462,2019,High-A,Failed to fetch
576882,2019,High-A,Failed to fetch
572751,2019,High-A,Failed to fetch
573179,2019,High-A,Failed to fetch
572404,2019,High-A,Failed to fetch
572822,2019,High-A,Failed to fetch
582138,2019,High-A,Failed to fetch
572752,2019,High-A,Failed to fetch
572751,2019,High-A,Failed to fetch
582139,2019,High-A,Failed to fetch
582138,2019,High-A,Failed to fetch
576813,2019,High-A,Failed to fetch
572823,2019,High-A,Failed to fetch
572822,2019,High-A,Failed to fetch
572892,2019,High-A,Failed to fetch
582276,2019,High-A,Failed to fetch
581719,2019,High-A,Failed to fetch
582354,2019,High-A,Failed to fetch
582070,2019,High-A,Failed to fetch
576600,2019,High-A,Failed to fetch
576463,2019,High-A,Failed to fetch
576883,2019,High-A,Failed to fetch
573180,2019,High-A,Failed to fetch
573179,2019,High-A,Failed to fetch
572405,2019,High-A,Failed to fetch
572404,2019,High-A,Failed to fetch
573105,2019,High-A,Failed to fetch
573019,2019,High-A,Failed to fetch
572962,2019,High-A,Failed to fetch
572543,2019,High-A,Failed to fetch
572470,2019,High-A,Failed to fetch
572678,2019,High-A,Failed to fetch
581787,2019,High-A,Failed to fetch
582355,2019,High-A,Failed to fetch
581857,2019,High-A,Failed to fetch
582277,2019,High-A,Failed to fetch
582207,2019,High-A,Failed to fetch
572607,2019,High-A,Failed to fetch
576601,2019,High-A,Failed to fetch
576951,2019,High-A,Failed to fetch
576464,2019,High-A,Failed to fetch
576884,2019,High-A,Failed to fetch
572893,2019,High-A,Failed to fetch
572894,2019,High-A,Failed to fetch
582356,2019,High-A,Failed to fetch
581788,2019,High-A,Failed to fetch
572963,2019,High-A,Failed to fetch
572471,2019,High-A,Failed to fetch
581858,2019,High-A,Failed to fetch
582278,2019,High-A,Failed to fetch
582208,2019,High-A,Failed to fetch
572544,2019,High-A,Failed to fetch
572679,2019,High-A,Failed to fetch
572608,2019,High-A,Failed to fetch
576465,2019,High-A,Failed to fetch
576602,2019,High-A,Failed to fetch
576952,2019,High-A,Failed to fetch
576885,2019,High-A,Failed to fetch
572893,2019,High-A,Failed to fetch
572895,2019,High-A,Failed to fetch
572893,2019,High-A,Failed to fetch
572472,2019,High-A,Failed to fetch
581789,2019,High-A,Failed to fetch
572964,2019,High-A,Failed to fetch
572545,2019,High-A,Failed to fetch
572680,2019,High-A,Failed to fetch
582279,2019,High-A,Failed to fetch
582357,2019,High-A,Failed to fetch
582209,2019,High-A,Failed to fetch
572609,2019,High-A,Failed to fetch
581859,2019,High-A,Failed to fetch
576603,2019,High-A,Failed to fetch
576466,2019,High-A,Failed to fetch
576953,2019,High-A,Failed to fetch
576886,2019,High-A,Failed to fetch
572473,2019,High-A,Failed to fetch
573106,2019,High-A,Failed to fetch
572681,2019,High-A,Failed to fetch
572965,2019,High-A,Failed to fetch
572610,2019,High-A,Failed to fetch
576534,2019,High-A,Failed to fetch
572404,2019,High-A,Failed to fetch
573036,2019,High-A,Failed to fetch
572473,2019,High-A,Failed to fetch
572966,2019,High-A,Failed to fetch
581790,2019,High-A,Failed to fetch
572682,2019,High-A,Failed to fetch
581860,2019,High-A,Failed to fetch
582210,2019,High-A,Failed to fetch
572611,2019,High-A,Failed to fetch
582071,2019,High-A,Failed to fetch
576535,2019,High-A,Failed to fetch
576954,2019,High-A,Failed to fetch
576671,2019,High-A,Failed to fetch
576741,2019,High-A,Failed to fetch
572474,2019,High-A,Failed to fetch
573037,2019,High-A,Failed to fetch
573107,2019,High-A,Failed to fetch
581927,2019,High-A,Failed to fetch
572475,2019,High-A,Failed to fetch
572405,2019,High-A,Failed to fetch
572683,2019,High-A,Failed to fetch
573038,2019,High-A,Failed to fetch
573036,2019,High-A,Failed to fetch
581928,2019,High-A,Failed to fetch
581927,2019,High-A,Failed to fetch
573108,2019,High-A,Failed to fetch
573107,2019,High-A,Failed to fetch
572967,2019,High-A,Failed to fetch
