team_id,team_name,level_id,level_name,season,parent_org,league_name
512,Toledo Mud Hens,11,AAA,2019,Detroit Tigers,International League
1410,Lehigh Valley IronPigs,11,AAA,2019,Philadelphia Phillies,International League
579,Guerreros de Oaxaca,11,AAA,2019,Office of the Commissioner,Mexican League
451,Iowa Cubs,11,AAA,2019,Chicago Cubs,Pacific Coast League
259,Fresno Grizzlies,11,AAA,2019,Washington Nationals,Pacific Coast League
2310,Reno Aces,11,AAA,2019,Arizona Diamondbacks,Pacific Coast League
520,Pericos de Puebla,11,AAA,2019,Office of the Commissioner,Mexican League
523,Piratas de Campeche,11,AAA,2019,Office of the Commissioner,Mexican League
588,New Orleans Baby Cakes,11,AAA,2019,Miami Marlins,Pacific Coast League
528,Rieleros de Aguascalientes,11,AAA,2019,Office of the Commissioner,Mexican League
400,Las Vegas Aviators,11,AAA,2019,Oakland Athletics,Pacific Coast League
529,Tacoma Rainiers,11,AAA,2019,Seattle Mariners,Pacific Coast League
5010,Toros de Tijuana,11,AAA,2019,Office of the Commissioner,Mexican League
531,Scranton/Wilkes-Barre RailRiders,11,AAA,2019,New York Yankees,International League
532,Diablos Rojos del Mexico,11,AAA,2019,Office of the Commissioner,Mexican League
533,Pawtucket Red Sox,11,AAA,2019,Boston Red Sox,International League
342,Albuquerque Isotopes,11,AAA,2019,Colorado Rockies,Pacific Coast League
534,Rochester Red Wings,11,AAA,2019,Minnesota Twins,International League
536,Tecos de los Dos Laredos,11,AAA,2019,Office of the Commissioner,Mexican League
4444,Generales de Durango,11,AAA,2019,Office of the Commissioner,Mexican League
541,Omaha Storm Chasers,11,AAA,2019,Kansas City Royals,Pacific Coast League
416,Louisville Bats,11,AAA,2019,Cincinnati Reds,International League
484,Indianapolis Indians,11,AAA,2019,Pittsburgh Pirates,International League
102,Round Rock Express,11,AAA,2019,Houston Astros,Pacific Coast League
422,Buffalo Bisons,11,AAA,2019,Toronto Blue Jays,International League
4904,El Paso Chihuahuas,11,AAA,2019,San Diego Padres,Pacific Coast League
552,Syracuse Mets,11,AAA,2019,New York Mets,International League
105,Sacramento River Cats,11,AAA,2019,San Francisco Giants,Pacific Coast League
234,Durham Bulls,11,AAA,2019,Tampa Bay Rays,International League
235,Memphis Redbirds,11,AAA,2019,St. Louis Cardinals,Pacific Coast League
556,Nashville Sounds,11,AAA,2019,Texas Rangers,Pacific Coast League
494,Charlotte Knights,11,AAA,2019,Chicago White Sox,International League
238,Oklahoma City Dodgers,11,AAA,2019,Los Angeles Dodgers,Pacific Coast League
431,Gwinnett Stripers,11,AAA,2019,Atlanta Braves,International League
496,Leones de Yucatan,11,AAA,2019,Office of the Commissioner,Mexican League
560,Acereros del Norte,11,AAA,2019,Office of the Commissioner,Mexican League
561,Salt Lake Bees,11,AAA,2019,Los Angeles Angels,Pacific Coast League
562,Sultanes de Monterrey,11,AAA,2019,Office of the Commissioner,Mexican League
434,Bravos de Leon,11,AAA,2019,Office of the Commissioner,Mexican League
502,Saraperos de Saltillo,11,AAA,2019,Office of the Commissioner,Mexican League
568,Norfolk Tides,11,AAA,2019,Baltimore Orioles,International League
569,Tigres de Quintana Roo,11,AAA,2019,Office of the Commissioner,Mexican League
3898,Wichita Wind Surge,11,AAA,2019,Miami Marlins,
442,Olmecas de Tabasco,11,AAA,2019,Office of the Commissioner,Mexican League
445,Columbus Clippers,11,AAA,2019,Cleveland Indians,International League
510,San Antonio Missions,11,AAA,2019,Milwaukee Brewers,Pacific Coast League
447,Algodoneros Union Laguna,11,AAA,2019,Office of the Commissioner,Mexican League
452,Altoona Curve,12,AA,2019,Pittsburgh Pirates,Eastern League
260,Tulsa Drillers,12,AA,2019,Los Angeles Dodgers,Texas League
1350,Northwest Arkansas Naturals,12,AA,2019,Kansas City Royals,Texas League
522,Reading Fightin Phils,12,AA,2019,Philadelphia Phillies,Eastern League
463,New Hampshire Fisher Cats,12,AA,2019,Toronto Blue Jays,Eastern League
3410,Richmond Flying Squirrels,12,AA,2019,San Francisco Giants,Eastern League
402,Akron RubberDucks,12,AA,2019,Cleveland Indians,Eastern League
5015,Biloxi Shuckers,12,AA,2019,Milwaukee Brewers,Southern League
538,Hartford Yard Goats,12,AA,2019,Colorado Rockies,Eastern League
4124,Pensacola Blue Wahoos,12,AA,2019,Minnesota Twins,Southern League
540,Frisco RoughRiders,12,AA,2019,Texas Rangers,Texas League
417,Mobile BayBears,12,AA,2019,Los Angeles Angels,Southern League
546,Portland Sea Dogs,12,AA,2019,Boston Red Sox,Eastern League
482,Corpus Christi Hooks,12,AA,2019,Houston Astros,Texas League
418,Bowie Baysox,12,AA,2019,Baltimore Orioles,Eastern League
547,Harrisburg Senators,12,AA,2019,Washington Nationals,Eastern League
421,Montgomery Biscuits,12,AA,2019,Tampa Bay Rays,Southern League
104,Jackson Generals,12,AA,2019,Arizona Diamondbacks,Southern League
553,Tennessee Smokies,12,AA,2019,Chicago Cubs,Southern League
106,Erie SeaWolves,12,AA,2019,Detroit Tigers,Eastern League
237,Midland RockHounds,12,AA,2019,Oakland Athletics,Texas League
430,Mississippi Braves,12,AA,2019,Atlanta Braves,Southern League
559,Rocket City Trash Pandas,12,AA,2019,Los Angeles Angels,
498,Chattanooga Lookouts,12,AA,2019,Cincinnati Reds,Southern League
564,Jacksonville Jumbo Shrimp,12,AA,2019,Miami Marlins,Southern League
567,Trenton Thunder,12,AA,2019,New York Yankees,Eastern League
247,Birmingham Barons,12,AA,2019,Chicago White Sox,Southern League
5368,Amarillo Sod Poodles,12,AA,2019,San Diego Padres,Texas League
440,Springfield Cardinals,12,AA,2019,St. Louis Cardinals,Texas League
505,Binghamton Rumble Ponies,12,AA,2019,New York Mets,Eastern League
574,Arkansas Travelers,12,AA,2019,Seattle Mariners,Texas League
3712,Fayetteville Woodpeckers,13,High-A,2019,Houston Astros,Carolina League
450,Daytona Tortugas,13,High-A,2019,Cincinnati Reds,Florida State League
515,Modesto Nuts,13,High-A,2019,Seattle Mariners,California League
580,Winston-Salem Dash,13,High-A,2019,Chicago White Sox,Carolina League
516,Visalia Rawhide,13,High-A,2019,Arizona Diamondbacks,California League
521,Myrtle Beach Pelicans,13,High-A,2019,Chicago Cubs,Carolina League
587,Tampa Tarpons,13,High-A,2019,New York Yankees,Florida State League
524,Stockton Ports,13,High-A,2019,Oakland Athletics,California League
526,Rancho Cucamonga Quakes,13,High-A,2019,Los Angeles Dodgers,California League
401,Inland Empire 66ers,13,High-A,2019,Los Angeles Angels,California League
279,Palm Beach Cardinals,13,High-A,2019,St. Louis Cardinals,Florida State League
476,San Jose Giants,13,High-A,2019,San Francisco Giants,California League
414,Salem Red Sox,13,High-A,2019,Boston Red Sox,Carolina League
479,Jupiter Hammerheads,13,High-A,2019,Miami Marlins,Florida State League
481,Lynchburg Hillcats,13,High-A,2019,Cleveland Indians,Carolina League
485,Down East Wood Ducks,13,High-A,2019,Texas Rangers,Carolina League
103,Lake Elsinore Storm,13,High-A,2019,San Diego Padres,California League
424,Dunedin Blue Jays,13,High-A,2019,Toronto Blue Jays,Florida State League
2730,Charlotte Stone Crabs,13,High-A,2019,Tampa Bay Rays,Florida State League
426,Wilmington Blue Rocks,13,High-A,2019,Kansas City Royals,Carolina League
491,Lancaster JetHawks,13,High-A,2019,Colorado Rockies,California League
493,Frederick Keys,13,High-A,2019,Baltimore Orioles,Carolina League
436,Potomac Nationals,13,High-A,2019,Washington Nationals,Carolina League
566,Clearwater Threshers,13,High-A,2019,Philadelphia Phillies,Florida State League
503,Florida Fire Frogs,13,High-A,2019,Atlanta Braves,Florida State League
249,Carolina Mudcats,13,High-A,2019,Milwaukee Brewers,Carolina League
570,Lakeland Flying Tigers,13,High-A,2019,Detroit Tigers,Florida State League
507,St. Lucie Mets,13,High-A,2019,New York Mets,Florida State League
