pitcher_id,tempo22_w,pitches22,baseline_group
547973,24.38,118.0,T3
548384,18.325,140.0,T2
548389,17.136,258.0,T1
554340,20.446,181.0,T3
554430,16.643,329.0,T1
554431,21.553,137.0,T3
570257,18.442,156.0,T2
570488,18.48,75.0,T2
570632,16.557,280.0,T1
570663,22.09,76.0,T3
570666,18.884,189.0,T2
571479,24.586,198.0,T3
571578,16.043,457.0,T1
571656,20.099,168.0,T3
571670,19.697,148.0,T3
571710,17.249,220.0,T2
571760,15.303,160.0,T1
571800,17.643,290.0,T2
571882,14.426,72.0,T1
571901,18.617,195.0,T2
571927,14.39,120.0,T1
571945,14.902,428.0,T1
571948,15.528,273.0,T1
572070,18.357,96.0,T2
572193,21.905,135.0,T3
572403,18.365,88.0,T2
572955,21.738,55.0,T3
572971,17.131,243.0,T1
573009,18.811,156.0,T2
573124,22.27,212.0,T3
573186,16.52,322.0,T1
573204,20.632,169.0,T3
579328,19.896,329.0,T3
592094,22.096,123.0,T3
592332,20.331,350.0,T3
592346,15.021,69.0,T1
592351,18.548,289.0,T2
592390,21.825,109.0,T3
592473,19.898,69.0,T3
592662,18.49,378.0,T2
592716,18.08,241.0,T2
592717,17.81,149.0,T2
592741,19.59,78.0,T3
592761,18.152,225.0,T2
592767,15.477,234.0,T1
592773,22.514,172.0,T3
592789,19.173,315.0,T2
592791,17.123,419.0,T1
592804,15.202,101.0,T1
592826,20.185,214.0,T3
592836,15.073,332.0,T1
592858,18.249,232.0,T2
592866,17.173,204.0,T2
593334,16.007,156.0,T1
593423,18.652,328.0,T2
593576,19.348,162.0,T2
593619,20.573,79.0,T3
593958,15.436,250.0,T1
593974,16.651,116.0,T1
594311,15.876,111.0,T1
594577,17.417,123.0,T2
594580,21.935,175.0,T3
594798,17.073,59.0,T1
594835,15.235,439.0,T1
595345,18.405,202.0,T2
595881,20.657,230.0,T3
596001,14.61,284.0,T1
596057,18.557,179.0,T2
596071,21.271,107.0,T3
596082,18.765,82.0,T2
596112,20.987,142.0,T3
596133,18.253,144.0,T2
596295,15.109,305.0,T1
598264,22.813,121.0,T3
598287,23.1,145.0,T3
600917,19.712,164.0,T3
600921,19.574,199.0,T2
601713,17.008,513.0,T1
605130,20.846,213.0,T3
605135,17.943,488.0,T2
605151,18.253,56.0,T2
605154,14.175,230.0,T1
605164,15.853,278.0,T1
605177,19.662,148.0,T3
605182,19.012,252.0,T2
605194,16.746,129.0,T1
605195,17.635,74.0,T2
605200,16.15,357.0,T1
605218,19.196,210.0,T2
605242,16.658,210.0,T1
605280,21.818,183.0,T3
605288,15.754,340.0,T1
605347,20.608,219.0,T3
605397,16.906,432.0,T1
605400,20.119,378.0,T3
605447,20.521,180.0,T3
605463,15.416,72.0,T1
605483,19.018,326.0,T2
605488,19.623,319.0,T3
605507,19.819,329.0,T3
605521,20.016,127.0,T3
605525,21.228,89.0,T3
605538,20.342,129.0,T3
605540,19.756,337.0,T3
606131,13.07,50.0,T1
606149,25.811,143.0,T3
606160,19.997,182.0,T3
606303,18.353,176.0,T2
606424,19.766,168.0,T3
606625,19.392,115.0,T2
606930,21.47,60.0,T3
607074,18.922,393.0,T2
607179,19.875,100.0,T3
607200,17.294,494.0,T2
607216,19.93,167.0,T3
607237,16.864,197.0,T1
607259,17.727,286.0,T2
607455,18.862,126.0,T2
607481,22.853,150.0,T3
607536,17.201,458.0,T2
607625,16.988,196.0,T1
608032,17.559,169.0,T2
608328,20.88,229.0,T3
608331,18.031,404.0,T2
608337,20.683,436.0,T3
608344,14.068,402.0,T1
608349,19.056,164.0,T2
608379,15.658,265.0,T1
608566,14.622,393.0,T1
608638,25.678,58.0,T3
608648,16.946,122.0,T1
608652,18.865,63.0,T2
608665,19.722,201.0,T3
608678,24.791,104.0,T3
608717,20.353,219.0,T3
608718,12.626,179.0,T1
