tercile,n_2022,n_2023,n_2024,retention_2023_pct,retention_2024_pct
T1,198.0,147.0,109.0,74.24242424242425,55.05050505050505
T2,198.0,129.0,103.0,65.15151515151516,52.02020202020202
T3,198.0,142.0,114.0,71.71717171717172,57.57575757575758
chi2_test,,,,0.5381503887550976,0.7564331597169194
