tercile,n,mean_pitches_2022,mean_pitches_2023,mean_delta,median_delta
T1,166.0,231.59638554216866,209.34337349397592,-22.253012048192772,-8.5
T2,157.0,196.84076433121018,185.36305732484075,-11.477707006369426,-8.0
T3,164.0,171.82926829268294,159.7621951219512,-12.067073170731707,-6.5
anova_p,,,,0.65488745874027,
