season,sport_id,team_id,team_name,team_abbrev,league_name,division_name,venue_id,venue_name,parent_org_id,parent_org_name
2021,14,3712,Fayetteville Woodpeckers,FAY,Low-A East,Low-A East - Central Division,5400,SEGRA Stadium,,
2021,14,450,Daytona Tortugas,DBT,Low-A Southeast,Low-A Southeast - East Division,2787,Jackie Robinson Ballpark,,
2021,14,515,Modesto Nuts,MOD,Low-A West,Low-A West - North Division,2791,John Thurman Field,,
2021,14,259,Fresno Grizzlies,FRE,Low-A West,Low-A West - North Division,2640,Chukchansi Park,,
2021,14,516,Visalia Rawhide,VIS,Low-A West,Low-A West - South Division,2835,Valley Strong Ballpark,,
2021,14,521,Myrtle Beach Pelicans,MB,Low-A East,Low-A East - South Division,2747,TicketReturn.com Field,,
2021,14,587,Tampa Tarpons,TAM,Low-A Southeast,Low-A Southeast - West Division,2523,George M. Steinbrenner Field,,
2021,14,524,Stockton Ports,STK,Low-A West,Low-A West - North Division,2731,Banner Island Ballpark,,
2021,14,526,Rancho Cucamonga Quakes,RC,Low-A West,Low-A West - South Division,2854,LoanMart Field,,
2021,14,401,Inland Empire 66ers,IE,Low-A West,Low-A West - South Division,2728,San Manuel Stadium,,
2021,14,279,Palm Beach Cardinals,PMB,Low-A Southeast,Low-A Southeast - East Division,2520,Roger Dean Chevrolet Stadium,,
2021,14,476,San Jose Giants,SJ,Low-A West,Low-A West - North Division,2815,Excite Ballpark,,
2021,14,478,Augusta GreenJackets,AUG,Low-A East,Low-A East - South Division,5345,SRP Park,,
2021,14,414,Salem Red Sox,SAL,Low-A East,Low-A East - North Division,2840,Haley Toyota Field,,
2021,14,479,Jupiter Hammerheads,JUP,Low-A Southeast,Low-A Southeast - East Division,2520,Roger Dean Chevrolet Stadium,,
2021,14,481,Lynchburg Hillcats,LYN,Low-A East,Low-A East - North Division,2803,Bank of the James Stadium,,
2021,14,548,Delmarva Shorebirds,DEL,Low-A East,Low-A East - North Division,2729,Arthur W. Perdue Stadium,,
2021,14,485,Down East Wood Ducks,DE,Low-A East,Low-A East - Central Division,2777,Grainger Stadium,,
2021,14,487,Kannapolis Cannon Ballers,KAN,Low-A East,Low-A East - Central Division,2764,Atrium Health Ballpark,,
2021,14,103,Lake Elsinore Storm,LE,Low-A West,Low-A West - South Division,2516,The Diamond,,
2021,14,424,Dunedin Blue Jays,DUN,Low-A Southeast,Low-A Southeast - West Division,2536,TD Ballpark,,
2021,14,233,Charleston RiverDogs,CHS,Low-A East,Low-A East - South Division,2540,"Joseph P. Riley, Jr. Ballpark",,
2021,14,436,Fredericksburg Nationals,FBG,Low-A East,Low-A East - North Division,5520,FredNats Ballpark,,
2021,14,566,Clearwater Threshers,CLR,Low-A Southeast,Low-A Southeast - West Division,2700,BayCare Ballpark,,
2021,14,3705,Columbia Fireflies,COL,Low-A East,Low-A East - South Division,4980,Segra Park,,
2021,14,249,Carolina Mudcats,CAR,Low-A East,Low-A East - Central Division,2625,Five County Stadium,,
2021,14,570,Lakeland Flying Tigers,LAK,Low-A Southeast,Low-A Southeast - West Division,2511,Publix Field at Joker Marchant Stadium,,
2021,14,507,St. Lucie Mets,SLU,Low-A Southeast,Low-A Southeast - East Division,2856,Clover Park,,
2021,14,509,Fort Myers Mighty Mussels,FTM,Low-A Southeast,Low-A Southeast - West Division,2862,Hammond Stadium,,
2021,14,3390,Bradenton Marauders,BRD,Low-A Southeast,Low-A Southeast - West Division,2526,LECOM Park,,
