season,sport_id,team_id,team_name,team_abbrev,league_name,division_name,venue_id,venue_name,parent_org_id,parent_org_name
2021,12,452,Altoona Curve,ALT,Double-A Northeast,Double-A Northeast - Southwest Division,2733,Peoples Natural Gas Field,,
2021,12,260,Tulsa Drillers,TUL,Double-A Central,Double-A Central - North Division,4149,ONEOK Field,,
2021,12,1350,Northwest Arkansas Naturals,NWA,Double-A Central,Double-A Central - North Division,3329,Arvest Ballpark,,
2021,12,522,Reading Fightin Phils,REA,Double-A Northeast,Double-A Northeast - Northeast Division,2769,FirstEnergy Stadium,,
2021,12,463,New Hampshire Fisher Cats,NH,Double-A Northeast,Double-A Northeast - Northeast Division,2868,Delta Dental Stadium,,
2021,12,3410,Richmond Flying Squirrels,RIC,Double-A Northeast,Double-A Northeast - Southwest Division,2853,The Diamond,,
2021,12,402,Akron RubberDucks,AKR,Double-A Northeast,Double-A Northeast - Southwest Division,2740,Canal Park,,
2021,12,5015,Biloxi Shuckers,BLX,Double-A South,Double-A South - South Division,4960,MGM Park,,
2021,12,538,Hartford Yard Goats,HFD,Double-A Northeast,Double-A Northeast - Northeast Division,4985,Dunkin' Donuts Park,,
2021,12,4124,Pensacola Blue Wahoos,PNS,Double-A South,Double-A South - South Division,4329,Blue Wahoos Stadium,,
2021,12,540,Frisco RoughRiders,FRI,Double-A Central,Double-A Central - South Division,2755,Riders Field,,
2021,12,546,Portland Sea Dogs,POR,Double-A Northeast,Double-A Northeast - Northeast Division,2779,Hadlock Field,,
2021,12,482,Corpus Christi Hooks,CC,Double-A Central,Double-A Central - South Division,2861,Whataburger Field,,
2021,12,418,Bowie Baysox,BOW,Double-A Northeast,Double-A Northeast - Southwest Division,2832,Prince George's Stadium,,
2021,12,547,Harrisburg Senators,HBG,Double-A Northeast,Double-A Northeast - Southwest Division,2749,FNB Field,,
2021,12,1956,Somerset Patriots,SOM,Double-A Northeast,Double-A Northeast - Northeast Division,5418,TD Bank Ballpark,,
2021,12,421,Montgomery Biscuits,MTG,Double-A South,Double-A South - South Division,2814,Montgomery Riverwalk Stadium,,
2021,12,553,Tennessee Smokies,TNS,Double-A South,Double-A South - North Division,2848,Smokies Stadium,,
2021,12,106,Erie SeaWolves,ERI,Double-A Northeast,Double-A Northeast - Southwest Division,2512,UPMC Park,,
2021,12,237,Midland RockHounds,MID,Double-A Central,Double-A Central - South Division,2768,Momentum Bank Ballpark,,
2021,12,430,Mississippi Braves,MIS,Double-A South,Double-A South - South Division,2813,Trustmark Park,,
2021,12,559,Rocket City Trash Pandas,RCT,Double-A South,Double-A South - North Division,5455,Toyota Field,,
2021,12,498,Chattanooga Lookouts,CHA,Double-A South,Double-A South - North Division,2682,AT&T Field,,
2021,12,247,Birmingham Barons,BIR,Double-A South,Double-A South - North Division,4529,Regions Field,,
2021,12,5368,Amarillo Sod Poodles,AMA,Double-A Central,Double-A Central - South Division,5415,Hodgetown,,
2021,12,440,Springfield Cardinals,SPR,Double-A Central,Double-A Central - North Division,2722,Hammons Field,,
2021,12,505,Binghamton Rumble Ponies,BNG,Double-A Northeast,Double-A Northeast - Northeast Division,2820,Mirabito Stadium,,
2021,12,3898,Wichita Wind Surge,WCH,Double-A Central,Double-A Central - North Division,5450,Riverfront Stadium,,
2021,12,574,Arkansas Travelers,ARK,Double-A Central,Double-A Central - North Division,3389,Dickey-Stephens Park,,
2021,12,510,San Antonio Missions,SA,Double-A Central,Double-A Central - South Division,2818,Nelson Wolff Stadium,,
