game_pk,game_date,game_year,inning,inning_topbot,at_bat_number,pitch_number,balls,strikes,outs_when_up,home_team,away_team,batter,pitcher,on_1b,on_2b,on_3b,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,type,events,description,des,home_score,away_score,bat_score,fld_score,delta_run_exp,delta_home_win_exp,game_type,pitch_name,release_speed,stand,p_throws
570335,2018-10-01,2018,9,Top,71,4,0,2,2,LAD,COL,467827,445276,,,,518735,641355,571771,457759,592518,S,strikeout,swinging_strike,Gerardo Parra strikes out swinging.,5,2,2,5,-0.153,0.004,R,Cutter,92.2,L,R
570335,2018-10-01,2018,9,Top,71,3,0,2,2,LAD,COL,467827,445276,,,,518735,641355,571771,457759,592518,S,,foul,Foul,5,2,2,5,0.0,0.0,R,Cutter,93.0,L,R
570335,2018-10-01,2018,9,Top,71,2,0,1,2,LAD,COL,467827,445276,,,,518735,641355,571771,457759,592518,S,,called_strike,Called Strike,5,2,2,5,-0.065,0.0,R,Cutter,91.6,L,R
570335,2018-10-01,2018,9,Top,71,1,0,0,2,LAD,COL,467827,445276,,,,518735,641355,571771,457759,592518,S,,called_strike,Called Strike,5,2,2,5,-0.041,0.0,R,Sinker,93.1,L,R
570335,2018-10-01,2018,9,Top,70,6,2,2,1,LAD,COL,435622,445276,,,,518735,641355,571771,457759,592518,S,strikeout,called_strike,Ian Desmond called out on strikes.,5,2,2,5,-0.234,0.009,R,Cutter,91.4,R,R
570335,2018-10-01,2018,9,Top,70,5,2,2,1,LAD,COL,435622,445276,,,,518735,641355,571771,457759,592518,S,,foul,Foul,5,2,2,5,0.0,0.0,R,Cutter,92.3,R,R
570335,2018-10-01,2018,9,Top,70,4,1,2,1,LAD,COL,435622,445276,,,,518735,641355,571771,457759,592518,B,,ball,Ball,5,2,2,5,0.048,0.0,R,Cutter,92.7,R,R
570335,2018-10-01,2018,9,Top,70,3,0,2,1,LAD,COL,435622,445276,,,,518735,641355,571771,457759,592518,B,,ball,Ball,5,2,2,5,0.022,0.0,R,Cutter,93.3,R,R
570335,2018-10-01,2018,9,Top,70,2,0,1,1,LAD,COL,435622,445276,,,,518735,641355,571771,457759,592518,S,,called_strike,Called Strike,5,2,2,5,-0.058,0.0,R,Cutter,92.3,R,R
570335,2018-10-01,2018,9,Top,70,1,0,0,1,LAD,COL,435622,445276,,,,518735,641355,571771,457759,592518,S,,called_strike,Called Strike,5,2,2,5,-0.042,0.0,R,Cutter,92.6,R,R
570335,2018-10-01,2018,9,Top,69,1,0,0,0,LAD,COL,471865,445276,,,,518735,641355,571771,457759,592518,X,field_out,hit_into_play,Carlos Gonzalez grounds out to first baseman Cody Bellinger.,5,2,2,5,-0.258,0.018,R,Cutter,92.1,L,R
570335,2018-10-01,2018,9,Top,68,9,3,2,0,LAD,COL,596115,445276,,,,518735,641355,571771,457759,592518,X,home_run,hit_into_play,Trevor Story homers (37) on a fly ball to right center field.,5,1,1,5,1.034,-0.018,R,Cutter,91.6,R,R
570335,2018-10-01,2018,9,Top,68,8,2,2,0,LAD,COL,596115,445276,,,,518735,641355,571771,457759,592518,B,,ball,Ball,5,1,1,5,0.104,0.0,R,Cutter,94.1,R,R
570335,2018-10-01,2018,9,Top,68,7,2,2,0,LAD,COL,596115,445276,,,,518735,641355,571771,457759,592518,S,,foul,Foul,5,1,1,5,0.0,0.0,R,Cutter,91.3,R,R
570335,2018-10-01,2018,9,Top,68,6,2,2,0,LAD,COL,596115,445276,,,,518735,641355,571771,457759,592518,S,,foul,Foul,5,1,1,5,0.0,0.0,R,Sinker,92.7,R,R
570335,2018-10-01,2018,9,Top,68,5,1,2,0,LAD,COL,596115,445276,,,,518735,641355,571771,457759,592518,B,,ball,Ball,5,1,1,5,0.048,0.0,R,Cutter,92.1,R,R
570335,2018-10-01,2018,9,Top,68,4,1,2,0,LAD,COL,596115,445276,,,,518735,641355,571771,457759,592518,S,,foul,Foul,5,1,1,5,0.0,0.0,R,Cutter,91.8,R,R
570335,2018-10-01,2018,9,Top,68,3,0,2,0,LAD,COL,596115,445276,,,,518735,641355,571771,457759,592518,B,,ball,Ball,5,1,1,5,0.025,0.0,R,Slider,82.0,R,R
570335,2018-10-01,2018,9,Top,68,2,0,1,0,LAD,COL,596115,445276,,,,518735,641355,571771,457759,592518,S,,foul,Foul,5,1,1,5,-0.057,0.0,R,Sinker,94.1,R,R
570335,2018-10-01,2018,9,Top,68,1,0,0,0,LAD,COL,596115,445276,,,,518735,641355,571771,457759,592518,S,,foul,Foul,5,1,1,5,-0.04,0.0,R,Cutter,91.6,R,R
570335,2018-10-01,2018,9,Top,67,1,0,0,0,LAD,COL,571448,445276,,,,518735,641355,571771,457759,592518,X,home_run,hit_into_play,Nolan Arenado homers (38) on a fly ball to left field.,5,0,0,5,1.114,-0.008,R,Cutter,92.4,R,R
570335,2018-10-01,2018,8,Bot,66,1,0,0,2,LAD,COL,571771,597113,,,,455104,435622,518934,571448,596115,X,field_out,hit_into_play,"Enrique Hernandez grounds out, third baseman Nolan Arenado to first baseman Ian Desmond.",5,0,5,0,-0.259,0.0,R,Curveball,81.9,R,R
570335,2018-10-01,2018,8,Bot,65,2,0,1,1,LAD,COL,624577,459429,,,,455104,435622,518934,571448,596115,X,field_out,hit_into_play,"Yasiel Puig grounds out, third baseman Nolan Arenado to first baseman Ian Desmond.",5,0,5,0,-0.222,0.0,R,4-Seam Fastball,94.0,R,L
570335,2018-10-01,2018,8,Bot,65,1,0,0,1,LAD,COL,624577,459429,,,,455104,435622,518934,571448,596115,S,,called_strike,Called Strike,5,0,5,0,-0.042,0.0,R,4-Seam Fastball,95.0,R,L
570335,2018-10-01,2018,8,Bot,64,6,3,2,0,LAD,COL,641355,459429,,,,455104,435622,518934,571448,596115,X,field_out,hit_into_play,Cody Bellinger grounds out to first baseman Ian Desmond.,5,0,5,0,-0.338,-0.001,R,4-Seam Fastball,94.8,L,L
570335,2018-10-01,2018,8,Bot,64,5,2,2,0,LAD,COL,641355,459429,,,,455104,435622,518934,571448,596115,B,,ball,Ball,5,0,5,0,0.104,0.0,R,Slider,82.6,L,L
570335,2018-10-01,2018,8,Bot,64,4,1,2,0,LAD,COL,641355,459429,,,,455104,435622,518934,571448,596115,B,,ball,Ball,5,0,5,0,0.048,0.0,R,4-Seam Fastball,95.4,L,L
570335,2018-10-01,2018,8,Bot,64,3,0,2,0,LAD,COL,641355,459429,,,,455104,435622,518934,571448,596115,B,,ball,Ball,5,0,5,0,0.025,0.0,R,4-Seam Fastball,94.0,L,L
570335,2018-10-01,2018,8,Bot,64,2,0,1,0,LAD,COL,641355,459429,,,,455104,435622,518934,571448,596115,S,,called_strike,Called Strike,5,0,5,0,-0.057,0.0,R,4-Seam Fastball,95.2,L,L
570335,2018-10-01,2018,8,Bot,64,1,0,0,0,LAD,COL,641355,459429,,,,455104,435622,518934,571448,596115,S,,foul,Foul,5,0,5,0,-0.04,0.0,R,4-Seam Fastball,95.0,L,L
570335,2018-10-01,2018,8,Top,63,6,2,2,2,LAD,COL,621311,628317,,453568,,518735,571970,571771,457759,592518,S,strikeout,swinging_strike,David Dahl strikes out swinging.,5,0,0,5,-0.234,0.005,R,4-Seam Fastball,92.8,L,R
570335,2018-10-01,2018,8,Top,63,5,2,2,2,LAD,COL,621311,628317,,453568,,518735,571970,571771,457759,592518,S,,foul,Foul,5,0,0,5,0.0,0.0,R,Split-Finger,86.3,L,R
570335,2018-10-01,2018,8,Top,63,4,1,2,2,LAD,COL,621311,628317,,453568,,518735,571970,571771,457759,592518,B,,blocked_ball,Ball In Dirt,5,0,0,5,0.034,0.0,R,Split-Finger,86.5,L,R
570335,2018-10-01,2018,8,Top,63,3,1,1,2,LAD,COL,621311,628317,,453568,,518735,571970,571771,457759,592518,S,,foul,Foul,5,0,0,5,-0.072,0.0,R,4-Seam Fastball,93.0,L,R
570335,2018-10-01,2018,8,Top,63,2,0,1,2,LAD,COL,621311,628317,,453568,,518735,571970,571771,457759,592518,B,,ball,Ball,5,0,0,5,0.029,0.0,R,Split-Finger,85.9,L,R
570335,2018-10-01,2018,8,Top,63,1,0,0,2,LAD,COL,621311,628317,,453568,,518735,571970,571771,457759,592518,S,,swinging_strike,Swinging Strike,5,0,0,5,-0.041,0.0,R,4-Seam Fastball,92.4,L,R
570335,2018-10-01,2018,8,Top,62,5,1,2,1,LAD,COL,518934,628317,453568,,,518735,571970,571771,457759,592518,X,field_out,hit_into_play,"Rockies challenged (play at 1st), call on the field was upheld: DJ LeMahieu grounds out softly, third baseman Justin Turner to first baseman Max Muncy.   Charlie Blackmon to 2nd.",5,0,0,5,-0.247,0.006,R,Slider,85.9,R,R
570335,2018-10-01,2018,8,Top,62,4,0,2,1,LAD,COL,518934,628317,453568,,,518735,571970,571771,457759,592518,B,,ball,Ball,5,0,0,5,0.015,0.0,R,Slider,85.0,R,R
570335,2018-10-01,2018,8,Top,62,3,0,2,1,LAD,COL,518934,628317,453568,,,518735,571970,571771,457759,592518,S,,foul,Foul,5,0,0,5,0.0,0.0,R,4-Seam Fastball,92.9,R,R
570335,2018-10-01,2018,8,Top,62,2,0,1,1,LAD,COL,518934,628317,453568,,,518735,571970,571771,457759,592518,S,,foul,Foul,5,0,0,5,-0.055,0.0,R,Slider,83.9,R,R
570335,2018-10-01,2018,8,Top,62,1,0,0,1,LAD,COL,518934,628317,453568,,,518735,571970,571771,457759,592518,S,,called_strike,Called Strike,5,0,0,5,-0.04,0.0,R,4-Seam Fastball,92.2,R,R
570335,2018-10-01,2018,8,Top,61,6,3,2,1,LAD,COL,453568,518397,,,,518735,571970,571771,457759,592518,X,single,hit_into_play,Charlie Blackmon singles on a ground ball to left fielder Joc Pederson.,5,0,0,5,0.334,-0.006,R,Sinker,93.1,L,L
570335,2018-10-01,2018,8,Top,61,5,2,2,1,LAD,COL,453568,518397,,,,518735,571970,571771,457759,592518,B,,ball,Ball,5,0,0,5,0.102,0.0,R,Sinker,93.5,L,L
570335,2018-10-01,2018,8,Top,61,4,2,1,1,LAD,COL,453568,518397,,,,518735,571970,571771,457759,592518,S,,foul,Foul,5,0,0,5,-0.078,0.0,R,Sinker,93.4,L,L
570335,2018-10-01,2018,8,Top,61,3,1,1,1,LAD,COL,453568,518397,,,,518735,571970,571771,457759,592518,B,,ball,Ball,5,0,0,5,0.059,0.0,R,Sinker,93.6,L,L
570335,2018-10-01,2018,8,Top,61,2,0,1,1,LAD,COL,453568,518397,,,,518735,571970,571771,457759,592518,B,,ball,Ball,5,0,0,5,0.031,0.0,R,Slider,82.9,L,L
570335,2018-10-01,2018,8,Top,61,1,0,0,1,LAD,COL,453568,518397,,,,518735,571970,571771,457759,592518,S,,called_strike,Called Strike,5,0,0,5,-0.042,0.0,R,Sinker,93.6,L,L
