column,dtype,description
pitch_type,object,"Pitch type code (FF=4-seam FB, SI=Sinker, FC=Cutter, SL=Slider, CU=Curve, CH=Change, FS=Splitter)"
game_date,datetime64[ns],Date of game (YYYY-MM-DD)
release_speed,Float64,Pitch velocity at release (mph)
release_pos_x,Float64,"Horizontal release point (ft, catcher perspective)"
release_pos_z,Float64,Vertical release point (ft)
player_name,object,Batter name
batter,Int64,Batter MLB ID
pitcher,Int64,Pitcher MLB ID
events,object,"Play outcome (single, double, strikeout, etc.)"
description,object,"Pitch result (called_strike, ball, foul, hit_into_play, etc.)"
spin_dir,Int64,DEPRECATED - Use spin_axis
spin_rate_deprecated,Int64,DEPRECATED - Use release_spin_rate
break_angle_deprecated,Int64,DEPRECATED
break_length_deprecated,Int64,DEPRECATED
zone,Int64,"Strike zone location (1-9 in zone, 11-14 outside)"
des,object,Text description of play
game_type,object,"Game type (R=Regular, P=Playoffs, S=Spring)"
stand,object,Batter stance (R/L)
p_throws,object,Pitcher throwing hand (R/L)
home_team,object,Home team abbreviation
away_team,object,Away team abbreviation
type,object,"Pitch result type (S=Strike, B=Ball, X=In Play)"
hit_location,Int64,Fielding position where ball was hit (1-9)
bb_type,object,"Batted ball type (ground_ball, line_drive, fly_ball, popup)"
balls,Int64,Balls in count
strikes,Int64,Strikes in count
game_year,Int64,Season year
pfx_x,Float64,"Horizontal movement (in, from pitcher perspective)"
pfx_z,Float64,"Vertical movement (in, vs gravity)"
plate_x,Float64,"Horizontal location at plate (ft, catcher view)"
plate_z,Float64,Vertical location at plate (ft)
on_3b,Int64,Runner on 3B (MLB ID or NaN)
on_2b,Int64,Runner on 2B (MLB ID or NaN)
on_1b,Int64,Runner on 1B (MLB ID or NaN)
outs_when_up,Int64,Outs when batter came up
inning,Int64,Inning number
inning_topbot,object,Top or Bot of inning
hc_x,Float64,"Hit coordinate X (pixel, 2.5ft/pixel)"
hc_y,Float64,"Hit coordinate Y (pixel, 2.5ft/pixel)"
tfs_deprecated,Int64,DEPRECATED
tfs_zulu_deprecated,Int64,DEPRECATED
umpire,Int64,Home plate umpire (MLB ID)
sv_id,Int64,DEPRECATED pitch tracking ID
vx0,Float64,Velocity X at y=50ft (ft/s)
vy0,Float64,Velocity Y at y=50ft (ft/s)
vz0,Float64,Velocity Z at y=50ft (ft/s)
ax,Float64,Acceleration X (ft/s²)
ay,Float64,Acceleration Y (ft/s²)
az,Float64,Acceleration Z (ft/s²)
sz_top,Float64,Top of strike zone (ft)
sz_bot,Float64,Bottom of strike zone (ft)
hit_distance_sc,Int64,"Projected hit distance (ft, Statcast)"
launch_speed,Float64,Exit velocity (mph)
launch_angle,Int64,Launch angle (degrees)
effective_speed,Float64,Perceived velocity accounting for extension (mph)
release_spin_rate,Int64,Spin rate at release (rpm)
release_extension,Float64,Distance from rubber to release point (ft)
game_pk,Int64,Unique game ID
fielder_2,Int64,Catcher fielding play (MLB ID)
fielder_3,Int64,First baseman (MLB ID)
fielder_4,Int64,Second baseman (MLB ID)
fielder_5,Int64,Third baseman (MLB ID)
fielder_6,Int64,Shortstop (MLB ID)
fielder_7,Int64,Left fielder (MLB ID)
fielder_8,Int64,Center fielder (MLB ID)
fielder_9,Int64,Right fielder (MLB ID)
release_pos_y,Float64,Distance from home plate at release (ft)
estimated_ba_using_speedangle,Float64,xBA (expected batting average)
estimated_woba_using_speedangle,Float64,xwOBA (expected weighted on-base average)
woba_value,Float64,wOBA value of play outcome
woba_denom,Int64,wOBA denominator (plate appearances)
babip_value,Int64,"BABIP value (1 if hit, 0 if out on ball in play)"
iso_value,Int64,ISO value (extra bases on hit)
launch_speed_angle,Int64,"Launch speed/angle bucket (1-6, 6=Barrel)"
at_bat_number,Int64,At-bat number in game
pitch_number,Int64,Pitch number in at-bat
pitch_name,object,No description available
home_score,Int64,No description available
away_score,Int64,No description available
bat_score,Int64,Batting team score at pitch
fld_score,Int64,Fielding team score at pitch
post_away_score,Int64,Away score after play
post_home_score,Int64,Home score after play
post_bat_score,Int64,Batting team score after play
post_fld_score,Int64,Fielding team score after play
if_fielding_alignment,object,"Infield alignment (Standard, Strategic)"
of_fielding_alignment,object,"Outfield alignment (Standard, Strategic)"
spin_axis,Int64,"Spin axis (degrees, 0°=12 o'clock from catcher view)"
delta_home_win_exp,Float64,Change in home win probability
delta_run_exp,Float64,Change in run expectancy
bat_speed,Float64,No description available
swing_length,Float64,No description available
estimated_slg_using_speedangle,Float64,No description available
delta_pitcher_run_exp,Float64,No description available
hyper_speed,Float64,No description available
home_score_diff,Int64,No description available
bat_score_diff,Int64,No description available
home_win_exp,Float64,No description available
bat_win_exp,Float64,No description available
age_pit_legacy,Int64,No description available
age_bat_legacy,Int64,No description available
age_pit,Int64,No description available
age_bat,Int64,No description available
n_thruorder_pitcher,Int64,No description available
n_priorpa_thisgame_player_at_bat,Int64,No description available
pitcher_days_since_prev_game,Int64,No description available
batter_days_since_prev_game,Int64,No description available
pitcher_days_until_next_game,Int64,No description available
batter_days_until_next_game,Int64,No description available
api_break_z_with_gravity,Float64,No description available
api_break_x_arm,Float64,No description available
api_break_x_batter_in,Float64,No description available
arm_angle,Float64,No description available
attack_angle,Float64,No description available
attack_direction,Float64,No description available
swing_path_tilt,Float64,No description available
intercept_ball_minus_batter_pos_x_inches,Float64,No description available
intercept_ball_minus_batter_pos_y_inches,Float64,No description available
