gamePk,season,level_name,play_idx,pitcher_id,pitcher_name,batter_id,balls,strikes,outs,runner_state,opp_1b_2b,opp_2b_3b
572067,2019,AA,5,665759,Ramón Rosso,642220,3,2,2,1__,1,0
572067,2019,AA,10,606996,Kyle Hart,663897,3,3,2,1__,1,0
572067,2019,AA,18,606996,Kyle Hart,666160,0,0,2,1__,1,0
572067,2019,AA,25,606996,Kyle Hart,663897,0,1,1,1__,1,0
572067,2019,AA,28,606996,Kyle Hart,640488,1,0,3,1__,1,0
572067,2019,AA,31,665759,Ramón Rosso,676071,0,0,1,1__,1,0
572067,2019,AA,36,606996,Kyle Hart,676730,1,1,2,_2_,0,1
572067,2019,AA,43,606996,Kyle Hart,660614,0,2,1,1_3,1,0
572067,2019,AA,45,606996,Kyle Hart,640488,0,0,2,1__,1,0
572067,2019,AA,56,663398,Luke Leftwich,657035,2,2,3,1__,1,0
572067,2019,AA,66,656936,Zach Schellenger,656514,4,1,2,1__,1,0
572067,2019,AA,67,656936,Zach Schellenger,666160,4,0,2,1__,1,0
574419,2019,AA,1,622088,Tejay Antone,666139,4,2,0,1__,1,0
574419,2019,AA,2,622088,Tejay Antone,665138,1,1,0,12_,0,1
574419,2019,AA,3,622088,Tejay Antone,660821,0,0,2,1__,1,0
574419,2019,AA,8,676637,Phoenix Sanders,666211,4,1,1,1__,1,0
574419,2019,AA,9,676637,Phoenix Sanders,642462,1,1,2,_2_,0,1
574419,2019,AA,20,622088,Tejay Antone,665138,1,0,2,1__,1,0
574419,2019,AA,24,642007,Arturo Reyes,642350,1,3,1,1__,1,0
574419,2019,AA,33,642007,Arturo Reyes,664009,1,1,1,1__,1,0
574419,2019,AA,35,642007,Arturo Reyes,670770,1,0,2,1__,1,0
574419,2019,AA,41,642007,Arturo Reyes,642462,0,2,0,1__,1,0
574419,2019,AA,48,622088,Tejay Antone,656713,0,2,2,1__,1,0
574419,2019,AA,49,641388,Ty Boyles,670156,1,1,2,_2_,0,1
574419,2019,AA,51,641388,Ty Boyles,641882,0,0,2,1__,1,0
574419,2019,AA,53,641388,Ty Boyles,666139,0,1,3,_2_,0,1
574419,2019,AA,55,641889,Dalton Moats,670895,0,0,0,1__,1,0
574419,2019,AA,57,641889,Dalton Moats,642350,2,2,3,12_,0,1
574419,2019,AA,59,593633,Victor Payano,665138,0,2,1,_2_,0,1
574419,2019,AA,68,641682,Ryan Hendrix,650907,1,0,2,1__,1,0
