year,tercile,binomial_coef,binomial_se,binomial_pval,binomial_or,binomial_pp,lpm_coef,lpm_se,lpm_pval,bin_ci_lower,bin_ci_upper,lpm_ci_lower,lpm_ci_upper
2018,T2,-0.31479008289520444,0.21588412021035558,0.14480092154403337,0.7299420855169235,-0.06061521608369468,-0.052001907885568424,0.030460051794165034,0.08798832397369627,-0.7379229585075013,0.10834279271709252,-0.11170360940213189,0.007699793630995044
2018,T1,-0.529980232060834,0.29672707528993836,0.4683217476697563,0.5886166053005943,-0.10205171011422451,-0.10847104452511688,0.0462566137260768,0.22236090614176396,-1.1115652996291132,0.05160483550744521,-0.1991340074282274,-0.017808081622006366
2018,T3,-0.23310651010594535,0.31513395363644403,0.7954788451781829,0.792069205656368,-0.044886425107908294,-0.03878825056304983,0.04458109600259256,0.7669686497957549,-0.8507690592333756,0.3845560390214849,-0.12616719872813126,0.048590697602031586
2019,T2,-0.45972746290396743,0.2143679979361955,0.03198713645851406,0.6314557171653352,-0.08852400700567699,-0.07433499830939552,0.030130720231228255,0.013732659486247023,-0.8798887388589105,-0.03956618694902431,-0.1333912099626029,-0.015278786656188141
2019,T1,-0.24028170765995988,0.29608810581462097,0.45860238207338344,0.7864062931827034,-0.04626806377383976,-0.04709127264270248,0.044443476187814836,0.539970945186468,-0.8206143950566169,0.34005097973669723,-0.13420048597081957,0.0400179406854146
2019,T3,0.057055573091530254,0.3011040914363102,0.08610831246879538,1.05871464480654,0.010986482991821178,0.008901337331573916,0.04111336648529189,0.043089452244712056,-0.5331084461236377,0.6472195923066981,-0.07168086097959818,0.08948353564274601
2021,T2,0.04115575886932413,0.22505530325325904,0.8549003865782162,1.0420143958901944,0.007924853267321657,0.007967066639275716,0.03058197113796888,0.7945021205293497,-0.3999526355070636,0.4822641532457118,-0.05197359679114329,0.06790773006969472
2021,T1,-0.014589351512707953,0.28870489960629664,0.8468909761750254,0.9855165574030318,-0.002809290198504035,-0.0033737425053954433,0.04211806080891565,0.7877647409413373,-0.5804509547410494,0.5512722517156335,-0.08592514169087012,0.07917765668007923
2021,T3,-0.10977526184914846,0.3095719965696571,0.6258704638277846,0.8960354860283126,-0.02113805859584679,-0.015229521530430537,0.041134276472558795,0.5728902775563647,-0.7165363751256764,0.4969858514273795,-0.09585270341664578,0.0653936603557847
2022,T2,0.0,0.0,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2022,T1,0.0,0.0,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2022,T3,0.0,0.0,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2023,T2,0.3142381447431177,0.19406529284548946,0.10539578987601578,1.3692157692619897,0.060508936209672376,0.04554135455251655,0.02375916495909509,0.05545391805898081,-0.06612982923404165,0.694606118720277,-0.001026608767309825,0.09210931787234293
2023,T1,0.22026664618453695,0.2598956897163977,0.7176704703785506,1.2464090364953144,0.04241401200352055,0.037029600061500245,0.034499508938186325,0.8051578200816392,-0.2891289056596026,0.7296621980286765,-0.03058943745734495,0.10464863758034544
2023,T3,0.2600298023158142,0.2715603003780764,0.8417792961891112,1.2969687387617617,0.05007070905985522,0.036202217841529445,0.03329167690698545,0.7791136070941498,-0.2722283864252155,0.7922879910568439,-0.029049468896162035,0.10145390457922093
2024,T2,0.16927365315589565,0.18608623078857978,0.3630062325657222,1.18444422147803,0.03259492474779393,0.028435342438863958,0.02459261128711805,0.24776041041056085,-0.19545535918972068,0.534002665501512,-0.01976617568388742,0.07663686056161534
2024,T1,0.2048829718115843,0.250383874147718,0.8869071050767872,1.2273814183341065,0.039451768918536995,0.035422992154766936,0.034820673780326106,0.8409796126180131,-0.28586942151794303,0.6956353651411116,-0.03282552845467224,0.10367151276420611
2024,T3,0.247286428989827,0.2688332148838409,0.7716707005194748,1.2805458457073047,0.047616875950865396,0.03449960552628478,0.034071546612598085,0.8587578449040256,-0.27962667218250115,0.7741995301621551,-0.03228062583440747,0.10127983688697703
