year,tercile,coef_ols,se_ols,pval_ols,coef_wls,se_wls,pval_wls,period,is_fake_treatment,is_real_treatment,ci_lower_ols,ci_upper_ols,ci_lower_wls,ci_upper_wls
2018,T2,-0.009281764187511587,0.007523065088164434,0.2174114103804632,-0.0009372205631163464,0.0013188165339855856,0.4773705569623321,pre,False,False,-0.024026971760313875,0.005463443385290702,-0.003522100969728094,0.0016476598434954012
2018,T1,-0.004152679625268015,0.008986253315703303,0.5682105212032913,-0.0004814187679657584,0.0019007420751161119,0.8105048228839999,pre,False,False,-0.02176573612404649,0.013460376873510461,-0.004206873235193338,0.003244035699261821
2018,T3,-0.00653213086739245,0.01074448400814398,0.7980420207497181,0.0011153255670358093,0.002428061713798766,0.39800585344920436,pre,False,False,-0.02759131952335465,0.01452705778856975,-0.0036436753920097726,0.005874326526081391
2019,T2,-0.009806756148755286,0.007501476680103578,0.19123635336091738,-0.0005442244296069061,0.0015880027242657479,0.7318475316969835,pre,False,False,-0.024509650441758297,0.004896138144247726,-0.003656709769167772,0.0025682609099539596
2019,T1,-0.005151337104362286,0.0086400222031412,0.5900623325451653,-0.0018340581840989416,0.0019686824948215807,0.5124190174593157,pre,False,False,-0.02208578062251904,0.011783106413794469,-0.00569267587394924,0.002024559505751356
2019,T3,-0.005444444789281769,0.01054538974874646,0.6791538565913895,0.0010487343537064122,0.0022512119141992943,0.4792640916188935,pre,False,False,-0.026113408696824828,0.015224519118261292,-0.003363640998124204,0.0054611097055370286
2020,T2,0.0,0.0,,0.0,0.0,,base,False,False,0.0,0.0,0.0,0.0
2020,T1,0.0,0.0,,0.0,0.0,,base,False,False,0.0,0.0,0.0,0.0
2020,T3,0.0,0.0,,0.0,0.0,,base,False,False,0.0,0.0,0.0,0.0
2021,T2,-0.010509569923281552,0.008919386307923704,0.23880368608364266,-3.264554279474404e-05,0.0012960663675569053,0.9799070272151031,fake_post,True,False,-0.02799156708681201,0.006972427240248907,-0.0025729356232062784,0.0025076445376167903
2021,T1,-0.004898972239125495,0.009923944534348509,0.5718835821479256,-0.0015258595527421921,0.00176999407021474,0.3989646800539366,fake_post,True,False,-0.02434990352644857,0.014551959048197581,-0.0049950479303630824,0.0019433288248786984
2021,T3,-0.006296784365963513,0.011680362517193645,0.7183769647203047,0.0009069948397945007,0.0021280005475422434,0.658848434212286,fake_post,True,False,-0.029190294899663058,0.016596726167736033,-0.0032638862333882962,0.005077875912977298
2022,T2,-0.009843002702339804,0.008953621361331814,0.271736793531802,7.744698655169668e-05,0.0013741750956942694,0.9550607340690089,fake_post,True,False,-0.02739210057055016,0.0077060951658705495,-0.002615936201009071,0.0027708301741124646
2022,T1,-0.003190330739879328,0.00997173593583941,0.504740545381023,0.0004417037747479835,0.001897065414061619,0.8477505774974827,fake_post,True,False,-0.022734933174124575,0.016354271694365916,-0.0032765444368127897,0.004159951986308756
2022,T3,-0.002276088188290307,0.011578796000133514,0.5134889102057807,0.003378258359980631,0.00221035770378611,0.13548404451424978,fake_post,True,False,-0.02497052834855199,0.02041835197197138,-0.0009540427394401445,0.007710559459401406
2023,T2,-0.005186819608247666,0.009732871054473331,0.5941413271379088,0.004396089848479941,0.0014857353245726801,0.003118843386439085,real_post,False,True,-0.024263246875015396,0.013889607658520063,0.0014840486123174883,0.0073081310846423945
2023,T1,0.0026026010291643293,0.010786933389195588,0.47029539831736544,0.004641691778636239,0.002049192148899803,0.9046098850670612,real_post,False,True,-0.01853978841365902,0.023744990471987682,0.0006252751667926246,0.008658108390479853
2023,T3,0.007625097548529454,0.012532279234065921,0.3067386705445183,0.010696551662980442,0.0025003795193970263,0.011808404658921301,real_post,False,True,-0.016938169750239755,0.03218836484729866,0.0057958078049622705,0.015597295520998613
2024,T2,-0.0020034230118169878,0.010043996296996132,0.8419166275823635,0.008397270209237273,0.001825483910129566,4.450674572664681e-06,real_post,False,True,-0.021689655753929407,0.01768280973029543,0.004819321745383324,0.011975218673091223
2024,T1,0.005728587832505587,0.011012388829743978,0.4826748609536,0.007352033798311928,0.002324058052836316,0.6529352306748861,real_post,False,True,-0.01585569427379261,0.02731286993880378,0.0027968800147527484,0.011907187581871106
2024,T3,0.0068212290609355256,0.012866139887823562,0.4928558138418979,0.012868317706890496,0.002808392440898441,0.11151335495078207,real_post,False,True,-0.018396405119198656,0.03203886324106971,0.007363868522729552,0.01837276689105144
