team_id,season,pop_time_2b_avg,pop_time_2b_std,total_attempts_2b,n_catchers,pop_time_3b_avg,pop_time_3b_std,total_attempts_3b,low_reliability
108,2018,2.02375,0.024462982238476073,24,3,1.59,,1,0
109,2018,2.0066666666666664,0.05141065605062389,48,4,1.615,0.014999999999999902,2,0
110,2018,2.0526984126984127,0.05546932082724673,63,4,1.62,0.09018499505645787,9,0
111,2018,1.9985106382978726,0.040841089207778056,47,4,,,0,0
112,2018,1.9990697674418603,0.05623100003612065,43,2,1.62,0.06999999999999995,6,0
113,2018,2.042448979591837,0.0285378811796545,49,4,1.6528571428571428,0.0890768986749708,7,0
114,2018,1.9383636363636363,0.016815970370577273,55,3,1.698,0.10400000000000001,5,0
115,2018,2.00609375,0.025471625604533,64,4,1.542857142857143,0.04164965639175218,7,0
116,2018,2.007017543859649,0.01990899578747308,57,3,1.6424999999999998,0.012990381056766495,4,0
117,2018,2.048709677419355,0.054461702168787804,62,3,1.6179999999999999,0.015999999999999927,5,0
118,2018,1.9791666666666667,0.031347071456340074,48,3,1.525,0.0050000000000000044,2,0
119,2018,2.055,0.02872281323269008,42,2,1.62,,4,0
120,2018,1.9947457627118643,0.014303719109045446,59,4,1.568,0.016000000000000014,5,0
121,2018,2.0401176470588234,0.04323653459605003,85,5,1.6199999999999999,0.034960294939005016,9,0
133,2018,2.0168749999999998,0.0385225177655874,64,4,1.5983333333333336,0.008975274678557516,6,0
134,2018,2.001,0.017233687939614033,50,3,1.55,0.05916079783099621,8,0
135,2018,1.9942307692307693,0.05506451299808237,52,4,1.5342857142857143,0.0225876975726313,7,0
136,2018,2.039473684210526,0.035684831542492516,38,3,1.6624999999999999,0.09256754290786809,4,0
137,2018,2.023606557377049,0.018379673991047916,61,3,1.5733333333333335,0.018856180831641284,6,0
138,2018,2.0533333333333332,0.030912061651652372,24,4,1.65,,1,0
139,2018,1.9855882352941174,0.04453624937790021,34,4,1.6300000000000001,0.029439202887759416,3,0
140,2018,2.0295348837209306,0.020340529865739438,43,3,1.6099999999999999,0.05196152422706627,4,0
141,2018,2.004574468085106,0.03273572105861891,94,4,1.62,0.030550504633038864,9,0
142,2018,2.072241379310345,0.030628086245520162,58,6,1.6525,0.07361215932167725,4,0
143,2018,1.9639285714285715,0.04901452304560099,84,3,1.5675000000000001,0.029474565306379014,8,0
144,2018,2.0918644067796612,0.04969311162819413,59,3,1.68,0.034641016151377574,7,0
145,2018,2.0052631578947366,0.03871194852301738,76,5,1.5899999999999999,0.022360679774997918,6,0
146,2018,1.9568627450980391,0.05862777886982874,51,4,1.5025,0.04548351349665067,4,0
147,2018,2.0003389830508476,0.04797478510369254,59,3,1.5083333333333335,0.04099457958749618,6,0
158,2018,1.9871698113207548,0.037030194639763134,53,4,1.69,,2,0
108,2019,2.0317857142857143,0.027393113241492396,28,3,1.5666666666666667,0.04189935029992182,3,0
109,2019,2.0029545454545454,0.03677817691948124,44,4,,,0,0
110,2019,2.036949152542373,0.04837194302654355,59,4,,,0,0
111,2019,1.9920454545454547,0.01925658629410935,44,3,1.5580000000000003,0.009797958971132722,5,0
112,2019,1.9876388888888887,0.056506957672768886,72,4,1.6242857142857143,0.07423074889580898,7,0
113,2019,2.0360714285714283,0.029500518847045718,56,4,1.605,0.008660254037844393,4,0
114,2019,1.9949999999999999,0.06344288770224767,42,3,1.57,,3,0
115,2019,1.9876086956521737,0.050008033381112926,46,4,1.558,0.03599999999999994,5,0
116,2019,1.9868253968253968,0.044998250294921896,63,4,1.578888888888889,0.04724509250104285,9,0
117,2019,1.9903571428571427,0.03793623812748571,56,3,,,0,0
118,2019,2.0196153846153844,0.03192307692307685,26,3,1.6199999999999999,0.048989794855663495,5,0
119,2019,2.0346875,0.04286493139793875,32,4,1.6,,2,0
120,2019,2.0076190476190474,0.049943278484292974,42,2,1.5899999999999999,0.05999999999999994,6,0
121,2019,1.9784415584415584,0.04245899274716404,77,3,1.5716666666666665,0.003726779962499653,6,0
133,2019,1.9909230769230768,0.012117765333855465,65,6,1.6866666666666668,0.17441967269268177,6,0
134,2019,1.9485714285714286,0.025172871695294443,28,3,1.485,0.025980762113533184,4,0
135,2019,1.9435294117647057,0.03446074944912187,34,3,1.5675000000000001,0.03031088913245538,4,0
136,2019,2.0593749999999997,0.014347800354061151,48,2,1.6625,0.07361215932167725,4,0
137,2019,2.0357142857142856,0.06044055943230342,56,3,1.6033333333333335,0.08279828232249477,6,0
138,2019,2.001304347826087,0.024371106882159158,23,3,1.45,,1,0
139,2019,1.985090909090909,0.023577549203559735,55,5,1.59,,3,0
140,2019,2.0797872340425534,0.04299873138663655,47,4,1.7259999999999998,0.072,5,0
141,2019,2.024137931034483,0.03363262387656997,58,3,1.6133333333333335,0.007453559924999306,6,0
142,2019,2.0135897435897436,0.010974838235401336,39,3,1.778,0.13717142559585788,5,0
143,2019,1.9096153846153845,0.048791610977453416,52,2,1.42,,2,0
144,2019,2.0790740740740743,0.04765883846047787,54,4,1.6175,0.02165063509461089,4,0
145,2019,2.012222222222222,0.048391408277314314,45,4,1.6000000000000003,,6,0
146,2019,1.96525,0.03801233352479161,40,4,1.695,0.14722431864335453,4,0
147,2019,1.9716666666666667,0.05923788470334664,42,3,1.62,0.10392304845413264,4,0
158,2019,2.0385245901639344,0.05278586700983105,61,2,1.645,0.015000000000000013,4,0
108,2020,1.964102564102564,0.02317358672347695,39,3,1.52,,2,0
109,2020,2.0316666666666667,0.052254718021969654,24,3,,,0,0
110,2020,2.0766666666666667,0.04853406592853673,15,3,1.57,,3,0
111,2020,2.0166666666666666,0.05436502143433368,33,2,1.7400000000000002,0.14142135623730953,3,0
112,2020,1.9487999999999999,0.022683915006012544,25,3,1.48,,1,0
