runner_id,season,opponent_team,opponent_team_id,onbase_count,game_count,weight_onbase,weight_games,weight
134181.0,2018,Seattle Mariners,136,18,10,0.15384615384615385,0.1724137931034483,0.15384615384615385
134181.0,2018,Oakland Athletics,133,15,6,0.1282051282051282,0.10344827586206896,0.1282051282051282
134181.0,2018,Houston Astros,117,12,6,0.10256410256410256,0.10344827586206896,0.10256410256410256
134181.0,2018,Los Angeles Dodgers,119,10,4,0.08547008547008547,0.06896551724137931,0.08547008547008547
134181.0,2018,San Diego Padres,135,10,5,0.08547008547008547,0.08620689655172414,0.08547008547008547
134181.0,2018,Baltimore Orioles,110,9,4,0.07692307692307693,0.06896551724137931,0.07692307692307693
134181.0,2018,Arizona Diamondbacks,109,7,2,0.05982905982905983,0.034482758620689655,0.05982905982905983
134181.0,2018,Los Angeles Angels,108,7,4,0.05982905982905983,0.06896551724137931,0.05982905982905983
134181.0,2018,Minnesota Twins,142,5,3,0.042735042735042736,0.05172413793103448,0.042735042735042736
134181.0,2018,Chicago White Sox,145,4,1,0.03418803418803419,0.017241379310344827,0.03418803418803419
134181.0,2018,Cleveland Indians,114,3,1,0.02564102564102564,0.017241379310344827,0.02564102564102564
134181.0,2018,Colorado Rockies,115,3,1,0.02564102564102564,0.017241379310344827,0.02564102564102564
134181.0,2018,Detroit Tigers,116,3,3,0.02564102564102564,0.05172413793103448,0.02564102564102564
134181.0,2018,Tampa Bay Rays,139,3,1,0.02564102564102564,0.017241379310344827,0.02564102564102564
134181.0,2018,Kansas City Royals,118,2,1,0.017094017094017096,0.017241379310344827,0.017094017094017096
134181.0,2018,New York Yankees,147,2,2,0.017094017094017096,0.034482758620689655,0.017094017094017096
134181.0,2018,Toronto Blue Jays,141,2,2,0.017094017094017096,0.034482758620689655,0.017094017094017096
134181.0,2018,Boston Red Sox,111,1,1,0.008547008547008548,0.017241379310344827,0.008547008547008548
134181.0,2018,San Francisco Giants,137,1,1,0.008547008547008548,0.017241379310344827,0.008547008547008548
400085.0,2018,Cleveland Indians,114,6,2,0.4,0.3333333333333333,0.4
400085.0,2018,Oakland Athletics,133,5,2,0.3333333333333333,0.3333333333333333,0.3333333333333333
400085.0,2018,Minnesota Twins,142,4,2,0.26666666666666666,0.3333333333333333,0.26666666666666666
400121.0,2018,Kansas City Royals,118,16,6,0.1951219512195122,0.15384615384615385,0.1951219512195122
400121.0,2018,Chicago White Sox,145,14,7,0.17073170731707318,0.1794871794871795,0.17073170731707318
400121.0,2018,Minnesota Twins,142,11,6,0.13414634146341464,0.15384615384615385,0.13414634146341464
400121.0,2018,Cleveland Indians,114,8,5,0.0975609756097561,0.1282051282051282,0.0975609756097561
400121.0,2018,Los Angeles Angels,108,7,2,0.08536585365853659,0.05128205128205128,0.08536585365853659
400121.0,2018,Boston Red Sox,111,5,1,0.06097560975609756,0.02564102564102564,0.06097560975609756
400121.0,2018,Texas Rangers,140,5,3,0.06097560975609756,0.07692307692307693,0.06097560975609756
400121.0,2018,Chicago Cubs,112,4,2,0.04878048780487805,0.05128205128205128,0.04878048780487805
400121.0,2018,Oakland Athletics,133,3,1,0.036585365853658534,0.02564102564102564,0.036585365853658534
400121.0,2018,Baltimore Orioles,110,2,2,0.024390243902439025,0.05128205128205128,0.024390243902439025
