season,team_id,tempo_onbase_avg,tempo_onbase_std,league_tempo_onbase_mean,tempo_diff,teams_in_season,total_pitches,n_pitchers,low_reliability
2018,108,18.4294181769365,2.289265808578154,17.15778202327238,1.2716361536641223,30,7449.0,33,0
2018,109,18.01785060303463,1.6300401228856063,17.15778202327238,0.8600685797622525,30,7711.0,29,0
2018,110,16.96510613324516,1.586615129188661,17.15778202327238,-0.19267589002721763,30,6049.0,26,0
2018,111,17.947827912556647,2.7965851752342634,17.15778202327238,0.7900458892842686,30,7502.0,22,0
2018,112,16.997531466939797,1.8055829818675888,17.15778202327238,-0.16025055633258134,30,8787.0,32,0
2018,113,15.99276147446931,1.5533419043349919,17.15778202327238,-1.165020548803069,30,6972.0,29,0
2018,114,16.864495080564666,2.2460183461829324,17.15778202327238,-0.29328694270771294,30,7013.0,23,0
2018,115,16.57441952861953,1.693206673787153,17.15778202327238,-0.5833624946528495,30,7425.0,20,0
2018,116,16.740222468260995,2.2396428030840125,17.15778202327238,-0.4175595550113833,30,6774.0,26,0
2018,117,18.132632745178498,1.6407717703307885,17.15778202327238,0.9748507219061189,30,7311.0,21,0
2018,118,16.269777986422074,1.658588531917911,17.15778202327238,-0.8880040368503046,30,6923.0,24,0
2018,119,18.760950218221495,2.1972865657183185,17.15778202327238,1.6031681949491166,30,7332.0,30,0
2018,120,18.06243767217631,1.9156156351447724,17.15778202327238,0.9046556489039297,30,5808.0,24,0
2018,121,15.985910461260175,2.0990821172176015,17.15778202327238,-1.1718715620122033,30,6634.0,27,0
2018,133,18.194867552870093,2.5720468318044913,17.15778202327238,1.0370855295977144,30,8275.0,33,0
2018,134,16.463206103557997,1.6023510019602885,17.15778202327238,-0.6945759197143815,30,6914.0,20,0
2018,135,16.706845366579827,2.9736565652054185,17.15778202327238,-0.45093665669255145,30,5374.0,24,0
2018,136,17.234143073742246,2.0292792375065716,17.15778202327238,0.07636105046986685,30,7255.0,29,0
2018,137,16.97862180311473,2.1764977041164375,17.15778202327238,-0.1791602201576481,30,6999.0,26,0
2018,138,16.67451130751235,2.464084664327883,17.15778202327238,-0.4832707157600282,30,7694.0,27,0
2018,139,17.366392571697226,1.8612232824494168,17.15778202327238,0.20861054842484705,30,6381.0,25,0
2018,140,16.487659993096305,2.221228227930857,17.15778202327238,-0.6701220301760742,30,5794.0,26,0
2018,141,17.045691769471553,2.2524269665307233,17.15778202327238,-0.11209025380082593,30,5431.0,27,0
2018,142,16.82948529661737,1.9471638618230775,17.15778202327238,-0.3282967266550081,30,5883.0,28,0
2018,143,17.7281678747463,1.8979968015625883,17.15778202327238,0.5703858514739224,30,6898.0,25,0
2018,144,16.881301224802243,1.7604534201238187,17.15778202327238,-0.2764807984701356,30,7838.0,31,0
2018,145,17.55210043397396,1.7172554932672839,17.15778202327238,0.3943184107015796,30,6452.0,27,0
2018,146,16.037356747303992,1.8482458838268416,17.15778202327238,-1.1204252759683868,30,6862.0,25,0
2018,147,17.346320541480377,1.7034837954735402,17.15778202327238,0.1885385182079986,30,8052.0,23,0
2018,158,16.892879310344824,2.6217332226210592,17.15778202327238,-0.2649027129275545,30,8758.0,28,0
2019,108,17.88190367035066,2.54873608603135,17.63247490500205,0.24942876534861114,30,7329.0,30,0
2019,109,17.972197884977547,2.099940884141654,17.63247490500205,0.33972297997549816,30,6903.0,24,0
2019,110,16.613270635605407,1.8686573005226599,17.63247490500205,-1.019204269396642,30,6954.0,35,0
2019,111,18.59336224188791,2.3013221002962165,17.63247490500205,0.960887336885861,30,8475.0,28,0
2019,112,18.15721803347869,2.295872949588856,17.63247490500205,0.52474312847664,30,7109.0,28,0
2019,113,17.008765371306897,1.5246306727298216,17.63247490500205,-0.6237095336951519,30,7514.0,22,0
2019,114,16.62456996855346,2.2169632402514967,17.63247490500205,-1.0079049364485897,30,6360.0,27,0
2019,115,16.798816960537366,1.6729155532078184,17.63247490500205,-0.833657944464683,30,7146.0,31,0
2019,116,16.716909310246944,2.27757962524693,17.63247490500205,-0.9155655947551047,30,7046.0,30,0
2019,117,17.396048313481018,1.9678259398758933,17.63247490500205,-0.23642659152103107,30,8983.0,24,0
2019,118,17.291276293436294,2.3162432387626466,17.63247490500205,-0.3411986115657548,30,6475.0,27,0
2019,119,18.414179192334018,2.334905128301948,17.63247490500205,0.7817042873319693,30,7305.0,25,0
2019,120,18.208765295217738,2.2455617012998337,17.63247490500205,0.5762903902156893,30,7486.0,28,0
2019,121,16.897833984375,1.8041188508265087,17.63247490500205,-0.7346409206270472,30,7168.0,27,0
2019,133,17.91020601581745,2.1180632177973058,17.63247490500205,0.27773111081540236,30,7713.0,22,0
2019,134,18.127525613496932,1.9396349105318158,17.63247490500205,0.4950507084948832,30,6520.0,31,0
2019,135,17.97957539863326,2.8855449654669916,17.63247490500205,0.34710049363120987,30,6585.0,31,0
2019,136,17.284639244774105,1.749099803630037,17.63247490500205,-0.3478356602279433,30,5932.0,30,0
2019,137,18.103995670301476,1.6017691199057058,17.63247490500205,0.4715207652994273,30,6236.0,25,0
2019,138,16.80842277910742,1.8377951778642982,17.63247490500205,-0.8240521258946281,30,7103.0,21,0
2019,139,18.36312402881763,2.4093572925636515,17.63247490500205,0.7306491238155814,30,7079.0,26,0
2019,140,16.881248280079497,1.897837787178186,17.63247490500205,-0.7512266249225519,30,6541.0,33,0
2019,141,17.76141343755197,1.7441277059170643,17.63247490500205,0.12893853254992038,30,6013.0,30,0
2019,142,18.419658452291507,2.382720313499035,17.63247490500205,0.7871835472894588,30,6655.0,24,0
2019,143,17.45952904202072,2.2000644669051113,17.63247490500205,-0.1729458629813294,30,8591.0,32,0
2019,144,18.649356633580314,2.18667316593786,17.63247490500205,1.0168817285782659,30,7153.0,28,0
2019,145,18.09316071428572,2.193599445273055,17.63247490500205,0.460685809283671,30,6944.0,26,0
2019,146,17.272596009577015,2.2505107884696742,17.63247490500205,-0.3598788954250338,30,6265.0,21,0
2019,147,17.60344585285203,2.4337332901050783,17.63247490500205,-0.02902905215001894,30,7258.0,31,0
2019,158,17.4528053637812,2.89810905073005,17.63247490500205,-0.17966954122085,30,7532.0,26,0
2020,108,18.417368169126444,2.3294436413386514,17.988969715332026,0.42839845379441854,30,2507.0,25,0
2020,109,18.057463556851314,1.8608486842069876,17.988969715332026,0.06849384151928817,30,2401.0,22,0
2020,110,16.78316917626218,1.6003207236919372,17.988969715332026,-1.2058005390698447,30,2258.0,22,0
2020,111,19.36752693110647,2.0088928916469855,17.988969715332026,1.3785572157744461,30,2395.0,26,0
