pitcher_id,avg_speed_faced_2022_opp,avg_poptime_behind_2022_opp,n_opportunities_2022
405395,26.60909090909091,2.03175,11
424144,26.741176470588236,1.9025443922857146,21
425794,27.122043010752687,2.0340048361048386,759
425844,27.033808553971486,1.901689480364185,497
425877,26.9375,2.03175,16
434378,26.85615671641791,1.907076822374539,542
434671,26.964750957854406,2.002023321119403,268
444876,27.833333333333332,1.9984791670000002,9
445276,26.935526315789474,1.9743396225419356,155
445926,27.2072,1.9699659790241937,250
446321,27.11208791208791,1.9792807373626375,91
446372,27.248622047244094,1.887795275476378,508
448179,27.707709750566895,1.9575431974130926,443
448281,25.43846153846154,1.9697935801428572,14
450203,27.357052297939777,1.9661854108193346,631
453178,27.251923076923074,1.9353212481877935,213
453268,27.143124999999998,1.8822034627812498,160
453284,,,5
453286,26.99076923076923,1.9547948512538462,390
453343,27.4609375,1.9179828666509804,256
455119,27.255121951219515,1.9201936394243901,207
456034,26.910112359550563,1.9500755876629214,89
456501,27.37987152034261,2.0001913175717347,467
456713,27.33823529411765,1.9722832355411763,170
458676,,,5
458677,26.657142857142855,1.9344130435714286,7
458681,27.36111111111111,1.968631313350711,422
459429,27.43450704225352,1.9797404475633804,142
461325,27.55,1.998479167,16
468504,27.44705882352941,1.8789680047058823,204
471911,27.190465631929047,1.9661683022809735,452
472610,27.271428571428572,1.897233190110204,245
475479,27.20326530612245,1.9420050349303277,247
476595,27.080898876404497,1.9570579075037877,267
477132,27.119596541786745,1.9705261763428572,350
488984,28.10632911392405,1.9600605350379745,79
489119,27.072277227722775,1.9189461763783784,111
489265,27.984810126582282,1.9452166021265822,79
489334,27.147945205479452,1.889262389013245,151
489446,27.425714285714285,1.9799433038571428,35
491624,26.833333333333332,1.99368504925,12
493603,27.025454545454544,1.9667087585406977,173
500779,27.20016891891892,1.9928427297344264,610
501303,28.7,1.998479167,8
501381,27.451748251748253,1.9405015152447551,143
501625,27.75625,1.974274456046875,64
501697,26.0,1.924315789,2
501789,25.857142857142858,1.953857143,7
501925,26.950819672131146,1.9158667372540983,122
501985,27.14373401534527,1.9401231791867009,391
